address_1,electricity_use_kwh,k_12_school_presence_of,k_12_school_pc_density,parking_weekly_hours_of_access,nta,multifamily_home_market_rate,current_site_energy_intensity,target_rating_1_100,warehouse_unrefrigerated_4,bank_financial_institution_5,current_energy_period_ending,retail_cash_register_density,bank_financial_institution_3,facility_type,current_source_energy,current_rating_1_100,k_12_school_gross_floor_area,medical_office_gross_floor,hotel_percent_cooled,district_steam_use_kbtu,k_12_school_open_weekends,other_weekly_operating_hours,office_workers_density,fuel_oil_4_use_kbtu,multifamily_home_gross_floor,parking_open_floor_area_w,indoor_water_use_kgal,multifamily_home_laundry_1,eligibility_for_energy_star,warehouse_unrefrigerated,hotel_gross_floor_area_sq,natural_gas_use_kbtu,current_weather_normalized
458 West 155th Street,551625.9,,,112.0,Hamilton Heights,Market Rate,96.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,169.4,0,,,,,,,2.3,,57689.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,4171906.45,173.2
205-215 East 22nd Street,608232.1,,,112.0,Gramercy,Market Rate,43.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,90.6,0,,1320.0,,,,,,,100603.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,2555019.35,91.4
3756-58 dekalb ave,248447.8,,,,,Market Rate,102.0,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,132.7,0,,,,,,,,5943997.45,66600.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,132.7
203 east 72nd street,893930.3,,,112.0,Lenox Hill-Roosevelt Island,Market Rate,104.4,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,141.1,0,,,,,,,,,192981.0,0.0,,96.0,Not Eligible: Rating must be 75 or above,,,6794393.55,133.3
515 East 7th St.,105696.0,,,,Kensington-Ocean Parkway,,3.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,10.5,0,,,,,,,,,114780.0,,,,Not Eligible: Rating must be 75 or above,,,,10.5
630 victory boulevard,319281.1,,,112.0,Grymes Hill-Clifton-Fox Hills,Market Rate,107.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,150.3,0,,,,,,,,,60414.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,150.3
957-963 woody crest ave,208162.1,,,,,Market Rate,93.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,121.3,0,,,,,,,,4930724.66,60600.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,121.3
80 bennett ave,330093.9,,,112.0,Washington Heights North,Market Rate,93.1,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,130.7,0,,,,,,,2.3,,70811.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,130.7
1402 New York Avenue - 1416 New York Avenue,2204137.4,,,,,Market Rate,79.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,150.1,0,,,,,,,,,259200.0,,,0.0,Not Eligible: Rating must be 75 or above,,,13157100.0,148.1
3102 - 3104 Newkirk Avenue,959949.7,,,,East Flatbush-Farragut,Market Rate,75.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,136.8,0,,,,,,,,,129600.0,,,0.0,Not Eligible: Rating must be 75 or above,,,6480500.0,133.3
281-295 wadsworth ave,339444.0,,,,Washington Heights North,Market Rate,147.5,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,187.3,0,,,,,,,,,70310.0,,,7.0,Not Eligible: Rating must be 75 or above,,,,187.3
555 Sixth Avenue,1334004.0,,,112.0,Hudson Yards-Chelsea-Flatiron-Union Square,Market Rate,35.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,103.4,0,,,,,,,2.3,1040178.75,117300.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,101.5
14 prince street,297696.8,,,,SoHo-TriBeCa-Civic Center-Little Italy,Market Rate,43.7,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,70.3,0,,,,,,,,,92000.0,,,0.0,Not Eligible: Rating must be 75 or above,,,3138951.61,73.9
47 east 87th street,647890.3,,,,Upper East Side-Carnegie Hill,Market Rate,82.4,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,125.7,0,,,,,,,,,116190.0,,,50.0,Not Eligible: Rating must be 75 or above,,,,123.6
610 West 110th Street,333518.7,,,,Morningside Heights,Market Rate,68.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,94.4,0,,,,,,,,,103677.0,,,92.0,Not Eligible: Rating must be 75 or above,,,,94.4
118-28 Vermilyea Avenue,523319.1,,,,Marble Hill-Inwood,Market Rate,86.7,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,135.6,0,,,,,,,2.3,,83430.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,135.6
125 Court Street,4904630.3,,,154.0,Brooklyn Heights-Cobble Hill,Both Affordable and Market Rate,84.9,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,211.0,0,,,,,,63.0,8.33,,248762.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,9965206.2,203.3
127-135 west 141st st,198960.4,,,,Central Harlem North-Polo Grounds,Market Rate,119.3,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,150.8,0,,,,,,,,,52290.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,150.8
179 east 70th,538916.1,,,,,Market Rate,119.1,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,166.8,0,,,,,,,,,87400.0,,,33.0,Not Eligible: Rating must be 75 or above,,,,160.5
200 Pinehurst Ave.,10009.0,,,,Washington Heights North,,69.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,71.6,0,,,,,,,,,52616.0,,,,Not Eligible: Rating must be 75 or above,,,75192.0,71.6
211-227 west 149th st,1922267.0,,,,Central Harlem North-Polo Grounds,Market Rate,50.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,85.7,0,,,,,,,,15317117.51,429115.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,85.7
305-315 linden boulevard,422431.0,,,,Erasmus,Market Rate,100.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,139.8,0,,,,,,,,,94668.0,,,18.0,Not Eligible: Rating must be 75 or above,,,8040309.68,144.2
551-559 Main Street North,16073625.8,,,,Lenox Hill-Roosevelt Island,Market Rate,62.8,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,209.9,0,,,,,,,,,847212.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,213.6
2103-2117 Honeywell Avenue,742306.0,,,,East Tremont,Market Rate,94.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,127.9,0,,,,,,,,14562502.5,181093.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,126.2
1300-12 St. Nicholas  Avenue,121685.7,,,,Washington Heights South,Market Rate,115.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,132.2,0,,,,,,,,6717058.3,61805.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,132.2
590 5th Ave,691683.9,,,,Midtown-Midtown South,,31.0,0.0,,,2010-12-31T00:00:00.000,0.3,,Office,91.5,98,,,,528942.0,,,2.3,,,,,,Not Eligible: Default space values used,,,,89.7
1860 Morris Ave.,288831.7,,,,Mount Hope,,23.8,0.0,,,2010-11-30T00:00:00.000,,,Multifamily Housing,59.8,0,,,,,,,,,64800.0,,,,Not Eligible: Rating must be 75 or above,,,559835.48,56.9
2185 valentine ave,295358.3,,,,Mount Hope,Market Rate,136.8,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,174.9,0,,,,,,,,,63840.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,174.9
3555 oxford ave,275345.8,,,112.0,Spuyten Duyvil-Kingsbridge,Market Rate,75.4,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,108.3,0,,,,,,,,,68118.0,0.0,,0.0,Not Eligible: Rating must be 75 or above,,,,107.4
2010-42 Bruckner Boulevard,1220800.0,,,,Westchester-Unionport,Market Rate,118.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,154.7,0,,,,,,,,,275280.0,,,0.0,Not Eligible: Rating must be 75 or above,,,,154.7
153-54 75th ave,497554.4,,,,Kew Gardens Hills,Market Rate,33.6,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,68.5,0,,,,,,,,,116784.0,,,0.0,Not Eligible: Rating must be 75 or above,,,2226061.29,69.6
21 south end ave,1976361.3,,,,Battery Park City-Lower Manhattan,Market Rate,93.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,176.8,0,,,,,,,,10965425.69,161592.0,,,183.0,Not Eligible: Rating must be 75 or above,,,,170.7
47 east 88th street,927316.1,,,,Upper East Side-Carnegie Hill,Market Rate,60.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,102.4,0,,2100.0,,,,,,7517995.93,171348.0,,,118.0,Not Eligible: Rating must be 75 or above,,,,99.9
120 east 81st,1697443.9,,,,,Market Rate,60.2,0.0,,,2010-12-31T00:00:00.000,0.3,,Multifamily Housing,112.7,0,,,,,,,2.3,,250097.0,,,52.0,Not Eligible: Rating must be 75 or above,,,,108.8
775 riverside drive,290150.5,,,,Washington Heights South,Market Rate,107.2,0.0,,,2010-12-31T00:00:00.000,,,Multifamily Housing,139.9,0,,,,,,,,,72969.0,,,7.0,Not Eligible: Rating must be 75 or above,,,,139.9
