brooklyn_cooperatives_comparable_properties_address,bin,postcode,brooklyn_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_year_built,longitude,community_council,comparable_rental_1_gross_sqft,comparable_rental_1_estimated_expense,comparable_rental_1_full_market_value,comparable_rental_3_building_classification,comparable_rental_2_address,comparable_rental_3_full_market_value,comparable_rental_3_estimated_gross_income,comparable_rental_3_net_operating_income,comparable_rental_1_address,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_1_boro_block_lot,comparable_rental_1_neighborhood,nta,brooklyn_cooperatives_comparable_properties_net_operating_income,brooklyn_cooperatives_comparable_properties_estimated_expense,comparable_rental_2_boro_block_lot,comparable_rental_3_neighborhood,latitude
"{'latitude': '40.599287050857', 'longitude': '-73.934948658748', 'human_address': '{""address"": ""2190 BRIGHAM STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3320769.0,11229.0,7.1,1961.0,-73.934958,46.0,186257,1477890.0,10163000, ,"{'latitude': '40.599708489632', 'longitude': '-73.946634695263', 'human_address': '{""address"": ""4190 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.604189422494', 'longitude': '-73.942647655171', 'human_address': '{""address"": ""3280 NOSTRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07308-0032,MADISON,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,1454479,1191096,3-07357-0001, ,40.599495
"{'latitude': '40.633114578093', 'longitude': '-73.957688147835', 'human_address': '{""address"": ""1199 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3121393.0,11230.0,5.85,1931.0,-73.957818,45.0,113188,730063.0,2638000,D1-ELEVATOR,"{'latitude': '40.636746612609', 'longitude': '-73.958506684091', 'human_address': '{""address"": ""1060 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,127,000","531,976","188,418","{'latitude': '40.635026225077', 'longitude': '-73.958241591811', 'human_address': '{""address"": ""1122 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05240-0043,FLATBUSH-CENTRAL,Flatbush                                                                   ,295650,473850,3-05219-0029,MIDWOOD,40.633332
"{'latitude': '40.672302585335', 'longitude': '-73.973802336967', 'human_address': '{""address"": ""118 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024765.0,11215.0,8.69,2002.0,-73.973738,39.0,31000,236190.0,1375000, ,"{'latitude': '40.676649313031', 'longitude': '-73.983215083007', 'human_address': '{""address"": ""586 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.676145109919', 'longitude': '-73.970860936377', 'human_address': '{""address"": ""214 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01169-0019,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,1107656,627070,3-00958-0007, ,40.672359
"{'latitude': '40.69537538413', 'longitude': '-73.991931928639', 'human_address': '{""address"": ""40 CLINTON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3001936.0,11201.0,10.1,1900.0,-73.9919,33.0,79460,1318324.0,9714000,D7-ELEVATOR,"{'latitude': '40.699509473307', 'longitude': '-73.992619178155', 'human_address': '{""address"": ""80 CRANBERRY STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,273,000","947,093","570,349","{'latitude': '40.697726780722', 'longitude': '-73.994156212372', 'human_address': '{""address"": ""52 CLARK STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00236-0103,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,1916442,1174593,3-00221-0020,BROOKLYN HEIGHTS,40.695374
"{'latitude': '40.685326807493', 'longitude': '-73.967223664536', 'human_address': '{""address"": ""429 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3055988.0,11238.0,8.27,1920.0,-73.96725,35.0,44000,444564.0,3228000,D1-ELEVATOR,"{'latitude': '40.688104504418', 'longitude': '-73.960469215355', 'human_address': '{""address"": ""91 CLIFTON PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","2,545,000","706,875","369,435","{'latitude': '40.682744003056', 'longitude': '-73.966707785325', 'human_address': '{""address"": ""537 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-02011-0007,CLINTON HILL,Clinton Hill                                                               ,215889,212547,3-01948-0040,CLINTON HILL,40.685346
"{'latitude': '40.667488076797', 'longitude': '-73.956527986783', 'human_address': '{""address"": ""1040 CARROLL STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3033790.0,11225.0,6.69,2003.0,-73.95679,35.0,320000,2396116.0,9162000, ,"{'latitude': '40.672939832705', 'longitude': '-73.959733208736', 'human_address': '{""address"": ""555 ST JOHN\'S PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.6673142939', 'longitude': '-73.959912781658', 'human_address': '{""address"": ""49 CROWN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01189-0060,CROWN HEIGHTS,Crown Heights South                                                        ,239490,407682,3-01175-0093, ,40.667584
"{'latitude': '40.636622430643', 'longitude': '-73.985739768395', 'human_address': '{""address"": ""1430 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3136247.0,11219.0,5.13,1927.0,-73.985624,44.0,36000,153165.0,2079000, ,"{'latitude': '40.637477643045', 'longitude': '-73.988695321647', 'human_address': '{""address"": ""1322 44 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.634359769568', 'longitude': '-73.982002168088', 'human_address': '{""address"": ""4301 16 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-05379-0006,BOROUGH PARK,Borough Park                                                               ,268780,182628,3-05611-0016, ,40.636564
"{'latitude': '40.676840119683', 'longitude': '-73.9696287993', 'human_address': '{""address"": ""250 PARK PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3029057.0,11238.0,8.58,1931.0,-73.969897,35.0,16124,179517.0,1824000,C1-WALK-UP,"{'latitude': '40.678041013696', 'longitude': '-73.970843317586', 'human_address': '{""address"": ""180 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,156,000","283,470","161,570","{'latitude': '40.67812026645', 'longitude': '-73.971219503991', 'human_address': '{""address"": ""170 PROSPECT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01158-0016,PROSPECT HEIGHTS,Prospect Heights                                                           ,183901,138653,3-01158-0021,PARK SLOPE,40.676926
"{'latitude': '40.705483887167', 'longitude': '-73.947173663591', 'human_address': '{""address"": ""54 BOERUM STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3327971.0,11206.0,8.7,1976.0,-73.947161,34.0,748308,5514178.0,30355000,D1-ELEVATOR,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""157 MARCUS"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,720,000","1,564,357","735,489","{'latitude': '40.705035857796', 'longitude': '-73.966460893803', 'human_address': '{""address"": ""555 WYTHE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-02186-0001,WILLIAMSBURG-CENTRAL,East Williamsburg                                                          ,4177851,6537284,3-01588-0001,BEDFORD STUYVESANT,40.705512
"{'latitude': '40.728661908905', 'longitude': '-73.954958079652', 'human_address': '{""address"": ""140 NOBLE STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3064974.0,11222.0,6.34,1910.0,-73.955221,33.0,21380,206745.0,1783000, ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""242 BROADWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.713521211717', 'longitude': '-73.956365635745', 'human_address': '{""address"": ""94 HAVEMEYER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-02368-0029,WILLIAMSBURG-NORTH,Greenpoint                                                                 ,545688,271986,3-02140-0013, ,40.728657
"{'latitude': '40.675867254419', 'longitude': '-73.987892314336', 'human_address': '{""address"": ""274 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,10.04,1910.0,,,23700,237871.0,1648000,C7-WALK-UP,"{'latitude': '40.712015925633', 'longitude': '-73.959112972595', 'human_address': '{""address"": ""215 ROEBLING STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,400,000","416,340","204,120","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""209 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-02420-0043,WILLIAMSBURG-SOUTH,,311691,322284,3-02420-0005,WILLIAMSBURG-SOUTH,
"{'latitude': '40.672045357264', 'longitude': '-73.963478967446', 'human_address': '{""address"": ""175 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3029640.0,11238.0,8.02,1924.0,-73.963248,35.0,12266,118271.0,755000, ,"{'latitude': '40.67175746412', 'longitude': '-73.962075767592', 'human_address': '{""address"": ""201 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.672069314355', 'longitude': '-73.963591445858', 'human_address': '{""address"": ""171 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01179-0116,PROSPECT HEIGHTS,Prospect Heights                                                           ,593300,681700,3-01180-0001, ,40.671895
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""495 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.92,1963.0,,,77160,465822.0,3002000, ,"{'latitude': '40.638367138437', 'longitude': '-73.967627768459', 'human_address': '{""address"": ""415 STRATFORD ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.667123961228', 'longitude': '-73.980367254498', 'human_address': '{""address"": ""430 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05376-0033,OCEAN PARKWAY-NORTH,,625800,497280,3-05154-0047, ,
"{'latitude': '40.627806841642', 'longitude': '-74.026343650148', 'human_address': '{""address"": ""7914 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3150871.0,11209.0,9.46,1921.0,-74.026349,43.0,64000,567680.0,3850000,D1-ELEVATOR,"{'latitude': '40.629207528221', 'longitude': '-74.025698203808', 'human_address': '{""address"": ""7721 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,389,000","1,284,660","642,330","{'latitude': '40.623526331909', 'longitude': '-74.02810830344', 'human_address': '{""address"": ""8502 4 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06034-0041,BAY RIDGE,Bay Ridge                                                                  ,465870,475933,3-05961-0001,BAY RIDGE,40.62774
"{'latitude': '40.669321292465', 'longitude': '-73.976199039781', 'human_address': '{""address"": ""305 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3025463.0,11215.0,9.73,1920.0,-73.97628,39.0,11524,139443.0,1131000,C1-WALK-UP,"{'latitude': '40.700601192899', 'longitude': '-73.986670164593', 'human_address': '{""address"": ""94 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","305,000","129,484","55,294","{'latitude': '40.668763180016', 'longitude': '-73.976608061272', 'human_address': '{""address"": ""525 4 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-01081-0001,PARK SLOPE,Park Slope-Gowanus                                                         ,301081,311983,3-01085-0037,PARK SLOPE,40.669261
"{'latitude': '40.639151956948', 'longitude': '-73.972996869099', 'human_address': '{""address"": ""399 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3126218.0,11218.0,4.66,1941.0,-73.973319,39.0,77160,465822.0,3002000,D1-ELEVATOR,"{'latitude': '40.639024358298', 'longitude': '-73.973590541227', 'human_address': '{""address"": ""402 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,034,000","410,688","174,675","{'latitude': '40.667123961228', 'longitude': '-73.980367254498', 'human_address': '{""address"": ""430 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05376-0033,OCEAN PARKWAY-NORTH,Kensington-Ocean Parkway                                                   ,379080,251640,3-05374-0041,OCEAN PARKWAY-NORTH,40.639271
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""173 ELLIOTT PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,9.16,1975.0,,,61650,430317.0,2537000,D1-ELEVATOR,"{'latitude': '40.705035857796', 'longitude': '-73.966460893803', 'human_address': '{""address"": ""555 WYTHE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","662,000","277,459","106,945","{'latitude': '40.67188133041', 'longitude': '-73.991966958883', 'human_address': '{""address"": ""166 9 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-02148-0013,WILLIAMSBURG-SOUTH,,1281167,2971009,3-02186-0001,BEDFORD STUYVESANT,
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""761 ATLANTIC AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3057521.0,11238.0,6.1,1930.0,-73.969519,35.0,47304,337440.0,2545000, ,"{'latitude': '40.684826185607', 'longitude': '-73.968149243555', 'human_address': '{""address"": ""449 VANDERBILT AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.684497260879', 'longitude': '-73.967136938919', 'human_address': '{""address"": ""464 CLINTON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01960-0070,CLINTON HILL,Fort Greene                                                                ,1868500,1540250,3-01960-0008, ,40.68219
"{'latitude': '40.700552331514', 'longitude': '-73.984999766479', 'human_address': '{""address"": ""180 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3000000.0,11215.0,3.33,1937.0,-73.96968,39.0,67500,421755.0,3337000,D1-ELEVATOR,"{'latitude': '40.650142253722', 'longitude': '-73.975440172525', 'human_address': '{""address"": ""50 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,109,000","1,170,839","615,781","{'latitude': '40.652110497801', 'longitude': '-73.973936718777', 'human_address': '{""address"": ""800 GREENWOOD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05287-0021,WINDSOR TERRACE,park-cemetery-etc-Brooklyn                                                 ,225930,256997,3-05285-0001,KENSINGTON,40.661354
"{'latitude': '40.614003501863', 'longitude': '-73.949265072167', 'human_address': '{""address"": ""3619 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3182230.0,11210.0,6.75,1929.0,-73.949272,48.0,104348,636228.0,2621000,D1-ELEVATOR,"{'latitude': '40.613995720483', 'longitude': '-73.949336560181', 'human_address': '{""address"": ""3620 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,047,000","1,372,557","483,593","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2301 KINGS HIGHWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06770-0031,MIDWOOD,Madison                                                                    ,439097,593143,3-06771-0006,MADISON,40.613909
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9701 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3155914.0,11209.0,7.51,1927.0,-74.037567,43.0,97092,790894.0,4806000, ,"{'latitude': '40.619199405119', 'longitude': '-74.025508438186', 'human_address': '{""address"": ""8829 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.623254050183', 'longitude': '-74.030031583812', 'human_address': '{""address"": ""345 86 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06034-0060,BAY RIDGE,Bay Ridge                                                                  ,1054108,862451,3-06069-0013, ,40.614982
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""225 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,9.25,1987.0,,,36769,400682.0,2070000,D1-ELEVATOR,"{'latitude': '40.581338573306', 'longitude': '-73.985731991852', 'human_address': '{""address"": ""2629 CROPSEY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","8,325,000","2,748,900","1,428,840","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1879 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06681-0225,OCEAN PARKWAY-SOUTH,,1092446,1049339,3-06911-0006,CONEY ISLAND,
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2607 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,3.7,1929.0,,,47300,278124.0,1031000,D1-ELEVATOR,"{'latitude': '40.613995720483', 'longitude': '-73.949336560181', 'human_address': '{""address"": ""3620 BEDFORD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","1,925,000","715,993","356,098","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""2302 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06770-0001,MIDWOOD,,353750,231250,3-06771-0006,MIDWOOD,
"{'latitude': '40.589267958878', 'longitude': '-73.949402723489', 'human_address': '{""address"": ""2951 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3204411.0,11235.0,6.98,1963.0,-73.949493,48.0,61000,341055.0,1947000,D1-ELEVATOR,"{'latitude': '40.593827535687', 'longitude': '-73.950465424179', 'human_address': '{""address"": ""2770 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","6,270,000","2,148,300","946,318","{'latitude': '40.586752710696', 'longitude': '-73.948933363287', 'human_address': '{""address"": ""3051 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07465-0040,SHEEPSHEAD BAY,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,554390,600590,3-07404-0020,SHEEPSHEAD BAY,40.589341
"{'latitude': '40.642986691157', 'longitude': '-73.977269803255', 'human_address': '{""address"": ""303 BEVERLY ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3124635.0,11218.0,3.25,1964.0,-73.977169,39.0,146066,1005458.0,5412000,D1-ELEVATOR,"{'latitude': '40.637480777115', 'longitude': '-73.972647114578', 'human_address': '{""address"": ""455 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","5,643,000","1,847,222","892,474","{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""217 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-05330-0024,KENSINGTON,Kensington-Ocean Parkway                                                   ,631385,622647,3-05390-0074,FLATBUSH-CENTRAL,40.642974
"{'latitude': '40.590228234097', 'longitude': '-73.982978133432', 'human_address': '{""address"": ""2299 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.94,1963.0,,,55674,436153.0,2502000,D1-ELEVATOR,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1245 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","5,394,000","1,602,166","820,003","{'latitude': '40.596520157961', 'longitude': '-73.953087891932', 'human_address': '{""address"": ""2222 18 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07378-0078,SHEEPSHEAD BAY,,477892,351321,3-07397-0034,SHEEPSHEAD BAY,
"{'latitude': '40.673432432041', 'longitude': '-73.972748553993', 'human_address': '{""address"": ""925 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024628.0,11215.0,10.19,1929.0,-73.972443,39.0,13021,132706.0,862000,D1-ELEVATOR,"{'latitude': '40.672069314355', 'longitude': '-73.963591445858', 'human_address': '{""address"": ""171 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","4,287,000","903,286","585,336","{'latitude': '40.672841371071', 'longitude': '-73.966267087644', 'human_address': '{""address"": ""73 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01179-0083,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,397185,438496,3-01179-0116,PARK SLOPE,40.673303
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""396 3 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,7.79,1920.0,,,11800,72229.0,1000000, ,"{'latitude': '40.670210046118', 'longitude': '-73.975454515326', 'human_address': '{""address"": ""207 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.682300931858', 'longitude': '-73.976987733855', 'human_address': '{""address"": ""433 DEAN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",C6-WALK-UP,3-00928-0049,PARK SLOPE,,125330,91174,3-01077-0004, ,
"{'latitude': '40.579864956105', 'longitude': '-73.969778698469', 'human_address': '{""address"": ""440 NEPTUNE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3196581.0,11224.0,5.57,1964.0,-73.969188,48.0,470000,3651900.0,22359000,D1-ELEVATOR,"{'latitude': '40.577697724689', 'longitude': '-73.968536005094', 'human_address': '{""address"": ""3000 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","10,373,000","3,136,890","1,944,915","{'latitude': '40.578817089398', 'longitude': '-73.968277386377', 'human_address': '{""address"": ""2940 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-07274-0020,CONEY ISLAND,West Brighton                                                              ,6200632,3474599,3-07274-0035,OCEAN PARKWAY-SOUTH,40.580062
"{'latitude': '40.674980617649', 'longitude': '-73.972571831618', 'human_address': '{""address"": ""235 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3024463.0,11217.0,7.01,1920.0,-73.9728,39.0,75535,668085.0,6105000,D1-ELEVATOR,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}","3,098,000","921,911","468,560","{'latitude': '40.674069569571', 'longitude': '-73.97144654162', 'human_address': '{""address"": ""36 PLAZA ST"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-01170-0005,PROSPECT HEIGHTS,Park Slope-Gowanus                                                         ,557057,405080,3-01078-0016,PROSPECT HEIGHTS,40.675041
"{'latitude': '40.607324969984', 'longitude': '-73.958996347677', 'human_address': '{""address"": ""1730 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,5.89,1936.0,,,70000,485438.0,2417000, ,"{'latitude': '40.604045463541', 'longitude': '-73.985669218398', 'human_address': '{""address"": ""1746 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1225 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-06795-0047,MADISON,,406890,403465,3-06795-0028, ,
"{'latitude': '40.69347181954', 'longitude': '-73.992165359034', 'human_address': '{""address"": ""159 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3002097.0,11201.0,7.11,1923.0,-73.992034,33.0,41250,437207.0,3390000, ,"{'latitude': '40.692998561162', 'longitude': '-73.993976949826', 'human_address': '{""address"": ""141 JORALEMON STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.693671581243', 'longitude': '-73.993093970266', 'human_address': '{""address"": ""142 REMSEN STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-00254-0081,BROOKLYN HEIGHTS,Brooklyn Heights-Cobble Hill                                               ,306698,146253,3-00254-0006, ,40.693417
"{'latitude': '40.649197639045', 'longitude': '-73.94454343766', 'human_address': '{""address"": ""3500 SNYDER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",3110191.0,11203.0,5.43,1930.0,-73.944431,45.0,51840,261345.0,1331000, ,"{'latitude': '40.652725152712', 'longitude': '-73.948853413396', 'human_address': '{""address"": ""275 LINDEN BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}", , , ,"{'latitude': '40.645038943016', 'longitude': '-73.946004041199', 'human_address': '{""address"": ""1151 NEW YORK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",D4-ELEVATOR,3-04933-0001,FLATBUSH-EAST,East Flatbush-Farragut                                                     ,462441,629337,3-04853-0093, ,40.649219
