globalid,parkzone,:@computed_region_92fq_4b7q,crossstreet2,bbl,locationdetails,closeddate,boroughcode,:@computed_region_efsh_h5xi,latitude,census_tract
8A98772A-C55E-4E68-9EBD-68D9A23CB90A,,3.0,,,Forestry pls prune 1 pear tree DL over picnic table 146 St & 56 Rd Tree ID: 5343521,,Queens,14190.0,,
CE7FD29C-EB32-4F4C-A85D-1BB6F4C7205B,X039-ZN05,12.0,,,dia 94561 - large dangling limb over less active lawn near bike path and exit ramp,2017-09-26T08:52:41,Bronx,12344.0,,
0B4900ED-7915-432A-B4A7-F1A5644B01F9,M014,36.0,,,2 along 145 St,,Manhattan,12428.0,,
41BFDEE3-5DF9-43F9-B894-F590D7FAF6ED,B073-ZN05,27.0,,,Dangling limbs Tree ID: 5379527,2020-05-01T17:28:20,Brooklyn,,,
00EA56BD-A87C-42F1-8631-E4EBDB0FEB5C,,25.0,,,Remove 3 dead 1 hanging across from 673 euclid o/a entrance to swings,2021-04-12T11:41:03,Brooklyn,17215.0,,
A940990B-7BEE-435A-BBD8-F64AFE833EB4,,30.0,,,Remove one hanging limb from tree on Maspeth Av. Tree ID: 3363930,2020-02-27T14:04:59,Brooklyn,17613.0,,
045B2817-4FAE-4A43-AD5C-DB5BBDBC464D,,30.0,GROVE STREET,4034420033.0,,2019-03-11T16:21:00,Queens,15310.0,40.702905,547.0
95A6B558-3CE5-4D43-A82C-2FCD6B5003A3,,42.0,,,Tree down on University btw.168th and 170th Street Tree ID: 2250884,2020-07-13T16:51:41,Bronx,10930.0,,
58D883BC-0E19-4ED5-B3E4-44C0955EBC05,,30.0,LORIMER STREET,3027610026.0,,,Brooklyn,17613.0,40.713819,513.0
6A97AF7C-3A56-49AB-80A1-726112B84320,,38.0,,,Prune limbs over BBCT  Tree ID: 4928567,2022-12-14T15:07:25,Brooklyn,17613.0,,
02DA95AD-3CE8-4B69-935D-FA50D6C94C4A,,36.0,,1020310044.0,Remove dead tree  Tree ID: 4929761,2022-11-17T14:04:00,Manhattan,13097.0,40.82269,232.0
26245FD7-817F-42E9-BD62-600A5DD13FDF,,33.0,21 Street,,IA ID#105039 over sidewalk along 35 Avenue,2019-03-25T11:06:11,Queens,16863.0,,
27B818C6-D1FA-42BF-9A85-38B8C7AC273D,,40.0,,,Prune tree multiple  limbs over PE area Tree ID: 3955262,2019-12-16T14:23:00,Bronx,11272.0,,
ED25B2D4-8917-477B-9FA8-10CC3850C885,,11.0,NOSTRAND AVENUE,3013150056.0,,,Brooklyn,13509.0,40.663294,329.0
845DAB8C-D6A4-4176-84AB-7BF9DC5F6B19,,8.0,MARINE PARKWAY,,,,Brooklyn,13512.0,,
F3429382-60FB-4011-8059-F1BE1FD8CDD4,Q024-ZN01,3.0,,,Forestry remove tree exhibiting decay Tree ID: 5344298,2022-04-13T14:56:54,Queens,14507.0,,
C30B41AE-8DE2-478F-B8DB-2EFA3ED61AC1,,40.0,,,Dead limbs Tree ID: 2561791,2021-08-12T12:20:56,Bronx,11272.0,,
ADA583F7-320E-48FA-90CF-194B1FDFCE57,,43.0,,,Remove high dead limb adj to checkers table.  DM Tree ID: 5591096,2022-12-14T14:40:04,Bronx,10937.0,,
D7D0E09B-E393-4B36-8CA8-FEDB29620425,,40.0,,,,2020-11-21T11:11:11,Bronx,11272.0,,
60A3B368-4D34-4720-BB4C-E3B1D5D84362,,34.0,70 STREET,4036850049.0,,,Queens,15310.0,40.702164,625.0
