project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
P1985K1114,6501 18TH AVE A/K/A 1812 65TH STREET,,TIERI\SALVATI,,,,,,General Public,,,
P1977M0108,4295 BROADWAY,,DPW,,1977-01-18T00:00:00.000,,,,General Public,,,M12
2019R0445,SS Holten Avenue,N190516RCR,Vincent Ciccala,Type II,2019-07-30T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
2020K0269,420 Kent Avenue Waterfront Compliance,N210057ZAK; N210058ZAK; N210059ZCK; N210060LDK,Spitzer Enterprises,Type II,2020-12-01T00:00:00.000,ZA - Project Completed,,False,General Public,,,K01
P1977X0335,"E146TH ST,WILLIS AVE,E147TH ST & ST ANN'S AVE",C770225HOX,NYC HOUSING AUTH,,1977-10-20T00:00:00.000,,,,General Public,,,X01
P1984Y1034,,,Unknown,,,,,,General Public,,,
2020K0389,86 Fleet Place - ZR,N210061ZRK,Red Apple Group,Unlisted,2021-06-02T00:00:00.000,EAS - Project Completed,35.0,False,General Public,EAS - Review Filed EAS,,K02
2020M0429,570 Fifth Avenue (Extell),,Extell Development,Type I,,,,False,General Public,,,M05
2020R0233,"SD SS Arbutus Avenue (Block 6517, Lot 70)",N200120RCR; N200121RCR,Block 6517 Lot 70 LLC Block 617 Lot 70 LLC,Type II,2020-02-26T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
2020M0328,"C & V 77 Enterprises, LLC",,"C & V 77 Enterprises, LLC C & V 77 Enterprises, LLC",Not Applicable,2022-10-11T00:00:00.000,EC - Project Completed,,False,General Public,,,M08
P1985M0111,21-23 HOWARD ST A/K/A 261-267 CANAL ST,C850115ZSM,"A CHAU REALTY CORP/GUTTMAN, ARTHUR",,1988-08-30T00:00:00.000,,,,General Public,,,M02
2020R0235,SS 6257 Amboy Road,N200132RCR,Guido Passarelli,Type II,2020-01-06T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
2020R0252,600 Metropolitan Avenue,N200308ZCR,Foster Development LLC,Type II,2020-09-08T00:00:00.000,ZC - Project Completed,,False,General Public,,,R01
2019M0425,"Double Dip, LLC",,"Double Dip, LLC",,2020-01-17T00:00:00.000,EC - Review Filed Land Use Application,,False,General Public,,,M02
P1984Y1197,,,Unknown,,,,,,General Public,,,
