brooklyn_condominiums_comparable_properties_address,comparable_rental_3_neighborhood,comparable_rental_2_address,comparable_rental_1_gross_income_per_sqft,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_1_boro_block_lot,comparable_rental_3_year_built,comparable_rental_2_expense_per_sqft,comparable_rental_1_estimated_gross_income,brooklyn_condominiums_comparable_properties_neighborhood,brooklyn_condominiums_comparable_properties_expense_per_sqft,comparable_rental_3_estimated_expense,brooklyn_condominiums_comparable_properties_estimated_gross_income,brooklyn_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_2_gross_income_per_sqft,brooklyn_condominiums_comparable_properties_full_market_value,comparable_rental_3_market_value_per_sqft,brooklyn_condominiums_comparable_properties_gross_sqft,comparable_rental_1_total_units
101 WYCKOFF AVENUE, ,LINDEN STREET,14.15, ,467 TROUTMAN STREET,3-03178-0023, ,6.5,808201,WYCKOFF HEIGHTS,6.37, ,514037,14.99,15.83,1978000, ,34292,46
353 OCEAN AVENUE,FLATBUSH-EAST,148 ST PAUL'S PLACE,15.42,"16,800",373 OCEAN AVENUE,3-05062-0026,1931,8.62,195857,FLATBUSH-CENTRAL,5.95,"108,696",653201,11.74,15.94,2209998,23.69,55638,24
1711 SHEEPSHEAD BAY ROAD, ,161 CORBIN PLACE,18.19, ,3611 SHORE PARKWAY,3-08786-0029, ,10.23,188885,SHEEPSHEAD BAY,7.51, ,274562,18.32,19.45,1166002, ,14987,16
1157 42 STREET, ,1016 44 STREET,17.6, ,1005 45 STREET,3-05608-0051, ,11.35,263934,BOROUGH PARK,8.7, ,116794,16.89,16.18,409999, ,6915,23
35 UNDERHILL AVENUE, ,210 PARK PLACE,19.38, ,475 WASHINGTON AVENUE,3-01979-0015, ,9.14,1229434,PROSPECT HEIGHTS,8.26, ,1455803,20.12,20.85,6134999, ,72356,47
1674 EAST 22 STREET, ,1715 KINGS HIGHWAY,17.28, ,1932 KINGS HIGHWAY,3-06782-0023, ,13.36,172760,MADISON,7.54, ,308810,20.08,22.42,1377000, ,15379,12
231 15 STREET,FORT GREENE,142 ST PAUL'S PLACE,28.46,"27,144",80 GREENE AVENUE,3-01959-0027,1900,12.7,2033930,PARK SLOPE SOUTH,9.46,"226,573",497822,22.01,26.73,2079000,78.91,22618,97
195 SPENCER STREET,BEDFORD STUYVESANT,299 ADELPHI STREET,28.46,"117,570",80 GREENE AVENUE,3-01959-0027,1973,9.31,2033930,BEDFORD STUYVESANT,7.7,"935,324",454718,18.79,18.79,1928002,50.27,24200,97
9921 4 AVENUE,BAY RIDGE,450 95 STREET,16.14,"40,500",125 96 STREET,3-06120-0046,1958,7.79,696957,BAY RIDGE,7.79,"370,170",769627,16.23,16.23,2662000,79.88,47420,58
47 LINCOLN PLACE, ,911 8 AVENUE,22.01, ,882 UNION STREET,3-01066-0011, ,8.81,296752,PARK SLOPE,7.49, ,239331,17.43,22.95,984999, ,13731,16
249 16 STREET, ,243 13 STREET,24.31, ,549 6 AVENUE,3-01043-0001, ,7.78,255501,PARK SLOPE SOUTH,8.51, ,411575,21.27,23.77,1812000, ,19350,16
580 CROWN STREET,FLATBUSH-CENTRAL,1102 PRESIDENT STREET,18.06,"12,700",1106 PRESIDENT STREET,3-01281-0027,1939,8.81,263643,CROWN HEIGHTS,9.02,"85,738",3128848,17.9,18.06,11187994,59.45,174796,16
6214 24 AVENUE, ,148 ST PAUL'S PLACE,11.81, ,2211 DITMAS AVENUE,3-05186-0038, ,8.62,671422,BOROUGH PARK,5.83, ,410792,13.88,15.94,1570003, ,29596,48
154 SKILLMAN AVENUE,WILLIAMSBURG-SOUTH,373 SOUTH 2 STREET,19.48,"28,800",385 SOUTH 2 STREET,3-02413-0031,1920,8.91,395336,WILLIAMSBURG-EAST,7.99,"388,575",303148,19.48,18.97,1282001,44.31,15562,22
125 OCEANA DRIVE EAST,BENSONHURST,243 KINGSTON AVENUE,26.73,"51,419",142 ST PAUL'S PLACE,3-05079-0019,1991,16.34,429829,BRIGHTON BEACH,10.57,"555,180",3576254,23.5,23.5,14346001,62.58,152181,16
60 TIFFANY PLACE, ,182 AMITY STREET,26.81, ,290 CLINTON STREET,3-00306-0026, ,7.67,229612,COBBLE HILL-WEST,7.27, ,806470,19.3,18.54,3605003, ,41786,22
831 43 STREET,BOROUGH PARK,832 42 STREET,17.55,"24,768",874 42 STREET,3-00925-0037,1927,13.37,223693,BOROUGH PARK,7.12,"197,401",201328,20.33,20.33,935002,63.11,9903,16
20 BAYARD STREET,WILLIAMSBURG-EAST,127 GREEN STREET,21.03,"52,650",94 HAVEMEYER STREET,3-02368-0029,2009,6.49,449621,GREENPOINT,8.67,"545,418",1739905,21.15,21.34,7532998,79.15,82265,29
234 NORTH 9 STREET, ,250 NORTH 6 STREET,15.66, ,222 METROPOLITAN AVENUE,3-02366-0010, ,10.07,212819,WILLIAMSBURG-NORTH,8.08, ,213773,18.78,22.38,837000, ,11383,20
28 GARFIELD PLACE,DOWNTOWN-FULTON MALL,80 GREENE AVENUE,29.61,"39,770",301 CUMBERLAND STREET,3-02119-0010,1930,13.03,572963,PARK SLOPE,13.03,"261,107",380254,28.46,28.46,1488998,113.08,13361,40
3360 SHORE PARKWAY SR SOU, ,2801 EMMONS AVENUE,18.13, ,2685 HOMECREST AVENUE,3-07457-0046, ,11.28,991071,SHEEPSHEAD BAY,6.84, ,209869,19.53,26.84,1001999, ,10746,76
755 40 STREET, ,467 42 STREET,19.72, ,4710 4 AVENUE,3-00764-0039, ,8.26,214143,SUNSET PARK,7.72, ,196642,19.29,18.86,848001, ,10194,16
61 CONSELYEA STREET,CROWN HEIGHTS,1284 PACIFIC STREET,23.03,"8,884",633 GRAND AVENUE,3-01162-0011,1931,8.82,167655,WILLIAMSBURG-EAST,7.09,"61,211",137174,21.01,20.51,664999,21.61,6529,11
119 LORIMER STREET,WILLIAMSBURG-SOUTH,354 SOUTH 2 STREET,15.84,"23,467",189 ROSS STREET,3-02183-0058,1915,13.3,408672,WILLIAMSBURG-CENTRAL,7.72,"275,528",507469,18.83,20.7,2151002,45.13,26950,35
101 WILLOUGHBY STREET,BROOKLYN HEIGHTS,99 GOLD STREET,26.36,"73,032",205 STATE STREET,3-00271-0001,1926,13.96,6397996,DOWNTOWN-METROTECH,11.6,"527,223",8760061,26.36,30.09,35494000,117.65,332324,364
34 ECKFORD STREET,WILLIAMSBURG-SOUTH,260 SOUTH 1 STREET,21.08,"15,836",367 SOUTH 2 STREET,3-02412-0027,1915,14.63,607117,GREENPOINT,9.46,"231,550",519540,21.45,21.45,2130002,48.37,24221,25
3105 EMMONS AVENUE, ,2403 EAST 13 STREET,18.19, ,3611 SHORE PARKWAY,3-08786-0029, ,7.47,188885,SHEEPSHEAD BAY,8.1, ,275163,18.31,18.42,1102000, ,15028,16
8696 18 AVENUE, ,146 BAY 13 STREET,17.21, ,2062 73 STREET,3-06207-0031, ,7.08,165240,BATH BEACH,6.88, ,133550,17.21,13.62,579000, ,7760,13
55 POPLAR STREET,FORT GREENE,197 KANE STREET,22.01,"27,144",337 STATE STREET,3-00171-0049,1900,9.94,875152,BROOKLYN HEIGHTS,6.57,"226,573",1153236,22.01,28.84,5862995,78.91,52396,60
935 PACIFIC STREET,FORT GREENE,1058 BERGEN STREET,28.46,"44,046",80 GREENE AVENUE,3-01959-0027,1927,9.85,2033930,CROWN HEIGHTS,7.16,"409,988",193781,18.79,23.08,864000,68.13,10313,97
151 MANHATTAN AVENUE,WILLIAMSBURG-EAST,47 MAUJER STREET,29.19,"21,459",58 MASPETH AVENUE,3-02907-0119,2007,4.24,465882,WILLIAMSBURG-EAST,8.3,"364,374",341504,20.75,20.75,1192999,25.27,16458,16
214 AVENUE P, ,3161 BRIGHTON 6 STREET,19.53, ,2160 78 STREET,3-06264-0029, ,8.79,1004184,GRAVESEND,7.51, ,352037,18.32,18.32,1493996, ,19216,52
