dbn,school_name,q80_in_planning_my_last,q79_in_planning_my_last_1,q164_at_this_program_teachers,q24_it_s_ok_in_this_school_1,q162_at_the_beginning_of,q17_central_doe_employees_1,q163_at_this_program_teachers,q132_in_planning_my_last,q109_in_planning_my_last_1,q82_in_planning_my_last_1,q162_at_the_beginning_of_1,q7_i_am_able_to_modify_1,q60_overall_my_professional_1,q159_positive_behavior_1,q123_in_planning_my_last,q13_i_am_able_to_develop,q33_i_trust_the_principal,q47_at_this_school_once_we_1,q98_in_planning_my_last,q134_in_planning_my_last,q96_in_planning_my_last_1,q98_in_planning_my_last_1,q161_it_s_a_priority_at_this_1,q42_this_school_educates,q71_the_principal_assistant,q50_at_this_school_teachers,q99_in_planning_my_last_1,q83_in_planning_my_last,q92_in_planning_my_last_1,q54_at_this_school_school_1,q28_teachers_at_this_school,q74_how_much_influence_do,q159_positive_behavior,q94_in_planning_my_last,q65_the_principal_assistant_1,q160_it_s_a_priority_at_this,q109_in_planning_my_last,q166_my_students_are_safe,q102_in_planning_my_last,q10_i_am_able_to_empower,q148_how_many_students_in_1,q93_in_planning_my_last_1,q67_the_principal_assistant_1,q168_my_students_are_safe,q76_the_performance_of_the_1,q126_in_planning_my_last_1,q152_how_many_adults_at_this,q170_it_s_a_priority_at_this,q25_i_have_conversations_1,q18_central_doe_employees,q39_in_this_school_the_staff,q69_the_principal_assistant,q26_teachers_respect_other,q70_the_principal_school,q52_at_this_school_teachers,q97_in_planning_my_last,q120_in_planning_my_last_1,q74_how_much_influence_do_1,q170_it_s_a_priority_at_this_1,q22_i_would_recommend_this_1,q171_adults_at_this_school,q107_in_planning_my_last,q136_how_many_students_in,q55_at_this_school_the_1,q1_how_many_teachers_at_this_1,q25_i_have_conversations,q142_how_many_students_in,q176_adults_at_this_school_1,q42_this_school_educates_1,q121_in_planning_my_last,q175_adults_at_this_school,q81_in_planning_my_last,q105_in_planning_my_last_1,q149_how_many_students_in,q164_at_this_program_teachers_1,q84_in_planning_my_last_1,q56_at_this_school_school,q51_at_this_school_curriculum,q89_in_planning_my_last,q9_i_am_able_to_affirm_racial_1,q139_how_many_students_in,q143_how_many_students_in_1,q21_i_usually_look_forward_1,q124_in_planning_my_last,q138_how_many_students_in_1,q16_i_feel_respected_by_the_1,q116_in_planning_my_last,q4_how_many_teachers_at_this_1,q150_how_many_adults_at_this_1,q118_in_planning_my_last_1,q153_how_many_adults_at_this_1,q6_i_am_able_to_use_my,q172_adults_at_this_school
02M605,Humanities Preparatory Academy,0.0,0.0,0.0,0.06,0.0,,0.0,,0.0,0.0,0.0,0.0,0.06,0.0,1.0,1.0,0.94,0.12,,,,,0.0,1.0,1.0,1.0,,1.0,,0.0,0.94,1.0,0.0,,0.0,0.0,1.0,0.0,,1.0,0.29,,0.0,0.0,0.38,,1.0,0.0,0.06,,1.0,1.0,0.94,1.0,1.0,,0.0,0.0,0.0,0.06,1.0,1.0,0.94,0.0,0.0,0.94,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.71,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.24,0.06,,0.18,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10X549,Discovery High School,0.0,0.0,0.0,0.07,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.0,1.0,0.93,0.97,0.0,,1.0,,,0.0,0.97,0.97,1.0,,1.0,,0.03,0.97,0.97,0.0,,0.0,0.0,1.0,0.0,,1.0,0.31,,0.0,0.0,0.2,0.0,0.97,0.0,0.28,,1.0,1.0,0.97,0.97,1.0,,0.0,0.03,0.0,0.1,1.0,1.0,0.82,0.07,0.0,0.72,0.79,0.04,0.03,1.0,0.96,1.0,0.0,0.86,0.0,0.0,1.0,1.0,1.0,0.1,0.71,0.14,0.07,1.0,0.32,,1.0,0.0,0.03,0.43,0.1,1.0,0.96
KBZG,Ring Around The Rosie,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0
15K131,P.S. 131 Brooklyn,1.0,0.0,,0.38,,,,0.91,0.0,0.2,,0.02,0.11,,1.0,0.96,0.65,0.09,0.8,0.94,0.2,0.2,,0.94,0.87,0.84,0.2,0.8,0.2,0.02,0.79,0.81,,0.8,0.11,,1.0,0.91,0.8,0.94,0.27,0.2,0.15,1.0,0.39,0.06,0.84,0.83,0.38,,0.92,0.87,0.77,0.89,0.94,0.8,0.0,0.19,0.17,0.27,0.0,1.0,0.61,0.15,0.21,0.62,0.82,0.0,0.06,1.0,0.0,0.8,0.0,0.87,,0.0,0.96,0.91,1.0,0.02,0.8,0.2,0.29,0.97,0.36,,1.0,0.12,0.21,0.0,0.16,0.98,0.0
11X529,One World Middle School At Edenwald,0.0,0.0,0.0,0.06,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.03,0.0,1.0,1.0,0.97,0.09,1.0,1.0,0.0,0.0,0.0,1.0,0.97,0.97,0.0,1.0,0.0,0.0,0.94,0.94,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.34,0.0,0.0,0.0,0.16,0.0,0.88,1.0,0.09,,0.97,1.0,0.94,0.94,1.0,1.0,0.0,0.06,0.0,0.0,0.0,1.0,0.69,0.0,0.06,0.91,0.89,0.0,0.0,0.9,0.0,0.8,0.0,0.82,0.0,0.0,1.0,0.97,1.0,0.0,0.8,0.23,0.09,1.0,0.29,,0.9,0.09,0.06,0.0,0.09,1.0,0.0
04M096,P.S. 096 Joseph Lanzetta,,,,0.1,,,,0.96,0.0,,,0.05,0.05,,1.0,0.95,0.97,0.1,,0.96,,,,0.97,0.97,0.89,,,,0.05,0.97,0.95,,,0.03,,1.0,0.68,,0.92,0.39,,0.05,1.0,0.35,0.04,0.94,0.97,0.08,,0.95,0.97,0.97,0.97,1.0,,0.0,0.05,0.03,0.1,0.0,1.0,0.69,0.03,0.11,0.92,0.89,0.0,0.03,1.0,0.0,,0.0,0.85,,,1.0,0.94,,0.08,0.92,0.28,0.03,0.96,0.53,,1.0,0.18,0.03,0.0,0.09,0.95,0.0
12X129,M.S. 129 Academy For Independent Learning And Leadership,0.0,0.0,0.0,0.39,0.0,,0.0,1.0,0.0,0.0,0.0,0.03,0.17,0.0,1.0,0.97,0.81,0.2,,1.0,,,0.0,0.97,0.8,0.88,,1.0,,0.03,0.77,0.69,0.0,,0.25,0.0,1.0,0.0,,0.97,0.45,,0.19,0.0,0.27,0.0,0.84,1.0,0.19,,1.0,0.86,0.83,0.89,0.97,,0.0,0.31,0.0,0.09,0.0,0.91,0.55,0.09,0.11,0.81,0.79,0.0,0.03,1.0,0.0,1.0,0.0,0.48,0.0,0.0,0.97,0.94,1.0,0.03,0.7,0.36,0.17,1.0,0.42,,1.0,0.14,0.09,0.0,0.19,1.0,0.0
07X065,P.S. 065 Mother Hale Academy,,,0.0,0.24,0.0,,0.0,1.0,,,0.0,0.0,0.07,0.0,,0.94,0.65,0.5,,1.0,,,0.0,0.94,0.67,0.88,,,,0.12,0.82,0.69,0.0,,0.27,0.0,,0.55,,1.0,0.33,,0.19,1.0,0.54,0.0,0.85,1.0,0.35,,0.81,0.81,0.76,0.69,1.0,,,0.31,0.0,0.29,0.0,,0.53,0.19,0.35,0.65,0.8,0.0,0.06,,0.0,,,0.85,0.0,,1.0,0.73,,0.0,0.67,0.4,0.24,1.0,0.4,,,0.24,0.31,,0.31,1.0,0.0
19K953,The East New York Arts And Civics High School,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.09,0.0,0.0,0.89,0.82,0.09,,,,,0.0,1.0,0.64,0.88,,,,0.0,1.0,0.91,0.0,,0.18,0.0,,0.0,,1.0,0.45,,0.27,0.0,0.4,,0.78,0.0,0.09,,1.0,0.55,1.0,0.64,0.91,,0.0,0.09,0.0,0.09,1.0,,0.64,0.09,0.1,0.91,0.55,0.0,0.0,0.0,1.0,,,0.64,0.0,,0.91,0.88,,0.0,0.64,0.36,0.0,,0.55,,0.0,0.27,0.0,0.0,0.0,1.0,1.0
05M692,"High School For Mathematics, Science And Engineering At City College",0.0,0.0,0.0,0.04,0.0,,0.0,1.0,,,0.0,0.0,0.15,0.0,0.86,0.96,0.92,0.15,1.0,1.0,0.0,0.0,0.0,1.0,0.92,0.95,0.0,,0.0,0.0,1.0,0.96,0.0,1.0,0.12,0.0,,0.0,1.0,0.93,0.08,0.0,0.12,0.0,0.44,0.0,0.96,0.0,0.04,,0.96,0.92,0.96,0.85,0.96,1.0,0.0,0.04,0.0,0.04,1.0,,0.88,0.0,0.04,0.96,1.0,0.0,0.0,1.0,1.0,,,1.0,0.0,,0.96,0.95,,0.07,0.81,0.08,0.08,1.0,0.12,,0.86,0.04,0.04,0.14,0.04,1.0,1.0
15K118,The Maurice Sendak Community School,,,,0.04,,,,1.0,0.0,0.2,,0.0,0.41,,1.0,0.91,0.61,0.39,0.0,1.0,0.0,0.0,,0.96,0.65,0.7,0.0,1.0,0.0,0.0,0.91,0.83,,0.0,0.3,,1.0,1.0,0.0,1.0,0.05,0.0,0.35,1.0,0.25,0.07,0.9,1.0,0.17,,0.96,0.65,0.91,0.36,0.96,0.0,0.0,0.17,0.0,0.04,0.0,1.0,0.63,0.09,0.19,0.83,0.81,0.0,0.04,1.0,0.0,0.8,0.0,0.88,,0.0,0.95,0.76,,0.0,1.0,0.1,0.04,0.93,0.2,,1.0,0.04,0.1,0.0,0.14,1.0,0.0
15K684,Millennium Brooklyn Hs,0.0,0.0,0.0,0.08,0.0,,0.0,1.0,0.0,0.0,0.0,0.04,0.11,0.0,1.0,0.98,0.88,0.11,1.0,0.95,0.12,0.0,0.0,1.0,0.84,0.78,0.0,1.0,0.12,0.04,0.98,0.93,0.0,1.0,0.19,0.0,1.0,0.0,1.0,0.98,0.13,0.0,0.13,0.0,0.47,0.0,0.96,0.0,0.06,,0.98,0.83,0.89,0.78,0.96,1.0,0.0,0.07,0.0,0.09,1.0,1.0,0.87,0.15,0.06,0.94,0.96,0.0,0.0,1.0,0.98,1.0,0.0,0.98,0.0,0.0,0.96,0.76,1.0,0.02,0.96,0.02,0.13,1.0,0.13,,0.83,0.08,0.02,0.17,0.06,1.0,1.0
10X291,P.S. 291,,,0.0,0.03,0.0,,0.0,0.97,0.0,,0.0,0.03,0.03,0.0,1.0,0.94,0.94,0.06,,1.0,,,0.0,0.97,0.94,0.91,,,,0.0,0.97,0.92,0.0,,0.06,0.0,1.0,0.93,,0.97,0.29,,0.03,1.0,0.12,0.0,0.85,0.97,0.14,,0.97,0.97,0.97,0.92,0.97,,0.0,0.08,0.03,0.03,0.0,1.0,0.66,0.03,0.09,0.86,0.82,0.0,0.03,1.0,0.0,,0.0,0.7,0.0,,1.0,0.94,,0.03,0.86,0.23,0.06,1.0,0.26,,1.0,0.17,0.14,0.0,0.15,0.97,0.0
18K068,I.S. 068 Isaac Bildersee,0.0,0.0,0.0,0.05,0.0,,0.0,0.8,0.14,,0.0,0.0,0.05,0.0,1.0,0.89,1.0,0.15,,0.83,,,0.0,1.0,0.95,1.0,,,,0.1,0.95,1.0,0.0,,0.05,0.0,0.86,0.0,,1.0,0.5,,0.15,0.0,0.43,0.17,0.8,0.89,0.16,,0.9,1.0,0.95,0.85,0.9,,0.0,0.0,0.11,0.0,0.0,0.86,0.35,0.15,0.05,0.84,0.75,0.0,0.0,1.0,0.0,,0.14,0.6,0.0,,1.0,1.0,,0.05,0.7,0.35,0.0,0.67,0.5,,1.0,0.1,0.15,0.0,0.2,1.0,0.0
04M057,James Weldon Johnson,,,,0.25,,,,0.95,0.11,,,0.0,0.17,,1.0,0.94,0.64,0.39,,0.95,,,,0.92,0.64,0.79,,,,0.08,0.92,0.67,,,0.31,,0.89,0.8,,1.0,0.47,,0.25,1.0,0.38,0.05,0.79,0.83,0.33,,0.97,0.64,0.89,0.69,0.94,,0.0,0.33,0.17,0.37,0.0,0.78,0.53,0.17,0.1,0.67,0.75,0.0,0.08,1.0,0.0,,0.11,0.53,,,1.0,0.72,,0.0,0.6,0.47,0.28,0.8,0.61,,1.0,0.22,0.24,0.0,0.24,1.0,0.0
12X242,Mott Hall V,0.0,0.0,0.0,0.18,0.0,,0.0,0.89,0.1,0.0,0.0,0.02,0.12,0.0,1.0,0.93,0.95,0.32,0.8,1.0,0.3,0.2,0.0,0.96,0.86,0.79,0.0,1.0,0.0,0.11,0.98,0.84,0.0,0.8,0.09,0.0,0.9,0.0,0.9,0.87,0.51,0.0,0.14,0.0,0.2,0.2,0.85,0.95,0.15,,1.0,0.84,0.93,0.86,0.91,0.7,0.0,0.16,0.05,0.09,0.95,0.9,0.4,0.04,0.13,0.85,0.81,0.0,0.04,0.91,1.0,1.0,0.09,0.63,0.0,0.0,0.95,0.85,1.0,0.02,0.63,0.35,0.04,0.9,0.44,,0.82,0.11,0.05,0.09,0.05,0.98,1.0
03M403,The Global Learning Collaborative,0.0,0.0,0.0,0.18,0.0,,0.0,0.75,0.14,0.14,0.0,0.07,0.21,0.0,0.8,0.93,0.89,0.11,0.86,1.0,0.14,0.14,0.0,0.96,0.89,0.93,0.14,0.86,0.0,0.04,0.96,0.81,0.0,0.86,0.07,0.0,0.86,0.0,1.0,0.89,0.41,0.0,0.15,0.0,0.38,0.12,0.73,0.0,0.18,,0.93,0.93,0.79,0.81,0.93,0.86,0.2,0.19,0.0,0.18,1.0,1.0,0.52,0.04,0.35,0.82,0.74,0.04,0.04,0.8,1.0,1.0,0.14,0.74,0.0,0.14,0.96,0.85,0.86,0.04,0.56,0.33,0.18,1.0,0.41,,0.6,0.39,0.15,0.4,0.16,1.0,1.0
08X036,P.S. 036 Unionport,,,,0.08,,,,1.0,0.0,,,0.05,0.08,,,0.97,0.84,0.05,,0.96,,,,1.0,0.97,0.97,,,,0.0,0.95,0.83,,,0.03,,1.0,0.97,,0.94,0.51,,0.14,1.0,0.38,0.0,0.88,1.0,0.22,,0.97,0.94,0.95,0.94,1.0,,,0.17,0.0,0.05,0.0,1.0,0.6,0.05,0.06,0.78,0.91,0.0,0.0,,0.0,,0.0,0.59,,,1.0,1.0,,0.0,0.89,0.34,0.11,1.0,0.4,,,0.03,0.06,,0.21,0.97,0.0
10X331,The Bronx School Of Young Leaders,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,0.97,0.0,0.83,1.0,0.0,0.17,0.0,0.94,0.94,0.94,0.0,1.0,0.0,0.03,1.0,0.89,0.0,1.0,0.06,0.0,1.0,0.0,1.0,0.97,0.4,0.0,0.09,0.0,0.04,0.0,0.94,1.0,0.14,,0.97,0.94,0.97,1.0,1.0,1.0,0.0,0.11,0.0,0.03,0.0,1.0,0.74,0.03,0.0,0.86,0.91,0.0,0.06,1.0,0.0,1.0,0.0,0.66,0.0,0.12,0.97,0.91,1.0,0.0,0.8,0.23,0.03,1.0,0.37,,1.0,0.0,0.09,0.09,0.09,1.0,0.0
02M414,N.Y.C. Museum School,0.0,0.0,0.0,0.23,0.0,,0.0,0.88,0.0,0.0,0.0,0.13,0.27,0.0,0.83,0.86,0.8,0.27,1.0,1.0,0.2,0.0,0.0,0.9,0.6,0.76,0.0,0.86,0.0,0.1,0.87,0.63,0.0,1.0,0.17,0.0,1.0,0.0,1.0,0.9,0.24,0.0,0.27,0.0,0.44,0.0,0.83,0.0,0.17,,0.87,0.6,0.87,0.57,0.87,1.0,0.17,0.37,0.0,0.13,1.0,1.0,0.72,0.07,0.21,0.83,0.93,0.04,0.1,0.83,0.96,1.0,0.0,0.9,0.0,0.0,0.93,0.62,1.0,0.07,0.66,0.24,0.13,1.0,0.41,,0.33,0.13,0.21,0.67,0.29,0.93,1.0
11X287,North Bronx School Of Empowerment,0.0,0.0,0.0,0.09,0.0,,0.0,0.88,0.07,0.0,0.0,0.0,0.08,0.0,0.9,1.0,0.97,0.14,,1.0,,,0.0,0.97,0.89,0.82,,1.0,,0.05,0.91,0.81,0.0,,0.06,0.0,0.93,0.0,,1.0,0.65,,0.14,0.0,0.17,0.17,0.86,0.9,0.08,,0.89,0.95,0.94,0.94,0.92,,0.0,0.19,0.1,0.25,0.0,0.86,0.36,0.05,0.11,0.92,0.65,0.0,0.03,1.0,0.0,1.0,0.14,0.44,0.0,0.0,1.0,0.91,1.0,0.03,0.68,0.54,0.06,1.0,0.57,,0.9,0.08,0.09,0.0,0.25,1.0,0.0
10X095,P.S. 095 Sheila Mencher,,,,0.09,,,,0.95,0.14,,,0.03,0.18,,,0.89,0.91,0.3,,0.95,,,,0.97,0.76,0.81,,,,0.0,0.97,0.82,,,0.15,,0.86,0.93,,0.94,0.39,,0.18,1.0,0.35,0.0,0.97,0.9,0.25,,1.0,0.82,0.97,0.7,1.0,,,0.18,0.1,0.03,0.0,1.0,0.61,0.06,0.0,0.75,0.97,0.0,0.03,,0.0,,0.0,0.71,,,1.0,0.88,,0.03,0.71,0.39,0.12,0.89,0.45,,,0.0,0.0,,0.03,0.97,0.0
19K452,Frederick Douglass Academy Viii Middle School,0.0,0.0,0.0,0.16,0.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.95,0.05,,1.0,,,0.0,0.95,1.0,1.0,,,,0.05,0.74,1.0,0.0,,0.0,0.0,1.0,0.0,,0.95,0.5,,0.0,0.0,0.58,0.0,0.88,0.93,0.21,,0.95,1.0,0.84,1.0,1.0,,0.0,0.0,0.07,0.0,0.0,1.0,0.76,0.0,0.05,0.79,0.89,0.0,0.05,1.0,0.0,,0.0,0.61,0.0,,1.0,0.94,,0.0,0.78,0.35,0.05,1.0,0.28,,,0.05,0.11,,0.24,1.0,0.0
13K046,P.S. 046 Edward C. Blum,,,,0.05,,,,1.0,,,,0.0,0.1,,,1.0,0.91,0.05,,0.94,,,,0.95,0.86,0.95,,,,0.0,0.95,0.9,,,0.1,,,0.92,,1.0,0.33,,0.05,1.0,0.28,0.0,0.89,1.0,0.05,,1.0,0.95,0.91,0.9,1.0,,,0.1,0.0,0.09,0.0,,0.43,0.05,0.05,0.95,0.76,0.0,0.05,,0.0,,,0.6,,,1.0,0.9,,0.0,0.95,0.33,0.05,1.0,0.48,,,0.0,0.06,,0.17,1.0,0.0
KBZX,Yeshiva Torah Vodaath Preschool,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,,0.0
03M402,The Urban Assembly School For Green Careers,0.0,0.0,0.0,0.05,0.0,,0.0,1.0,0.0,,0.0,0.38,0.09,0.0,,0.9,0.86,0.18,,0.88,,,0.0,0.95,0.82,0.86,,,,0.0,0.91,0.59,0.0,,0.09,0.0,1.0,0.0,,0.86,0.57,,0.14,0.0,0.46,0.0,0.95,0.0,0.09,,1.0,0.82,0.95,0.91,1.0,,,0.41,0.0,0.09,1.0,1.0,0.52,0.09,0.14,0.91,0.76,0.05,0.05,,1.0,,0.0,0.52,0.0,,0.95,0.9,,0.05,0.67,0.48,0.27,0.88,0.29,,,0.14,0.05,,0.1,0.86,1.0
12X316,Kappa Iii,0.0,0.0,0.0,0.04,0.0,,0.0,1.0,0.17,,0.0,0.0,0.09,0.0,0.86,1.0,0.88,0.17,,1.0,,,0.0,1.0,0.87,0.95,,,,0.04,0.92,0.87,0.0,,0.13,0.0,0.83,0.0,,0.96,0.3,,0.09,0.0,0.35,0.0,0.91,0.95,0.12,,0.91,0.87,0.96,0.96,1.0,,0.14,0.13,0.05,0.17,0.0,1.0,0.74,0.08,0.04,0.88,0.78,0.0,0.0,0.86,0.0,,0.0,0.7,0.0,,1.0,0.92,,0.0,0.83,0.27,0.17,0.83,0.39,,0.71,0.08,0.05,0.14,0.0,1.0,0.0
07X154,P.S. 154 Jonathan D. Hyatt,,,,0.32,,,,1.0,,,,0.05,0.14,,,0.95,0.95,0.05,,0.94,,,,0.95,0.95,0.75,,,,0.0,0.91,0.95,,,0.1,,,0.5,,0.95,0.5,,0.05,1.0,0.54,0.07,0.95,1.0,0.05,,0.95,0.91,0.91,0.95,1.0,,,0.05,0.0,0.14,0.0,,0.5,0.09,0.05,0.95,0.86,0.0,0.05,,0.0,,,0.61,,,1.0,0.83,,0.09,0.91,0.55,0.09,1.0,0.36,,,0.09,0.0,,0.05,1.0,0.0
02M933,City Knoll Middle School,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,0.21,0.0,1.0,0.93,0.93,0.2,,1.0,,,0.0,1.0,0.79,0.87,,,,0.07,1.0,0.86,0.0,,0.29,0.0,,0.0,,1.0,0.5,,0.36,0.0,0.43,0.0,0.86,0.93,0.33,,1.0,0.79,1.0,0.86,0.93,,0.0,0.14,0.07,0.13,0.0,,0.36,0.07,0.13,0.67,0.86,0.0,0.0,1.0,0.0,,,0.5,0.0,,1.0,0.86,,0.0,0.64,0.5,0.0,0.8,0.64,,0.8,0.07,0.07,0.0,0.07,1.0,0.0
17K524,International High School At Prospect Heights,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,0.0,0.0,0.2,0.0,1.0,0.95,0.95,0.15,,1.0,,,0.0,1.0,0.81,1.0,,,,0.05,1.0,0.9,0.0,,0.1,0.0,1.0,0.0,,1.0,0.32,,0.14,0.0,0.33,0.0,1.0,0.0,0.05,,1.0,0.86,1.0,0.81,1.0,,0.0,0.1,0.0,0.0,1.0,1.0,0.79,0.05,0.0,0.95,0.84,0.0,0.0,1.0,1.0,,0.0,0.83,0.0,,1.0,0.95,,0.0,0.89,0.21,0.1,1.0,0.21,,1.0,0.0,0.05,0.0,0.05,1.0,1.0
12X511,Bronx Envision Academy,0.0,0.0,0.0,0.06,0.0,,0.0,0.9,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.94,1.0,0.09,,0.9,,,0.0,0.97,0.97,0.88,,1.0,,0.03,1.0,0.94,0.0,,0.03,0.0,1.0,0.0,,1.0,0.64,,0.06,0.0,0.42,0.1,0.94,0.0,0.09,,0.97,0.97,0.94,0.94,0.91,,0.0,0.06,0.0,0.06,1.0,1.0,0.67,0.06,0.03,0.91,0.7,0.0,0.03,0.8,0.97,1.0,0.0,0.34,0.0,0.0,0.97,0.91,1.0,0.0,0.64,0.42,0.0,0.9,0.39,,1.0,0.09,0.06,0.0,0.12,1.0,1.0
13K287,P.S. 287 Bailey K. Ashford,0.0,0.0,0.0,0.25,0.0,,0.0,1.0,,,0.0,0.12,0.25,0.0,,0.88,0.75,0.25,,1.0,,,0.0,1.0,0.75,1.0,,,,0.12,0.88,0.88,0.0,,0.12,0.0,,0.5,,0.88,0.5,,0.25,1.0,0.2,0.0,0.88,1.0,0.25,,0.88,0.75,0.88,0.86,1.0,,,0.12,0.0,0.25,0.0,,0.38,0.0,0.29,0.75,0.88,0.0,0.0,,0.0,,,0.62,0.0,,1.0,1.0,,0.12,0.62,0.5,0.25,1.0,0.62,,,0.25,0.0,,0.0,1.0,0.0
02M130,P.S. 130 Hernando De Soto,,,,0.04,,,,0.97,,,,0.0,0.05,,,1.0,0.98,0.04,,0.97,,,,1.0,1.0,0.92,,,,0.0,1.0,0.95,,,0.05,,,0.78,,1.0,0.36,,0.05,0.97,0.38,0.0,1.0,0.94,0.16,,1.0,0.98,1.0,0.98,1.0,,,0.05,0.06,0.02,0.0,,0.61,0.0,0.02,0.84,0.86,0.0,0.0,,0.0,,,0.74,,,1.0,0.97,,0.0,0.74,0.17,0.04,1.0,0.37,,,0.07,0.02,,0.05,1.0,0.0
08X304,P.S. 304 Early Childhood School,,,0.0,0.0,0.0,,0.0,1.0,,0.0,0.0,0.0,0.04,0.0,,1.0,0.85,0.0,,1.0,,,0.0,1.0,0.92,1.0,,0.0,,0.0,1.0,0.96,0.0,,0.04,0.0,,1.0,,0.93,0.33,,0.04,1.0,0.17,0.0,0.92,1.0,0.19,,0.96,0.92,1.0,1.0,0.96,,,0.04,0.0,0.0,0.0,,0.67,0.0,0.0,0.81,0.93,0.0,0.0,,0.0,0.0,,0.85,0.0,0.0,0.96,1.0,0.0,0.07,0.89,0.26,0.04,0.95,0.19,,,0.0,0.04,,0.12,1.0,0.0
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,,,0.0,0.18,0.0,,0.0,0.83,0.0,0.0,0.0,0.02,0.12,0.0,1.0,0.9,0.84,0.26,1.0,0.92,0.0,0.0,0.0,0.89,0.8,0.76,0.0,1.0,0.0,0.08,0.82,0.76,0.0,0.71,0.21,0.0,1.0,0.82,1.0,0.96,0.62,0.0,0.2,1.0,0.21,0.04,0.72,0.84,0.31,,0.96,0.84,0.78,0.83,1.0,1.0,0.11,0.24,0.16,0.1,0.0,0.92,0.45,0.1,0.18,0.69,0.82,0.0,0.11,1.0,0.0,1.0,0.0,0.56,0.0,0.0,0.96,0.68,1.0,0.06,0.59,0.41,0.08,1.0,0.53,,1.0,0.19,0.28,0.0,0.32,0.96,0.0
12X388,Pan American International High School At Monroe,0.0,0.0,0.0,0.06,0.0,,0.0,0.92,0.14,0.0,0.0,0.0,0.03,0.0,1.0,0.97,0.97,0.0,1.0,1.0,0.0,0.0,0.0,0.97,0.94,0.94,0.0,1.0,0.0,0.0,0.97,0.97,0.0,1.0,0.03,0.0,0.86,0.0,1.0,0.97,0.14,0.0,0.06,0.0,0.1,0.15,0.94,0.0,0.03,,0.97,0.97,1.0,1.0,1.0,1.0,0.0,0.03,0.0,0.06,1.0,1.0,0.69,0.0,0.06,0.97,0.86,0.0,0.03,1.0,1.0,1.0,0.57,0.82,0.0,0.0,1.0,0.91,1.0,0.0,0.83,0.11,0.03,1.0,0.34,,0.83,0.0,0.0,0.0,0.03,1.0,1.0
11X275,High School Of Computers And Technology,0.0,0.0,0.0,0.1,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,,1.0,0.9,0.1,0.8,1.0,0.0,0.2,0.0,1.0,0.93,0.93,0.2,1.0,0.0,0.03,0.97,0.87,0.0,0.8,0.0,0.0,1.0,0.0,1.0,0.97,0.47,0.0,0.07,0.0,0.27,0.07,0.9,0.0,0.1,,1.0,0.97,0.93,0.9,0.93,1.0,,0.13,0.0,0.0,1.0,1.0,0.57,0.0,0.0,0.9,0.77,0.03,0.0,,1.0,1.0,0.0,0.57,0.0,0.0,1.0,0.89,1.0,0.03,0.7,0.4,0.03,1.0,0.4,,,0.07,0.1,,0.13,1.0,1.0
18K114,P.S. 114 Ryder Elementary,,,,0.15,,,,0.94,0.0,,,0.0,0.0,,,0.96,0.89,0.15,,0.94,,,,0.96,0.74,0.96,,,,0.0,0.93,0.93,,,0.11,,1.0,0.89,,1.0,0.31,,0.15,1.0,0.29,0.07,1.0,1.0,0.11,,1.0,0.81,0.93,0.85,1.0,,,0.07,0.0,0.04,0.0,1.0,0.72,0.0,0.04,0.89,0.92,0.0,0.04,,0.0,,0.0,0.74,,,1.0,0.81,,0.0,1.0,0.15,0.04,0.93,0.28,,,0.07,0.08,,0.17,1.0,0.0
