address_1,weather_normalized_site_energy,multifamily_housing_number_4,financial_office_computer,college_university_number,manufacturing_industrial,multifamily_housing_total_1,hotel_worker_density_number,percent_of_electricity_that,alert_energy_no_meters,data_center_ups_output_meter,data_center_pdu_output_meter,property_gfa_calculated_1,multifamily_housing_percent,electricity_use_generated_2,indoor_water_use_all_water,default_values,food_service_gross_floor,office_gross_floor_area_ft,municipally_supplied_potable_1,energy_star_certification,medical_office_number_of_1,estimated_data_flag_fuel_2,supermarket_grocery_gross,_3rd_largest_property_use,distribution_center_gross,last_modified_date_non,latitude,medical_office_gross_floor,avoided_emissions_onsite,avoided_emissions_offsite,other_gross_floor_area_ft,_3rd_largest_property_use_1,last_modified_date_gas_meters,hospital_general_medical_4,medical_office_weekly,county,weather_normalized_site_1,third_party_certification,total_ghg_emissions_metric,weather_normalized_source,other_computer_density_number,office_percent_that_can_be_1,electricity_use_grid_purchase_1,water_current_date,multifamily_housing_number_2,last_modified_date_electric
850 Third Avenue,46880304.0,,,,,,,0.0,Ok,,,590518.0,,,,No,,543920.0,,201720162015201420132011,,,,Parking,,02/21/2018 03:43 PM EST,40.756924,,,0.0,,10078.0,,,,,,,3672.5,181.5,,100.0,7562513.0,2015-12-31T00:00:00.000,,03/05/2018 04:40 PM EST
580 FIFTH AVE,47510300.5,,,,,,,0.0,Ok,,,446328.0,,,,No,,343328.0,,,,No,,,,03/28/2018 03:31 PM EDT,40.756959,,,0.0,103000.0,,03/27/2018 10:28 AM EDT,,,USA,0.0,,3782.5,242.5,0.14563,100.0,8342904.9,2016-12-31T00:00:00.000,,03/27/2018 10:13 AM EDT
9801 Ave D,5058918.0,,,,,,,0.0,Ok,,,130000.0,,,,No,,,,,,,,,,,40.650545,,,0.0,,,03/14/2018 01:21 PM EDT,,,Kings,0.4,,282.3,47.0,,,112371.5,2016-12-31T00:00:00.000,,03/14/2018 01:04 PM EDT
106 & 114 West 143rd Street,7937403.8,0.0,,,,1.2,,0.0,Ok,,,103248.0,100.0,,7099.0,Yes,,,7099.0,,,,,,,,,,,0.0,,,03/08/2018 10:25 AM EST,,,,0.6,,461.2,117.1,,,529890.4,2018-06-30T00:00:00.000,,03/08/2018 10:19 AM EST
1070 Havemeyer Avenue,,,,,,,,,Ok,,,131000.0,,,,Yes,,,,,,,,,,,40.82987,,,,,,,,,,,,0.0,,,,,,,
9 Crosby Street,18172158.7,,,,,,0.67178,0.0,Ok,,,126529.0,,,9279.9,No,,,9279.9,,,,,,,,40.719904,,,0.0,,,03/15/2018 04:55 PM EDT,,,,0.7,,1281.7,308.5,,,2809999.6,2018-01-31T00:00:00.000,,03/15/2018 04:03 PM EDT
1141-61 Jerome Avenue,1713231.6,0.0,,,,1.12048,,0.0,Ok,,,83000.0,0.0,,13543.8,Yes,,,13543.8,,,,,,,03/16/2018 10:38 AM EDT,40.835271,,,0.0,,,03/14/2018 09:24 AM EDT,,,,,,151.9,64.8,,,502119.4,2017-12-31T00:00:00.000,6.0,03/13/2018 11:34 AM EDT
26-24 21st Street,3840296.1,117.0,,,,0.91881,,0.0,Ok,,,127338.0,50.0,,3894.9,No,,,3894.9,,,,,,,,40.773002,,,0.0,,,02/28/2018 11:05 AM EST,,,,0.2,,234.6,48.3,,,297900.0,2017-12-31T00:00:00.000,,02/28/2018 10:50 AM EST
325 East 198th Street,5752750.2,0.0,,,,1.10366,,0.0,Ok,,,72486.0,100.0,,2505.2,No,,,2505.2,,,,,,,,40.867815,,,0.0,,,03/12/2018 01:57 PM EDT,,,,0.6,,323.8,114.5,,,311766.9,2017-12-31T00:00:00.000,8.0,03/12/2018 12:35 PM EDT
2310 Ocean Parkway,5005516.2,0.0,,,,0.82768,,0.0,Ok,,,73700.0,90.0,,2181.8,No,,,2181.8,,,,,,,,40.593013,,,0.0,,,03/23/2018 12:28 PM EDT,,,,0.6,,278.5,93.7,,,228978.8,2017-12-31T00:00:00.000,2.0,03/23/2018 10:16 AM EDT
30 West 181st Street,,0.0,,,,1.43975,,0.0,Ok,,,31950.0,,,5500.0,Yes,,,5500.0,,,,,,,,40.856231,,,0.0,,,,,,,,,210.2,,,,37643.1,2017-12-31T00:00:00.000,,
31-22 College Point Blvd,,,,,65968.0,,,,Possible Issue,,,65968.0,,,463.0,No,,,463.0,,,,,,,,40.768462,,,,,,03/05/2018 08:57 AM EST,,,,,,0.0,,,,,2017-12-31T00:00:00.000,,03/05/2018 08:57 AM EST
2875 Edson Avenue,750301.5,,,,,,,0.0,Ok,,,115274.0,,,86.0,No,,,86.0,,,,,,,,40.869927,,,0.0,,,03/13/2018 07:25 PM EDT,,,,0.0,,41.0,11.2,,,59282.0,2018-01-31T00:00:00.000,,03/13/2018 07:25 PM EDT
3115 Brighton 4th St,,0.0,,,,0.90909,,0.0,Ok,,,92400.0,,,4231.0,Yes,,,4231.0,,,,,,,,40.576355,,,0.0,,,02/27/2018 11:57 AM EST,,,,0.7,,335.7,,,,70953.3,2017-12-31T00:00:00.000,,02/27/2018 11:16 AM EST
3518 Jerome Ave,159928.5,,,,,,,0.0,Ok,,,78600.0,,,,No,,,,,,,,,,,40.883321,,,0.0,,,,,,,,,13.6,6.4,,,44800.0,,,04/25/2018 03:37 AM EDT
327 St. Nicholas Ave,6140701.3,0.0,,,,0.8312,,0.0,Ok,,,87825.0,30.0,,,No,,,,,,,,,,,40.811588,,,0.0,,,03/26/2018 11:47 AM EDT,,,,0.5,,355.8,109.2,,,438553.2,2016-12-31T00:00:00.000,6.0,03/26/2018 11:43 AM EDT
1224 Walton Avenue,,0.0,,,,0.86013,,0.0,Ok,,,45017.0,0.0,,4576.8,No,,,4576.8,,,,,,,03/16/2018 10:01 AM EDT,40.835619,,,0.0,,,03/16/2018 09:58 AM EDT,,,,0.6,,198.2,,,,216778.9,2017-12-31T00:00:00.000,3.0,03/16/2018 10:00 AM EDT
12 - 16 43rd Ave,16047753.9,,,,,,,0.0,Ok,,,108880.0,,,1359.9,No,,86250.0,1359.9,,,,,,,,40.751383,,,0.0,,,03/06/2018 09:56 AM EST,,,,0.6,,1181.6,336.7,,100.0,2801066.3,2017-12-31T00:00:00.000,,03/06/2018 09:54 AM EST
1400 Broadway,64818295.1,,,,,,,0.0,Ok,,,818729.0,,,12600.2,No,,809400.0,12600.2,201720162015,,No,,Bank Branch,,02/13/2018 03:44 PM EST,40.753187,,,0.0,,2579.0,02/14/2018 03:20 PM EST,,,,0.0,,5147.4,182.9,,100.0,11644709.0,2017-12-31T00:00:00.000,,02/14/2018 03:08 PM EST
33-43 Crescent Street,7664196.2,0.0,,,,1.03489,,0.0,Ok,,,71824.0,0.0,,4119.1,Yes,,,4119.1,,2.83,,,Medical Office,,03/28/2018 10:34 PM EDT,40.7619,1285.0,,0.0,,1285.0,03/28/2018 10:37 PM EDT,,65.0,,0.9,,412.6,141.4,,,296046.4,2017-12-31T00:00:00.000,9.0,03/28/2018 10:34 PM EDT
111-45 76 Drive,,0.0,,,,1.2,,0.0,Ok,,,49000.0,,,,Yes,,,,,,,,,,01/25/2018 04:41 PM EST,40.715809,,,0.0,,,01/25/2018 04:39 PM EST,,,,0.8,,209.5,,,,26408.8,,,02/24/2018 09:58 AM EST
24-36 Laurel Hill Terrace,5025633.0,0.0,,,,1.11982,,0.0,Ok,,,42864.0,20.0,,,No,,,,,,,,,,02/20/2018 04:07 PM EST,40.848781,,,0.0,,,02/22/2018 03:58 PM EST,,,,0.0,,382.2,145.6,,,161672.0,,4.0,02/22/2018 03:58 PM EST
4 West 31st St.,2922340.7,,,,,,0.33101,0.0,Ok,,,90633.0,,,1224.6,No,,,1224.6,,,,,,,,40.746712,,,0.0,,,03/14/2018 10:38 AM EDT,,,,0.1,,227.7,79.0,,,583214.5,2016-02-29T00:00:00.000,,03/14/2018 10:36 AM EDT
41 Bennett Ave.,3500886.2,0.0,,,,0.86199,,0.0,Ok,,,42924.0,80.0,,,No,,,,,,,,,,,40.851779,,,0.0,,,03/02/2018 02:41 PM EST,,,,0.7,,189.1,107.9,,,132556.0,,2.0,03/02/2018 02:40 PM EST
5301 1st ave,942111.6,,,,,,,0.0,Ok,,,56000.0,,,15599.9,Yes,,,15599.9,,,,,,,,40.648659,,,0.0,,,03/18/2018 03:29 PM EDT,,,,0.1,,50.8,23.7,,,47612.2,2017-12-31T00:00:00.000,,03/18/2018 03:21 PM EDT
301 East 29th Street,6805167.1,,,,,,,0.0,Ok,,,71000.0,,,,No,,,,,,,,,,,40.741586,,,0.0,,,,,,,0.4,,470.6,207.6,,,1070752.8,2016-12-31T00:00:00.000,,
853 Empire Blvd.,,0.0,,,,1.18406,,0.0,Ok,,,85300.0,0.0,,5619.7,Yes,,,5619.7,,,,,,,03/13/2018 12:36 PM EDT,40.663582,,,0.0,,,03/13/2018 12:34 PM EDT,,,,0.8,,488.0,,,,456990.4,2017-12-31T00:00:00.000,3.0,03/14/2018 10:09 AM EDT
2290 Andrews Avenue,,0.0,,,,0.94276,,0.0,Ok,,,29700.0,,,,Yes,,,,,,,,,,,40.861262,,,0.0,,,03/12/2018 10:00 PM EDT,,,,,,348.8,,,,125137.1,,,03/12/2018 09:58 PM EDT
1775 East 18th Street,,0.0,,,,1.44,,,Ok,,,50000.0,0.0,,45.5,No,,,45.5,,,,,,,,40.606932,,,,,,03/03/2018 09:13 AM EST,,,Kings,,,10.8,,,,,2017-12-31T00:00:00.000,8.0,
4 West 31st St.,2922340.7,,,,,,0.33101,0.0,Ok,,,90633.0,,,1224.6,No,,,1224.6,,,,,,,,40.746712,,,0.0,,,03/14/2018 10:38 AM EDT,,,,0.1,,227.7,79.0,,,583214.5,2017-12-31T00:00:00.000,,03/14/2018 10:36 AM EDT
133 West 113th Street,5875864.7,0.0,,,,1.03123,,0.0,Ok,,,57516.0,80.0,,6983.7,No,,,6983.7,,,,,,,03/27/2018 01:09 PM EDT,40.800821,,,0.0,,,03/27/2018 01:06 PM EDT,,,,0.0,,443.5,134.8,,,247345.7,2017-12-31T00:00:00.000,0.0,03/27/2018 01:06 PM EDT
360 East 72nd Street,55123292.5,459.0,,,,0.77988,,0.0,Ok,,,588551.0,100.0,,,No,,,,,,No,,,,,40.768146,,,0.0,,,,,,,0.5,,3634.7,152.4,,,4242399.4,,10.0,
545 Madison Avenue,,,,,,,,,Ok,,,141005.0,,,,Yes,,141005.0,,,,,,,,,40.760798,,,,,,,,,,,,0.0,,,100.0,,,,
575 5th Ave,25082968.0,,,,,,,0.0,Ok,,,545282.0,,,,No,,525100.0,,2016,,,,,,02/27/2018 11:28 PM EST,40.756391,,,0.0,,,,,,,,,2048.5,123.9,,100.0,5658763.2,2018-02-28T00:00:00.000,,03/05/2018 11:39 PM EST
3035 Richmond Terrace,,,,,,,,0.0,Ok,,,63000.0,,,86.8,No,,,86.8,,,,,,,,40.637405,,,0.0,,,02/22/2018 11:29 AM EST,,,Richmond,0.0,,30.6,,,,76242.4,2017-12-31T00:00:00.000,,03/15/2018 12:00 PM EDT
929 West End Avenue,2687004.3,0.0,,,,0.84224,,0.0,Ok,,,30870.0,70.0,,,No,,,,,,,,,,03/14/2018 03:33 PM EDT,40.801296,,,0.0,,,03/02/2018 02:41 PM EST,,,,0.1,,196.0,114.6,,,110558.9,,4.0,03/02/2018 02:40 PM EST
97 Sherman Ave,10438999.6,0.0,,,,1.18624,,0.0,Ok,,,98330.0,90.0,,,Yes,,1000.0,,,,No,500.0,Office,,,40.863806,,,0.0,,1000.0,03/22/2018 11:39 AM EDT,,,,0.9,,605.1,153.2,,100.0,583156.4,2012-12-31T00:00:00.000,6.0,03/22/2018 11:39 AM EDT
8201 Bay Parkway,3584573.4,0.0,,,,1.0,,0.0,Ok,,,48000.0,0.0,,3016.1,No,,,3016.1,,,,,,,,40.604121,,,0.0,,,01/29/2018 04:44 PM EST,,,,0.7,,178.5,82.2,,,25106.7,2017-12-31T00:00:00.000,2.0,03/09/2018 01:39 PM EST
307 West 38th Street,,,,,,,,0.0,Ok,,,274209.0,,,,No,,274209.0,,20172016201520132011,,No,,,,04/03/2018 02:19 PM EDT,40.754946,,,0.0,,,04/03/2018 02:20 PM EDT,,,,0.0,,1164.4,,,100.0,2475711.5,2013-12-31T00:00:00.000,,03/16/2018 01:45 PM EDT
31-00 47th Avenue,52488899.4,,,,277974.0,,,0.0,Ok,,,568000.0,,,,Yes,,152474.0,,,,,,Non-Refrigerated Warehouse,,,40.74306,,,0.0,,124443.0,03/14/2018 11:43 AM EDT,,,,0.4,,3665.6,201.5,,100.0,8383770.3,2017-12-31T00:00:00.000,,03/14/2018 11:37 AM EDT
35 West 36th Street,4429959.0,,,,,,,0.0,Ok,,,80715.0,,,,No,,77180.0,,20172012,,,,,,,40.750518,,,0.0,3535.0,,03/08/2018 06:19 PM EST,,,,0.3,,298.8,110.1,2.54597,100.0,600530.2,2016-02-29T00:00:00.000,,03/08/2018 06:16 PM EST
35 WEST 31ST STREET,,,,,,,,0.0,Ok,,,32500.0,,,71712.1,No,,32500.0,71712.1,,,,,,,02/09/2018 10:55 PM EST,40.747189,,,0.0,,,02/20/2018 10:09 PM EST,,,,,,160.7,,,100.0,255032.1,2017-12-31T00:00:00.000,,02/20/2018 09:26 PM EST
165 West 83rd Street,,0.0,,,,0.98598,,,Possible Issue,,,36512.0,90.0,,,Yes,,,,,,,,,,,40.785271,,,,,,03/13/2018 09:28 PM EDT,,,,,,0.0,,,,,,,03/14/2018 10:13 AM EDT
781 Fifth Avenue,,,,,,,0.2084,,Ok,,,335897.0,,,,No,,,,,,,,,,,40.764454,,,,,,,,,USA,,,,,,,,2016-12-31T00:00:00.000,,
1013 East 13 Street,2010937.3,0.0,,,,1.3,,0.0,Ok,,,30000.0,0.0,,3804.6,Yes,,,3804.6,,,,,,,03/19/2018 02:55 PM EDT,40.624416,,,0.0,,,03/19/2018 03:42 PM EDT,,,,0.6,,104.7,75.0,,,19430.0,2017-12-31T00:00:00.000,4.0,03/19/2018 03:25 PM EDT
2751 Grand Concourse,5556071.5,,,,,,,0.0,Ok,,,42288.0,,,,No,,,,,,,,,,,40.868185,,,0.0,,,03/12/2018 04:44 PM EDT,,,,1.1,,309.6,189.6,,,299059.7,,,03/12/2018 03:55 PM EDT
139-22 Booth Memorial Avenue,447654.4,,,,,,,0.0,Ok,,,164873.0,,,102.4,No,,,102.4,,,,,,,,40.746488,,,0.0,,,,,,,,,39.7,8.5,,,131200.0,2017-12-31T00:00:00.000,,04/05/2018 11:39 AM EDT
248 Audubon Avenue,4572396.0,0.0,,,,0.81945,,0.0,Ok,,,43932.0,,,,No,,,,,,,,,,,40.846481,,,0.0,,,02/19/2018 02:01 PM EST,,,,1.0,,229.2,116.6,,,44907.6,,,02/19/2018 02:12 PM EST
34-35 Review Ave,11331412.5,,,,,,,0.0,Ok,,,160000.0,,,942.5,No,,,942.5,,,,,,,,40.735649,,,0.0,160000.0,,03/16/2018 02:49 PM EDT,,,,0.5,,689.6,126.7,0.21875,,1174719.8,2017-12-31T00:00:00.000,,03/16/2018 02:47 PM EDT
241 Madison Avenue,17091585.6,,,,,,0.44379,0.0,Ok,,,135200.0,,,8762.8,No,,,8762.8,,,,,,,02/21/2018 08:13 AM EST,40.750002,,,0.0,,,,,,United States,,,1273.7,199.2,,,1331007.9,2017-12-31T00:00:00.000,,02/21/2018 10:00 AM EST
51-01 Grand Ave,3401633.4,,,,,,,0.0,Ok,,,120200.0,,,1227.4,No,,,1227.4,,,,,,,,40.7178,,,0.0,,,,,,,,,305.0,88.9,,,1008356.4,2017-12-31T00:00:00.000,,02/06/2018 08:15 AM EST
4770 White Plains Road,,,,,,,,0.0,Ok,,,69851.0,,,424.9,No,,69851.0,424.9,,,,,,,,40.905314,,,0.0,,,02/02/2018 12:47 PM EST,,,,,,2.5,,,100.0,1878.7,2017-12-31T00:00:00.000,,02/02/2018 12:47 PM EST
225-27 E. Mosholu Pkwy,4961746.4,0.0,,,,0.79609,,,Ok,,,87930.0,0.0,,,Yes,,,,,,,,,,,,,,,,,04/04/2018 09:18 AM EDT,,,,0.6,,263.5,59.2,,,,,13.0,04/04/2018 09:18 AM EDT
2075 Walton Avenue,5641896.3,0.0,,,,0.76335,,0.0,Ok,,,62881.0,60.0,,6025.6,No,,,6025.6,,,,,,,03/23/2018 11:52 AM EDT,40.854089,,,0.0,,,03/12/2018 02:29 PM EDT,,,,0.8,,315.7,124.3,,,266100.7,2017-12-31T00:00:00.000,6.0,03/12/2018 02:21 PM EDT
20 East 76 Street,21338442.9,,,,,,1.22308,0.0,Ok,,,130000.0,,,11682.8,No,,,11682.8,,,,,,,03/16/2018 12:06 PM EDT,40.774549,,,0.0,,,03/16/2018 12:54 PM EDT,,,manhattan,0.3,,1629.0,331.1,,,2925519.6,2017-12-31T00:00:00.000,,03/16/2018 12:54 PM EDT
2901 Borden Ave,,,,,73313.0,,,,Ok,,,73313.0,,,,No,,,,,,,,,,,40.738707,,,,,,,,,,,,,,,,,,,05/01/2018 11:43 PM EDT
198-39 32nd Avenue,760179.7,0.0,,,,1.46209,,0.0,Ok,,,28726.0,,,,Yes,,,,,,,,,,,40.76917,,,0.0,,,02/08/2018 12:49 PM EST,,,,0.0,,67.0,82.5,,,220133.6,2017-12-31T00:00:00.000,,03/01/2018 01:15 PM EST
1141-61 Jerome Avenue,1713231.6,0.0,,,,1.12048,,0.0,Ok,,,83000.0,0.0,,13543.8,Yes,,,13543.8,,,,,,,03/16/2018 10:38 AM EDT,40.835271,,,0.0,,,03/14/2018 09:24 AM EDT,,,,,,151.9,64.8,,,502119.4,2017-12-31T00:00:00.000,6.0,03/13/2018 11:34 AM EDT
740 West End Avenue,,105.0,,,,0.72166,,0.0,Ok,,,145497.0,100.0,,5083.0,Yes,,,5083.0,,,,,,,,40.795352,,,0.0,,,03/07/2018 05:53 PM EST,,,,,,,,,,517866.4,2017-12-31T00:00:00.000,,03/07/2018 05:51 PM EST
441-451 West End Avenue,20522220.8,0.0,,,,1.2,,0.0,Ok,,,240040.0,100.0,,7279.3,Yes,,,7279.3,,,,,,,02/27/2018 04:59 PM EST,40.78576,,,0.0,,,03/02/2018 12:14 PM EST,,,,0.0,,1442.4,116.2,,,985303.9,2017-12-31T00:00:00.000,,03/02/2018 12:12 PM EST
2111 Hughes Avenue,5367756.3,0.0,,,,1.09539,,0.0,Ok,,,65730.0,60.0,,3352.6,No,,,3352.6,,,,,,,,40.849329,,,0.0,,,03/09/2018 03:43 PM EST,,,,0.6,,313.2,123.8,,,349321.2,2017-12-31T00:00:00.000,0.0,03/09/2018 03:43 PM EST
