manhattan_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_year_built,comparable_rental_1_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_total_units,comparable_rental_1_full_market_value,manhattan_cooperatives_comparable_properties_full_market_value,bin,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_market_value_per_sqft,latitude,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_2_gross_sqft,manhattan_cooperatives_comparable_properties_building_classification,comparable_rental_2_address
1-01210-0037,1920.0,25.8,1901,1-01162-0141,0.9,37.0,4500000,4410000,,0.5,107.0,,26.0,UPPER WEST SIDE (79-96),38463.0,D4-ELEVATOR,"{'latitude': '40.634686325938', 'longitude': '-74.028835016985', 'human_address': '{""address"": ""220 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02180-0326,1928.0,14.83,1951,1-02179-0185,0.55,96.0,4230000,5130000,1084214.0,0.3,50.0,40.854907,15.0,WASHINGTON HEIGHTS UPPER,93180.0,D4-ELEVATOR,"{'latitude': '40.851768664534', 'longitude': '-73.93899017904', 'human_address': '{""address"": ""106 PINEHURST AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01500-0020,1964.0,29.2,1930,1-01427-0028,0.9,149.0,22500000,18300000,1046953.0,0.85,136.0,40.78234,26.8,UPPER EAST SIDE (79-96),166432.0,D4-ELEVATOR,"{'latitude': '40.769273854786', 'longitude': '-73.957992853519', 'human_address': '{""address"": ""1393 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00876-0018,1962.0,34.6,1909,1-00885-0051,0.6,48.0,4240000,12600000,1017953.0,0.45,161.0,40.737418,33.8,GRAMERCY,20660.0,D4-ELEVATOR,"{'latitude': '40.658074964642', 'longitude': '-74.001636044993', 'human_address': '{""address"": ""150 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01043-0017,1900.0,31.4,1910,1-01229-0006,0.35,36.0,6500000,5860000,,1.5,146.0,,30.0,MIDTOWN WEST,41137.0,D4-ELEVATOR,"{'latitude': '40.627355969617', 'longitude': '-74.030515608048', 'human_address': '{""address"": ""265 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00742-0060,1901.0,37.2,1920,1-00769-0065,0.2,15.0,2010000,3260000,,0.15,174.0,,36.0,CHELSEA,8195.0,C6-WALK-UP,"{'latitude': '40.601580799519', 'longitude': '-74.006234358834', 'human_address': '{""address"": ""250 20 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00011-0014,1930.0,39.0,1909,1-00071-0001,0.3,66.0,11100000,8740000,1085816.0,0.35,192.0,40.704959,36.5,FINANCIAL,50955.0,D4-ELEVATOR,"{'latitude': '40.7058626585', 'longitude': '-74.005405110904', 'human_address': '{""address"": ""156 FRONT STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01968-0027,1910.0,18.14,1926,1-01988-0034,0.3,24.0,1080000,751000,1059590.0,0.35,68.0,40.814108,21.92,HARLEM-WEST,16404.0,C6-WALK-UP,"{'latitude': '40.818628647754', 'longitude': '-73.952444036599', 'human_address': '{""address"": ""1512 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02134-0105,1910.0,13.55,1910,1-02145-0022,1.05,43.0,1890000,1230000,,1.05,42.2,,13.0,WASHINGTON HEIGHTS LOWER,45666.0,D4-ELEVATOR,"{'latitude': '40.847874600147', 'longitude': '-73.937910992605', 'human_address': '{""address"": ""4180 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01840-0035,1901.0,26.0,1900,1-01842-0039,0.05,20.0,3710000,3060000,1000000.0,0.1,107.0,40.782295,22.33,MANHATTAN VALLEY,25452.0,D4-ELEVATOR,"{'latitude': '40.798796295904', 'longitude': '-73.95977941355', 'human_address': '{""address"": ""6 107 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00573-0075,1930.0,35.7,1926,1-00548-0001,0.45,272.0,16200000,8940000,,0.25,167.0,,34.0,GREENWICH VILLAGE-CENTRAL,218985.0,D4-ELEVATOR,"{'latitude': '40.730881797355', 'longitude': '-73.995413643159', 'human_address': '{""address"": ""1 UNIVERSITY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01924-0021,1900.0,14.08,1900,1-02051-0054,1.45,117.0,3720000,6880000,,1.25,43.9,,14.08,HARLEM-CENTRAL,132300.0,D4-ELEVATOR,"{'latitude': '40.823655857898', 'longitude': '-73.944970670535', 'human_address': '{""address"": ""680 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00390-0055,1925.0,30.9,1935,1-00372-0068,0.15,24.0,2440000,1590000,,0.25,144.0,,24.0,ALPHABET CITY,17117.0,C6-WALK-UP,"{'latitude': '40.675937114438', 'longitude': '-73.988042513377', 'human_address': '{""address"": ""264 2 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02031-0054,1992.0,11.69,1910,1-02038-0001,1.15,70.0,2000000,1360000,,0.35,32.9,,8.02,HARLEM-CENTRAL,78921.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2852 FRED"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00796-0007,,30.9,1938,,1.0,,3200000,7690000,,,144.0,,28.6,CHELSEA,,D4-ELEVATOR,
1-00523-0038,1910.0,34.6,1961,1-00528-0063,0.4,21.0,19100000,13400000,,0.45,161.0,,35.0,GREENWICH VILLAGE-CENTRAL,12690.0,D4-ELEVATOR,"{'latitude': '40.729586773633', 'longitude': '-74.004784578704', 'human_address': '{""address"": ""76 CARMINE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02060-0046,1930.0,18.96,1926,1-02079-0029,0.4,18.0,865000,429000,,0.25,71.0,,16.0,HARLEM-UPPER,14828.0,C6-WALK-UP,"{'latitude': '40.826641607035', 'longitude': '-73.946580456968', 'human_address': '{""address"": ""1760 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01246-0046,1926.0,25.4,1910,1-01141-0015,0.5,40.0,1690000,2030000,,0.85,105.0,,26.0,UPPER WEST SIDE (79-96),19660.0,D4-ELEVATOR,"{'latitude': '40.637159637023', 'longitude': '-74.03053242287', 'human_address': '{""address"": ""143 69 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01883-0030,1920.0,25.9,1915,1-01867-0054,0.25,30.0,3030000,1520000,1082738.0,0.25,107.0,40.803959,25.0,UPPER WEST SIDE (96-116),27821.0,D4-ELEVATOR,"{'latitude': '40.805475495151', 'longitude': '-73.959869721899', 'human_address': '{""address"": ""403 115 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01413-0040,1964.0,44.2,1930,1-01568-0001,0.55,213.0,52900000,35000000,,0.65,217.0,,30.9,UPPER EAST SIDE (59-79),227259.0,D4-ELEVATOR,"{'latitude': '40.778473919146', 'longitude': '-73.94818125018', 'human_address': '{""address"": ""1700 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01368-0013,1959.0,34.0,1967,1-01331-0039,0.1,109.0,17700000,13600000,,0.3,158.0,,32.0,MIDTOWN EAST,84000.0,D4-ELEVATOR,"{'latitude': '40.644433092786', 'longitude': '-74.021338943003', 'human_address': '{""address"": ""210 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00564-0036,2005.0,39.0,1896,1-00797-0007,0.7,109.0,8950000,11400000,1077914.0,0.65,191.0,40.733556,32.7,GREENWICH VILLAGE-CENTRAL,128163.0,D0-ELEVATOR,"{'latitude': '40.662985125945', 'longitude': '-73.996082374402', 'human_address': '{""address"": ""163 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00397-0011,1900.0,37.8,1900,1-00406-0042,0.45,20.0,2100000,941000,,0.5,176.0,,36.0,ALPHABET CITY,11951.0,C6-WALK-UP,"{'latitude': '40.663314618343', 'longitude': '-73.979351967511', 'human_address': '{""address"": ""543 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00504-0014,1920.0,38.8,1925,1-00504-0031,0.0,60.0,4140000,5180000,,0.0,190.0,,34.0,SOHO,38880.0,D0-ELEVATOR,"{'latitude': '40.725890560093', 'longitude': '-74.00282405668', 'human_address': '{""address"": ""112 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01467-0001,1962.0,37.9,1961,1-01516-0013,0.9,123.0,29000000,23300000,1045843.0,0.9,176.0,40.767902,31.4,UPPER EAST SIDE (59-79),151184.0,D4-ELEVATOR,"{'latitude': '40.780344508967', 'longitude': '-73.95493515862', 'human_address': '{""address"": ""1290 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01823-0010,1920.0,18.07,1904,1-01830-0036,0.15,31.0,3210000,1560000,,0.15,68.0,,12.78,HARLEM-CENTRAL,47168.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1890 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00529-0057,1920.0,40.7,1900,1-00572-0049,0.55,36.0,3290000,3820000,1008449.0,0.5,199.0,40.725624,32.6,GREENWICH VILLAGE-CENTRAL,30858.0,D0-ELEVATOR,"{'latitude': '40.573349048142', 'longitude': '-74.115787223049', 'human_address': '{""address"": ""11 8 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01386-0049,1939.0,37.5,1930,1-01387-0056,0.9,65.0,11200000,10300000,,0.1,174.0,,34.0,UPPER EAST SIDE (59-79),66731.0,D4-ELEVATOR,"{'latitude': '40.772241617483', 'longitude': '-73.965088504331', 'human_address': '{""address"": ""900 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01367-0035,1938.0,37.3,1955,1-01431-0016,1.15,90.0,13200000,12600000,,1.1,174.0,,30.0,MIDTOWN EAST,82065.0,D4-ELEVATOR,"{'latitude': '40.631221459132', 'longitude': '-74.029897000109', 'human_address': '{""address"": ""231 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00875-0047,1930.0,34.5,1956,1-00631-0001,0.7,144.0,49900000,26600000,1017928.0,1.15,161.0,40.736605,33.5,GRAMERCY,137589.0,D4-ELEVATOR,"{'latitude': '40.733687682087', 'longitude': '-74.008516765125', 'human_address': '{""address"": ""669 WASHINGTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01366-0016,1963.0,31.2,1956,1-01512-0040,0.7,185.0,26500000,30400000,,1.5,145.0,,30.0,MIDTOWN EAST,224000.0,D4-ELEVATOR,"{'latitude': '40.777331780169', 'longitude': '-73.955061063704', 'human_address': '{""address"": ""1482 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01557-0050,1925.0,38.1,1920,1-01529-0015,0.45,31.0,2670000,956000,1050322.0,0.55,178.0,40.783373,30.0,UPPER EAST SIDE (79-96),15376.0,D4-ELEVATOR,"{'latitude': '40.626077888832', 'longitude': '-74.031671762508', 'human_address': '{""address"": ""227 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01452-0006,1923.0,31.6,1928,1-01391-0002,0.15,38.0,6600000,7770000,,0.55,147.0,,38.0,UPPER EAST SIDE (59-79),39030.0,D4-ELEVATOR,"{'latitude': '40.775329430265', 'longitude': '-73.964904228432', 'human_address': '{""address"": ""952 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01252-0020,1915.0,28.3,1927,1-01236-0044,0.2,52.0,7970000,7040000,,0.25,117.0,,25.0,UPPER WEST SIDE (79-96),76626.0,D4-ELEVATOR,"{'latitude': '40.789976247901', 'longitude': '-73.975070978856', 'human_address': '{""address"": ""2412 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01406-0046,1940.0,39.0,1926,1-01415-0021,0.8,108.0,20000000,15600000,,0.55,191.0,,33.0,UPPER EAST SIDE (59-79),103304.0,D4-ELEVATOR,"{'latitude': '40.761566664995', 'longitude': '-73.963640595863', 'human_address': '{""address"": ""1143 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01560-0005,1920.0,31.3,1959,1-01585-0036,0.15,80.0,7750000,6740000,,0.45,146.0,,34.0,UPPER EAST SIDE (79-96),48600.0,D4-ELEVATOR,"{'latitude': '40.777521216827', 'longitude': '-73.944980262217', 'human_address': '{""address"": ""530 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00643-0057,1924.0,37.6,1900,1-00592-0082,0.5,52.0,2130000,3120000,1012158.0,0.5,175.0,40.739049,35.3,GREENWICH VILLAGE-WEST,38214.0,D0-ELEVATOR,"{'latitude': '40.732959231243', 'longitude': '-74.001816816007', 'human_address': '{""address"": ""129 WASHINGTON PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00574-0011,1900.0,42.5,1900,1-00539-0030,0.4,24.0,2380000,2950000,,0.4,209.0,,42.3,GREENWICH VILLAGE-CENTRAL,11790.0,C6-WALK-UP,"{'latitude': '40.728975234653', 'longitude': '-73.999199788902', 'human_address': '{""address"": ""215 THOMPSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01929-0057,1975.0,12.96,1985,1-01959-0001,0.3,261.0,9040000,7200000,,0.5,40.4,,12.08,HARLEM-CENTRAL,331448.0,D4-ELEVATOR,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2491 FRED"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01889-0043,1925.0,22.93,1915,1-01872-0060,0.35,17.0,832000,936000,1057149.0,0.1,95.0,40.799383,23.5,UPPER WEST SIDE (96-116),9560.0,C6-WALK-UP,"{'latitude': '40.612885487979', 'longitude': '-74.035372085617', 'human_address': '{""address"": ""244 101 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01471-0036,1910.0,38.0,1910,1-01412-0028,0.1,22.0,1600000,1820000,,0.4,177.0,,42.0,UPPER EAST SIDE (59-79),8615.0,C6-WALK-UP,"{'latitude': '40.630893659595', 'longitude': '-74.031949008768', 'human_address': '{""address"": ""167 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01197-0061,1925.0,29.5,1900,1-01203-0031,0.15,35.0,2340000,3030000,1031244.0,0.3,137.0,40.784971,32.0,UPPER WEST SIDE (79-96),21960.0,D4-ELEVATOR,"{'latitude': '40.767841663793', 'longitude': '-73.981305601423', 'human_address': '{""address"": ""293 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00908-0047,1909.0,50.0,1940,1-00876-0021,0.55,55.0,16200000,8150000,,0.35,248.0,,35.0,GRAMERCY,61406.0,D4-ELEVATOR,"{'latitude': '40.737571351542', 'longitude': '-73.985211145487', 'human_address': '{""address"": ""36 GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01372-0073,1964.0,46.2,1960,1-01417-0028,0.45,191.0,54700000,35700000,1040747.0,0.5,227.0,40.758343,31.0,MIDTOWN EAST,207284.0,D4-ELEVATOR,"{'latitude': '40.762924641259', 'longitude': '-73.962633355191', 'human_address': '{""address"": ""1191 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00846-0071,1927.0,30.1,1907,1-00850-0039,0.04,77.0,16600000,13500000,1016144.0,0.2,141.0,40.73833,28.5,FLATIRON,99750.0,D0-ELEVATOR,"{'latitude': '40.755671163756', 'longitude': '-73.975273676579', 'human_address': '{""address"": ""268 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01514-0069,,35.3,1926,,0.65,,12500000,12700000,1047948.0,,165.0,40.779974,36.0,UPPER EAST SIDE (79-96),,D4-ELEVATOR,
1-01248-0049,1930.0,27.0,1927,1-01253-0007,0.0,30.0,3270000,4280000,,0.4,112.0,,23.0,UPPER WEST SIDE (79-96),30960.0,D4-ELEVATOR,"{'latitude': '40.617701921156', 'longitude': '-74.032771209029', 'human_address': '{""address"": ""321 94 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01570-0011,1910.0,44.0,1915,1-01584-0041,0.0,20.0,1920000,1980000,,0.2,216.0,,44.0,UPPER EAST SIDE (79-96),8935.0,C6-WALK-UP,"{'latitude': '40.620038220432', 'longitude': '-74.026704819914', 'human_address': '{""address"": ""518 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01336-0015,1929.0,38.1,1928,1-01337-0006,0.25,318.0,24500000,23600000,,0.05,187.0,,34.0,MIDTOWN EAST,186255.0,D4-ELEVATOR,"{'latitude': '40.650868528533', 'longitude': '-74.010748090802', 'human_address': '{""address"": ""307 44 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01121-0002,,81.0,1910,,0.3,,4680000,2970000,,,397.0,,64.0,UPPER WEST SIDE (59-79),,C6-WALK-UP,
1-01566-0034,1900.0,36.0,1925,1-01562-0016,0.25,17.0,1510000,1600000,,0.2,168.0,,35.0,UPPER EAST SIDE (79-96),10000.0,D4-ELEVATOR,"{'latitude': '40.625387382703', 'longitude': '-74.026431916916', 'human_address': '{""address"": ""427 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00179-0021,1900.0,29.8,1920,1-00738-0014,1.0,29.0,3760000,3540000,1001995.0,1.55,139.0,40.718798,28.9,TRIBECA,28821.0,D0-ELEVATOR,"{'latitude': '40.602885916105', 'longitude': '-74.012053143042', 'human_address': '{""address"": ""337 14 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00584-0046,1910.0,31.8,1900,1-00545-0046,0.25,41.0,3090000,5780000,1009844.0,0.7,148.0,40.730845,30.9,GREENWICH VILLAGE-WEST,27612.0,D4-ELEVATOR,"{'latitude': '40.728588526181', 'longitude': '-73.992472860123', 'human_address': '{""address"": ""416 LAFAYETTE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01183-0037,1903.0,33.6,1925,1-01129-0059,0.9,149.0,22200000,22100000,,0.55,157.0,,33.0,UPPER WEST SIDE (59-79),113309.0,D4-ELEVATOR,"{'latitude': '40.631611484358', 'longitude': '-74.035167641442', 'human_address': '{""address"": ""52 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01382-0036,1966.0,66.0,1926,1-01448-0001,0.7,66.0,18600000,13000000,1041223.0,0.55,323.0,40.768097,42.2,UPPER EAST SIDE (59-79),56980.0,D4-ELEVATOR,"{'latitude': '40.769606603937', 'longitude': '-73.957750036571', 'human_address': '{""address"": ""1404 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01507-0011,1910.0,41.0,1920,1-01485-0050,1.95,41.0,3340000,3550000,,1.35,201.0,,43.0,UPPER EAST SIDE (79-96),16037.0,D4-ELEVATOR,"{'latitude': '40.768005810725', 'longitude': '-73.952911684054', 'human_address': '{""address"": ""1380 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01410-0024,1910.0,37.2,1910,1-01468-0031,0.4,26.0,2340000,2310000,,0.4,174.0,,38.0,UPPER EAST SIDE (59-79),13482.0,D4-ELEVATOR,"{'latitude': '40.630346580844', 'longitude': '-74.022439275043', 'human_address': '{""address"": ""490 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00566-0018,1930.0,41.5,1964,1-00643-0001,0.2,279.0,10100000,79100000,1009223.0,0.85,204.0,40.731688,38.4,GREENWICH VILLAGE-CENTRAL,389376.0,D4-ELEVATOR,"{'latitude': '40.738630720876', 'longitude': '-74.009874393957', 'human_address': '{""address"": ""521 WEST STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00744-0003,1910.0,31.4,1940,1-00722-0037,0.2,23.0,2550000,5120000,1078512.0,0.25,130.0,40.744882,29.0,CHELSEA,25158.0,C6-WALK-UP,"{'latitude': '40.747258451509', 'longitude': '-74.000746622792', 'human_address': '{""address"": ""229 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01406-0061,,27.5,1925,,0.35,,5350000,7700000,,,114.0,,35.0,UPPER EAST SIDE (59-79),,D4-ELEVATOR,
1-01250-0094,1906.0,25.9,1925,1-01252-0001,0.95,59.0,8060000,7660000,,0.15,107.0,,25.0,UPPER WEST SIDE (79-96),63794.0,D4-ELEVATOR,"{'latitude': '40.793438637714', 'longitude': '-73.976491907662', 'human_address': '{""address"": ""200 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01748-0001,1985.0,22.12,1994,1-01827-0001,0.55,113.0,7270000,15700000,,0.8,46.9,,22.42,HARLEM-CENTRAL,105273.0,D4-ELEVATOR,"{'latitude': '40.800758769749', 'longitude': '-73.95649993882', 'human_address': '{""address"": ""257 111 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00621-0013,1940.0,35.7,1930,1-00590-0016,0.2,38.0,16200000,2660000,1011231.0,0.3,167.0,40.735242,33.6,GREENWICH VILLAGE-WEST,28656.0,D4-ELEVATOR,"{'latitude': '40.731969977011', 'longitude': '-74.002662178715', 'human_address': '{""address"": ""22 JONES STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00717-0009,1904.0,34.1,1983,1-00738-0057,0.35,24.0,1410000,1820000,,0.3,159.0,,32.9,CHELSEA,16284.0,D4-ELEVATOR,"{'latitude': '40.663689670778', 'longitude': '-73.985501967085', 'human_address': '{""address"": ""330 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00519-0051,1920.0,33.5,1910,1-00502-0014,0.7,20.0,1870000,2600000,1008103.0,0.2,156.0,40.727022,38.0,SOHO,9332.0,D4-ELEVATOR,"{'latitude': '40.725854587212', 'longitude': '-74.001798829567', 'human_address': '{""address"": ""114 THOMPSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01232-0037,1910.0,35.7,1910,1-00759-0001,1.5,139.0,8400000,10800000,,2.45,167.0,,30.0,UPPER WEST SIDE (79-96),54947.0,C6-WALK-UP,"{'latitude': '40.75435410232', 'longitude': '-73.995611494005', 'human_address': '{""address"": ""450 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01507-0021,1949.0,26.3,1902,1-01437-0041,0.4,90.0,6990000,9960000,1047427.0,1.7,109.0,40.786736,31.0,UPPER EAST SIDE (79-96),70992.0,D4-ELEVATOR,"{'latitude': '40.639613228839', 'longitude': '-74.021020855337', 'human_address': '{""address"": ""330 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00720-0077,1890.0,32.3,1900,1-00765-0056,0.45,14.0,899000,885000,,0.45,150.0,,31.0,CHELSEA,6649.0,C6-WALK-UP,"{'latitude': '40.663993833765', 'longitude': '-73.987873150534', 'human_address': '{""address"": ""222 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01231-0032,1920.0,39.4,1920,1-01231-0029,0.3,14.0,1980000,755000,1032781.0,0.0,193.0,40.786001,38.0,UPPER WEST SIDE (79-96),12000.0,C6-WALK-UP,"{'latitude': '40.785821380125', 'longitude': '-73.976383989019', 'human_address': '{""address"": ""480 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00446-0025,1920.0,37.6,1900,1-00468-0051,0.4,13.0,1230000,1210000,,0.4,175.0,,37.0,EAST VILLAGE,7530.0,C6-WALK-UP,"{'latitude': '40.668641069776', 'longitude': '-73.990352246007', 'human_address': '{""address"": ""221 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01882-0038,1919.0,23.12,1910,1-01885-0021,0.45,45.0,4580000,4890000,,0.15,96.0,,25.0,UPPER WEST SIDE (96-116),48222.0,D4-ELEVATOR,"{'latitude': '40.805122196309', 'longitude': '-73.96294986211', 'human_address': '{""address"": ""517 113 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00841-0066,1920.0,33.9,1920,1-00763-0031,0.5,17.0,3310000,1310000,,0.5,158.0,,33.0,FASHION,10100.0,C6-WALK-UP,"{'latitude': '40.653665785109', 'longitude': '-74.00784308595', 'human_address': '{""address"": ""307 39 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01431-0001,,54.0,1910,,0.8,,6170000,6320000,1081424.0,,267.0,40.772423,56.0,UPPER EAST SIDE (59-79),,C6-WALK-UP,
1-00459-0046,1900.0,38.8,1920,1-00429-0042,0.35,13.0,2040000,774000,,0.3,190.0,,36.5,EAST VILLAGE,9280.0,C6-WALK-UP,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01404-0014,1923.0,35.3,1916,1-01409-0021,0.65,35.0,12500000,12200000,1042486.0,0.25,165.0,40.768585,34.0,UPPER EAST SIDE (59-79),71189.0,D4-ELEVATOR,"{'latitude': '40.771908868332', 'longitude': '-73.961122494181', 'human_address': '{""address"": ""1033 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01890-0040,1925.0,20.39,1929,1-01896-0043,0.2,178.0,19000000,15300000,1057188.0,0.55,76.0,40.800423,20.0,UPPER WEST SIDE (96-116),263040.0,D4-ELEVATOR,"{'latitude': '40.80805262069', 'longitude': '-73.96661735178', 'human_address': '{""address"": ""425 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01448-0041,1910.0,59.0,1910,1-01431-0010,0.9,17.0,1990000,1490000,,0.2,291.0,,44.0,UPPER EAST SIDE (59-79),6812.0,C6-WALK-UP,"{'latitude': '40.631295096626', 'longitude': '-74.030207913976', 'human_address': '{""address"": ""219 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00743-0080,1910.0,34.9,1920,1-00741-0001,0.3,19.0,2790000,3260000,1078503.0,0.1,163.0,40.74447,32.9,CHELSEA,12197.0,C6-WALK-UP,"{'latitude': '40.742977678649', 'longitude': '-74.003894249895', 'human_address': '{""address"": ""108 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
