facility_name,multifamily_home_dishwasher,warehouse_unrefrigerated_5,total_green_power_purchased,census_tract,hotel_floor_area_of_full,number_of_staffed_beds,data_center_gross_floor_area,k_12_school_presence_of,current_site_pdu_input_energy,other_weekly_operating_hours,multifamily_home_percent_1,natural_gas_use_therms,other_space_type_name,energy_use_alerts,data_center_annual_it_energy,residence_halls_dormitories_2,fuel_oil_2_use_kbtu,metering_configuration,diesel_2_use_kbtu,parking_non_enclosed_floor,senior_care_facility_gross,parking_gross_floor_area,service_and_product_provider,swimming_pool_size,weather_normalized_site_eui,hospital_gross_floor_area,house_of_worship_presence,office_weekly_operating_hours,temporary_data_flag_fuel_1,k_12_school_pc_density,bank_financial_institution_5,hospital_number_of_buildings,indoor_water_use_kgal,warehouse_unrefrigerated_1,k_12_school_high_school_y,hotel_floor_area_of_gym,full_time_equivalent_fte,senior_care_facility_number_2,medical_office_gross_floor,office_pc_density,retail_weekly_operating_hours,target_site_energy_intensity,retail_number_of_walk_in,temporary_data_flag_district_2,hotel_presence_of_cooking,number_of_mri_machines,total_avoided_ghg_emissions,bank_financial_institution,county,current_direct_ghg_emissions,other_gross_floor_area_sq,hotel_average_occupancy
LOWER EAST,0.0,,,2601.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
Milstein -,121.0,,,31704.0,,,,,,,10.0,59787.0,,,,,,No Selection Made,,,,,,,85.4,,,65.0,,,,,,,,,,,,2.2,,0.0,,,,,,,NEW YORK,318.07,,
KVI Mezz Corp. 34,0.0,,,8.0,,,,,,,10.0,3707.8,,,,,,No Selection Made,,,,,"National Refunds, LLC",,93.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,629.26,,
S William Parking LLC,,,,9.0,,,,,,,,9282.5,Restaurant/Cafeteria,,,,,No Selection Made,,0.0,,96925.0,,,276.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,49.38,5900.0,
Maiden Lan,,,,1502.0,,,695.0,,,105.0,,,Other,Data > 120 days old<br>,0.0,,,No Selection Made,,,,,,,98.5,,,55.0,,,,,,,,,,,,1.85,62.0,0.0,0.0,,,,,,NEW YORK,,7064.0,
255 Lafayette St.,40.0,,,43.0,,,,,,,5.0,30456.0,,,,,,No Selection Made,,,,,Ecological,,187.2,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,642.03,,
FRBNY HO,,,,1502.0,,,13479.0,,,100.0,,15860.3,Other,,0.0,,,No Selection Made,,,,,,,136.0,,,64.0,,,,,30182.2,,,,,,5547.0,2.98,,0.0,,,,,,,NEW YORK,84.38,49499.0,
247 West 12th St,24.0,,,,,,,,,,20.0,11504.3,,Data > 120 days old<br>,,,,No Selection Made,,0.0,,9788.0,Greenwich Energy Solutions,,52.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,61.2,,
DEPM 1242,68.0,,,,,,,,,,16.0,,,,,,,No Selection Made,,,,,Aurora Energy Advisors LLC,,70.4,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,,,
GATEWAY PL,1506.0,,,31704.0,,,,,,101.0,15.0,311607.0,Other,,,,,No Selection Made,,0.0,,245259.0,,,74.5,,0.0,1.0,,,12.0,,,,,,,,,0.0,,0.0,,,,,,4247.0,NEW YORK,1657.75,13600.0,
