address_1,enclosed_mall_gross_floor,number_of_buildings,last_modified_date_property_2,hospital_general_medical,property_gfa_calculated_2,strip_mall_gross_floor_area,data_center_ups_output_meter,parking_completely_enclosed,data_center_it_source_energy,municipally_supplied_potable_2,national_median_source_eui,city,supermarket_grocery_number_1,data_center_it_site_energy,last_modified_date_electric,municipally_supplied_potable,multifamily_housing_gross,natural_gas_weather_normalized_1,wholesale_club_supercenter,weather_normalized_source,metered_areas_energy,community_board,bank_branch_gross_floor_area,_2nd_largest_property_use,financial_office_weekly,green_power_onsite_and_offsite,alert_energy_meter_has_gaps,data_center_ups_system,national_median_total_location,data_center_national_median,estimated_values_energy,multifamily_housing_number_2,senior_living_community_living,district_hot_water_use_kbtu,financial_office_number_of_1,water_use_all_water_sources,retail_store_gross_floor,target_energy_star_score,borough,kerosene_use_kbtu,hospital_general_medical_7,electricity_weather_normalized,medical_office_number_of_1,k_12_school_gross_floor_area,senior_living_community_gross,percent_of_recs_retained
2522 Steinway Street,Not Available,1,2020-07-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,109.6,Astorai,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,30132,0.1,Not Available,94,Whole Property,401.0,Not Available,Not Available,Not Available,0,Ok,Not Available,104.7,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,273299,Not Available,Not Available,Not Available,Not Available
33-70 Prince Street,Not Available,1,2022-03-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3239.8,150.4,Queens,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,Not Available,36.7,Not Available,87.1,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,529.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,3239.8,Not Available,Not Available,QUEENS,Not Available,Not Available,456942.2,Not Available,Not Available,Not Available,Not Available
5828 44th Avenue,Not Available,1,2022-03-24T00:00:00.000,Not Available,8750,Not Available,Not Available,8750,Not Available,3597,111.7,Queens,Not Available,Not Available,2023-03-11T00:00:00.000,Not Available,89008,0.4,Not Available,96.1,Whole Property,402.0,Not Available,Parking,Not Available,0,Ok,Not Available,396.4,Not Available,No,0,Not Available,Not Available,Not Available,3597,5000,Not Available,QUEENS,Not Available,Not Available,581937.3,Not Available,Not Available,Not Available,Not Available
1016 Bryant Avenue,Not Available,1,2022-05-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3851.7,146.2,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,36445,0.1,Not Available,150,Whole Property,202.0,Not Available,Not Available,Not Available,0,Ok,Not Available,295.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,3851.7,Not Available,Not Available,BRONX,Not Available,Not Available,217097.9,Not Available,Not Available,Not Available,Not Available
142-10 Hoover Avenue,Not Available,1,2022-05-23T00:00:00.000,Not Available,9600,Not Available,Not Available,9600,Not Available,6943.2,120.1,Queens,Not Available,Not Available,2023-04-07T00:00:00.000,Not Available,115419,0.6,Not Available,105.4,Whole Property,408.0,Not Available,Parking,Not Available,0,Ok,Not Available,608.6,Not Available,No,0,Not Available,Not Available,Not Available,6943.2,Not Available,90,QUEENS,Not Available,Not Available,466582.6,Not Available,Not Available,Not Available,Not Available
1412 Ocean Avenue,Not Available,1,2022-05-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2157.4,102.8,Brooklyn,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,70780,0.5,Not Available,79.6,Whole Property,314.0,Not Available,Not Available,Not Available,0,Ok,Not Available,322.8,Not Available,No,0,Not Available,Not Available,Not Available,2157.4,Not Available,90,BROOKLYN,Not Available,Not Available,173691,Not Available,Not Available,Not Available,Not Available
60 Turner Place,Not Available,1,2019-05-18T00:00:00.000,Not Available,9360,Not Available,Not Available,9360,Not Available,4329.7,118.1,Brooklyn,Not Available,Not Available,2022-08-30T00:00:00.000,Not Available,158789,0.5,Not Available,Not Available,Whole Property,314.0,Not Available,Parking,Not Available,Not Available,Possible Issue,Not Available,591,Not Available,No,0,Not Available,Not Available,Not Available,4329.7,Not Available,90,BROOKLYN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
600-614 W 181 St,Not Available,1,2020-03-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,160.9,New York,Not Available,Not Available,2023-03-24T00:00:00.000,Not Available,Not Available,0.2,Not Available,224.8,Whole Property,112.0,Not Available,Not Available,Not Available,0,Ok,Not Available,294.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,56897,90,MANHATTAN,Not Available,Not Available,1206641.9,Not Available,Not Available,Not Available,Not Available
1245 EASTERN PARKWAY,Not Available,1,2020-03-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9797.2,126.9,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,95739,0.3,Not Available,66.6,Whole Property,308.0,Not Available,Not Available,Not Available,0,Ok,Not Available,492.2,Not Available,No,0,Not Available,Not Available,Not Available,9797.2,Not Available,Not Available,BROOKLYN,Not Available,Not Available,321016.7,Not Available,Not Available,Not Available,Not Available
"20 SEAGIRT BLVD, 20 04",Not Available,6,2023-04-20T00:00:00.000,Not Available,22972,Not Available,Not Available,22972,Not Available,10135.4,123.5,Far Rockaway,Not Available,Not Available,2023-04-23T00:00:00.000,Not Available,265000,0.5,Not Available,58.4,Whole Property,,Not Available,Parking,Not Available,0,Ok,Not Available,1582.1,Not Available,No,0,Not Available,Not Available,Not Available,10135.4,Not Available,90,,Not Available,Not Available,256000,Not Available,Not Available,Not Available,Not Available
57 Willoughby Street,Not Available,1,2022-12-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,194,Brooklyn,Not Available,Not Available,2023-03-08T00:00:00.000,Not Available,Not Available,0.3,Not Available,98.7,Whole Property,302.0,Not Available,Not Available,Not Available,0,Ok,Not Available,745.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,715463.3,Not Available,Not Available,Not Available,Not Available
4910 17th Avenue,Not Available,1,2020-03-13T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3667,107.8,Brooklyn,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,70620,0.7,Not Available,119.6,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,328.2,Not Available,No,0,Not Available,Not Available,Not Available,3667,Not Available,90,BROOKLYN,Not Available,Not Available,306189.4,Not Available,Not Available,Not Available,Not Available
1225 Avenue R,Not Available,1,2022-05-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2933,107.7,Brooklyn,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,74900,0.6,Not Available,86.3,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,359.2,Not Available,No,0,Not Available,Not Available,Not Available,2933,Not Available,90,BROOKLYN,Not Available,Not Available,193344.2,Not Available,Not Available,Not Available,Not Available
402 Ocean Pkwy,Not Available,1,2021-04-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3817.2,122.9,Brooklyn,Not Available,Not Available,2023-04-10T00:00:00.000,Not Available,55051,0.7,Not Available,107,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,301.5,Not Available,No,8,Not Available,Not Available,Not Available,3817.2,Not Available,90,BROOKLYN,Not Available,Not Available,169412.7,Not Available,Not Available,Not Available,Not Available
3660 Broadway,Not Available,1,2022-02-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,500.8,121.9,New York,Not Available,Not Available,2023-04-26T00:00:00.000,Not Available,71112,0.9,Not Available,142.6,Whole Property,109.0,Not Available,Not Available,Not Available,0,Ok,Not Available,375.6,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,500.8,Not Available,Not Available,MANHATTAN,Not Available,Not Available,365903.1,Not Available,Not Available,Not Available,Not Available
1215 Union Ave,Not Available,1,2022-05-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2647.4,128.1,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,26572,1,Not Available,156.1,Whole Property,203.0,Not Available,Not Available,Not Available,0,Ok,Not Available,151,Not Available,No,Not Available,Not Available,Not Available,Not Available,2647.4,Not Available,Not Available,BRONX,Not Available,Not Available,128629.8,Not Available,Not Available,Not Available,Not Available
41-11 elbertson street,Not Available,3,2016-05-10T00:00:00.000,Not Available,6000,Not Available,Not Available,6000,Not Available,19203.2,100.6,queens,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,144000,61.1,Not Available,99.8,Whole Property,404.0,Not Available,Parking,Not Available,0,Ok,Not Available,623.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,19203.2,Not Available,Not Available,QUEENS,Not Available,Not Available,537177.1,Not Available,Not Available,Not Available,Not Available
60 Monitor Street,Not Available,1,2021-10-08T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1353.7,123.1,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,29825,0.4,Not Available,92.8,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,144,Not Available,No,30,Not Available,Not Available,Not Available,1353.7,Not Available,Not Available,BROOKLYN,Not Available,Not Available,157851.4,Not Available,Not Available,Not Available,Not Available
133 Clarke Place East,Not Available,1,2022-05-17T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8659.4,135.6,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,44643,1.1,Not Available,158.1,Whole Property,204.0,Not Available,Not Available,Not Available,0,Ok,Not Available,268,Not Available,No,Not Available,Not Available,Not Available,Not Available,8659.4,Not Available,Not Available,BRONX,Not Available,Not Available,221766.2,Not Available,Not Available,Not Available,Not Available
740 West End Avenue,Not Available,1,2014-08-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122.4,New York,Not Available,Not Available,2023-04-20T00:00:00.000,Not Available,145497,Not Available,Not Available,Not Available,Whole Property,107.0,Not Available,Not Available,Not Available,0,Ok,Not Available,743.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"144-31 41st Avenue,",Not Available,1,2020-03-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7033.2,112.1,Queens,Not Available,Not Available,2023-04-11T00:00:00.000,Not Available,111062,0.7,Not Available,100.1,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,550.9,Not Available,No,0,Not Available,Not Available,Not Available,7033.2,Not Available,90,QUEENS,Not Available,Not Available,346310.8,Not Available,Not Available,Not Available,Not Available
320 Pearl Street,Not Available,1,2018-10-04T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2898,196,Seaport,Not Available,Not Available,2023-02-15T00:00:00.000,Not Available,Not Available,0.3,Not Available,172,Whole Property,101.0,Not Available,Not Available,Not Available,0,Ok,Not Available,182.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,2898,Not Available,Not Available,MANHATTAN,Not Available,Not Available,406354.4,Not Available,Not Available,Not Available,Not Available
34-35 76th Street,Not Available,1,2022-05-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6034.5,110.7,Jackson Heights,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,133322,0.6,Not Available,95,Whole Property,403.0,Not Available,Not Available,Not Available,0,Ok,Not Available,666.5,Not Available,No,0,Not Available,Not Available,Not Available,6034.5,Not Available,90,QUEENS,Not Available,Not Available,425425.6,Not Available,Not Available,Not Available,Not Available
2245 E. 19th Street,Not Available,1,2014-08-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2577.8,107.2,Brooklyn,Not Available,Not Available,2023-03-08T00:00:00.000,Not Available,84000,0.6,Not Available,81.6,Whole Property,315.0,Not Available,Not Available,Not Available,0,Ok,Not Available,403,Not Available,No,0,Not Available,Not Available,Not Available,2577.8,Not Available,Not Available,BROOKLYN,Not Available,Not Available,195442.3,Not Available,Not Available,Not Available,Not Available
1180 Ocean Parkway,Not Available,1,2020-03-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,124.1,Brooklyn,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,98708,0.9,Not Available,128,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,546.9,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,90,BROOKLYN,Not Available,Not Available,369521.7,Not Available,Not Available,Not Available,Not Available
2830 Morris Avenue,Not Available,1,2020-04-20T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5615.6,113.1,Bronx,Not Available,Not Available,2023-04-12T00:00:00.000,Not Available,61323,0,Not Available,115.2,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,423.9,Not Available,No,0,Not Available,Not Available,Not Available,5615.6,Not Available,90,BRONX,Not Available,Not Available,199196.2,Not Available,Not Available,Not Available,Not Available
2321 Belmont Avenue,Not Available,1,2021-10-04T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,130.7,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,33690,0,Not Available,32.1,Whole Property,206.0,Not Available,Office,Not Available,0,Ok,Not Available,147.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,114447,Not Available,Not Available,Not Available,Not Available
138-10 Franklin Ave,Not Available,1,2019-05-27T00:00:00.000,Not Available,7800,Not Available,Not Available,7800,Not Available,14205.5,107.8,Queens,Not Available,Not Available,2023-04-09T00:00:00.000,Not Available,233437,0.8,Not Available,115.9,Whole Property,407.0,Not Available,Parking,Not Available,0,Ok,Not Available,1131.2,Not Available,No,0,Not Available,Not Available,Not Available,14205.5,Not Available,90,QUEENS,Not Available,Not Available,750034.6,Not Available,Not Available,Not Available,Not Available
62-60 99th Street,Not Available,1,2023-04-14T00:00:00.000,Not Available,30000,Not Available,Not Available,30000,Not Available,57.6,119.7,Queens,Not Available,Not Available,2023-03-11T00:00:00.000,Not Available,473000,0.7,Not Available,114.6,Whole Property,406.0,Not Available,Parking,Not Available,0,Ok,Not Available,2475.8,Not Available,No,0,Not Available,Not Available,Not Available,57.6,Not Available,Not Available,QUEENS,Not Available,Not Available,1828538.1,Not Available,Not Available,Not Available,Not Available
247 East 28th Street,Not Available,1,2022-04-11T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4827.2,128.6,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,108614,38.6,Not Available,124.4,Whole Property,106.0,Not Available,Not Available,Not Available,0,Ok,Not Available,579.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,4827.2,Not Available,Not Available,MANHATTAN,Not Available,Not Available,793563.4,Not Available,Not Available,Not Available,Not Available
924 Metropolitan Ave,Not Available,1,2020-07-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,873.8,132.5,Brooklyn,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,25085,0.7,Not Available,121.4,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,137.9,Not Available,No,0,Not Available,Not Available,Not Available,873.8,Not Available,Not Available,BROOKLYN,Not Available,Not Available,136468.4,Not Available,Not Available,Not Available,Not Available
384 5th Avenue,Not Available,1,2020-01-29T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,142.7,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,0,Not Available,54.2,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,120.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,158508,Not Available,Not Available,Not Available,Not Available
112-41 72nd Road,Not Available,1,2022-05-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2461.8,111.5,Forest Hills,Not Available,Not Available,2023-04-24T00:00:00.000,Not Available,64339,0.6,Not Available,96.7,Whole Property,406.0,Not Available,Not Available,Not Available,0,Ok,Not Available,308.3,Not Available,No,0,Not Available,Not Available,Not Available,2461.8,Not Available,90,QUEENS,Not Available,Not Available,234042.6,Not Available,Not Available,Not Available,Not Available
172-90 Highland Ave,Not Available,1,2020-04-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3751,118.1,Jamaica,Not Available,Not Available,2023-04-08T00:00:00.000,Not Available,93173,0.5,Not Available,82.3,Whole Property,408.0,Not Available,Office,Not Available,0,Ok,Not Available,502.7,Not Available,Yes,0,Not Available,Not Available,Not Available,3751,Not Available,90,QUEENS,Not Available,Not Available,279417.9,0,Not Available,Not Available,Not Available
242 West 38th Street,Not Available,1,2022-12-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,569.3,163,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0.2,Not Available,69.5,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,282.3,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,569.3,Not Available,Not Available,MANHATTAN,Not Available,Not Available,240775,Not Available,Not Available,Not Available,Not Available
28-66 College Point Blvd,Not Available,1,2023-04-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2992.9,306.5,Queens,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,Not Available,1.3,Not Available,721.5,Whole Property,407.0,Not Available,Not Available,Not Available,0,Ok,Not Available,77.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,2992.9,Not Available,Not Available,QUEENS,Not Available,Not Available,449724.9,Not Available,Not Available,Not Available,Not Available
1159 Brighton Beach Avenue,Not Available,1,2021-04-22T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3949,112.8,Brooklyn,Not Available,Not Available,2023-04-14T00:00:00.000,Not Available,62060,0.8,Not Available,107.8,Whole Property,313.0,Not Available,Not Available,Not Available,0,Ok,Not Available,315.4,Not Available,No,0,Not Available,Not Available,Not Available,3949,Not Available,90,BROOKLYN,Not Available,Not Available,177234.8,Not Available,Not Available,Not Available,Not Available
70-10 74th Street,Not Available,1,2021-05-28T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74,Middle Village,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,Not Available,0.6,Not Available,137.9,Whole Property,405.0,Not Available,Not Available,Not Available,0,Ok,Not Available,168.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,433626,Not Available,Not Available,Not Available,Not Available
8-18 Queens Plaza South,Not Available,2,2022-12-20T00:00:00.000,Not Available,5000,Not Available,Not Available,0,Not Available,7036.1,272.8,Queens,Not Available,Not Available,,Not Available,Not Available,0.4,Not Available,195.9,Whole Property,402.0,Not Available,Parking,Not Available,0,Ok,Not Available,914.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,7036.1,Not Available,Not Available,QUEENS,Not Available,Not Available,1605505.7,Not Available,Not Available,Not Available,Not Available
990 Aldus Street,Not Available,1,2022-05-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5647.8,125.7,Bronx,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,45000,0.1,Not Available,138.7,Whole Property,202.0,Not Available,Not Available,Not Available,0,Ok,Not Available,314.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,5647.8,Not Available,Not Available,BRONX,Not Available,Not Available,240152.6,Not Available,Not Available,Not Available,Not Available
1250 Ocean Parkway,Not Available,1,2020-03-12T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3376.6,112.2,Brooklyn,Not Available,Not Available,2023-04-08T00:00:00.000,Not Available,110129,0.7,Not Available,104.4,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,539.9,Not Available,No,0,Not Available,Not Available,Not Available,3376.6,Not Available,90,BROOKLYN,Not Available,Not Available,393754.1,Not Available,Not Available,Not Available,Not Available
143 Roebling Street,Not Available,4,2023-02-02T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,116.2,Brooklyn,Not Available,Not Available,,Not Available,104661,Not Available,Not Available,17.3,Whole Property,301.0,Not Available,Not Available,Not Available,0,Ok,Not Available,367.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,189130.6,Not Available,Not Available,Not Available,Not Available
4601 Henry Hudson Parkway,Not Available,1,2020-02-26T00:00:00.000,Not Available,4625,Not Available,Not Available,4625,Not Available,Not Available,117.6,Bronx,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,57250,67.6,Not Available,107.1,Whole Property,208.0,Not Available,Medical Office,Not Available,0,Ok,Not Available,322.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,238755.5,0,Not Available,Not Available,Not Available
166-05 89 Ave,Not Available,1,2022-04-07T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,121.9,Jamaica,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,56200,90.7,Not Available,137.2,Whole Property,412.0,Not Available,Not Available,Not Available,0,Ok,Not Available,312.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,220329.5,Not Available,Not Available,Not Available,Not Available
200 Boscombe Avenue,Not Available,1,2022-02-16T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1325.9,98.8,Staten Island,Not Available,Not Available,2023-03-08T00:00:00.000,Not Available,Not Available,38,Not Available,65.1,Whole Property,503.0,Not Available,K-12 School,Not Available,422397,Ok,Not Available,244.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,1325.9,Not Available,Not Available,STATEN IS,Not Available,Not Available,462035.2,Not Available,10000,Not Available,100
110 Meisner Avenue,Not Available,1,2023-06-19T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1483.9,138.3,Staten Island,Not Available,Not Available,2023-06-20T00:00:00.000,Not Available,Not Available,0.8,Not Available,179.1,Whole Property,502.0,Not Available,Not Available,Not Available,0,Ok,Not Available,294.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,1483.9,Not Available,Not Available,STATEN IS,Not Available,Not Available,516930,Not Available,Not Available,Not Available,Not Available
917 Ogden Avenue,Not Available,1,2018-03-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,110.3,Bronx,Not Available,Not Available,2023-04-25T00:00:00.000,Not Available,36888,Not Available,Not Available,Not Available,Whole Property,204.0,Not Available,Not Available,Not Available,0,Ok,Not Available,175.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
57-54 Page Place,Not Available,1,2022-09-26T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,739.6,122.5,Maspeth,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,94.9,Not Available,136.5,Whole Property,405.0,Not Available,Not Available,Not Available,0,Ok,Not Available,313.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,739.6,Not Available,Not Available,QUEENS,Not Available,Not Available,219908,Not Available,Not Available,Not Available,Not Available
40-45 elbertson street,Not Available,3,2021-03-03T00:00:00.000,Not Available,14000,Not Available,Not Available,14000,Not Available,22325.8,130.9,queens,Not Available,Not Available,2023-03-09T00:00:00.000,Not Available,203000,30.9,Not Available,73.2,Whole Property,404.0,Not Available,Parking,Not Available,0,Ok,Not Available,1035.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,22325.8,Not Available,Not Available,QUEENS,Not Available,Not Available,865260.8,Not Available,Not Available,Not Available,Not Available
1957 Bronxdale Ave.,Not Available,1,2020-05-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7212.1,91.9,Bronx,Not Available,Not Available,2023-03-18T00:00:00.000,Not Available,96300,0.8,Not Available,115.7,Whole Property,211.0,Not Available,Not Available,Not Available,0,Ok,Not Available,389.2,Not Available,No,9,Not Available,Not Available,Not Available,7212.1,Not Available,90,BRONX,Not Available,Not Available,362267.9,Not Available,Not Available,Not Available,Not Available
225 West 123rd St,Not Available,1,2023-04-18T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101.8,Manhattan,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,98955,1.4,Not Available,194.6,Whole Property,110.0,Not Available,Not Available,Not Available,0,Ok,Not Available,454.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN,Not Available,Not Available,522691.3,Not Available,Not Available,Not Available,Not Available
1166 Manhattan Ave,Not Available,2,2022-01-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,362.3,116.4,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,3600,3.8,Not Available,78.2,Whole Property,301.0,Not Available,Multifamily Housing,Not Available,0,Ok,Not Available,156.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,362.3,Not Available,Not Available,BROOKLYN,Not Available,Not Available,334590,Not Available,Not Available,Not Available,Not Available
573 Emerald St,Not Available,1,2023-04-28T00:00:00.000,Not Available,29346,Not Available,Not Available,29346,Not Available,Not Available,137.5,Brooklyn,Not Available,Not Available,2023-04-28T00:00:00.000,Not Available,141799,Not Available,Not Available,18.7,Whole Property,305.0,Not Available,Parking,Not Available,0,Ok,Not Available,588.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,277052.1,Not Available,Not Available,Not Available,Not Available
181 CLARKSON AVE,Not Available,1,2020-03-09T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6027.8,116,Brooklyn,Not Available,Not Available,2023-03-06T00:00:00.000,Not Available,62100,0.6,Not Available,87,Whole Property,309.0,Not Available,Not Available,Not Available,0,Ok,Not Available,325.5,Not Available,No,5,Not Available,Not Available,Not Available,6027.8,Not Available,Not Available,BROOKLYN,Not Available,Not Available,141344.3,Not Available,Not Available,Not Available,Not Available
302 Sheffield Ave.,Not Available,1,2022-03-28T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112,Brooklyn,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,16.7,Not Available,66.1,Whole Property,305.0,Not Available,Not Available,Not Available,0,Ok,Not Available,105.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,134844,Not Available,Not Available,Not Available,Not Available
