address_1,supermarkets_grocery_gross,bank_financial_institution_4,medical_office_number_of,chilled_water_other_kbtu,longitude,council_district,hotel_room_density,community_board,difference_from_national,other_water_use_kgal,senior_care_facility_workers,multifamily_home_government,year_s_labeled,multifamily_home_gross_floor,house_of_worship_gross_floor,retail_walk_in_refrig_density,fuel_oil_4_use_kbtu,house_of_worship_pc_density,warehouse_unrefrigerated_4,senior_care_facility_number_3,parking_weekly_hours_of_access,current_water_period_ending,medical_office_weekly,senior_care_facility_total_1,multifamily_home_resident,chilled_water_electric_driven,supermarkets_grocery_number_1,multifamily_home_number_of,supermarkets_grocery_percent,rating,electricity_use_kbtu,swimming_pool_months_in_use,hospital_maximum_number_of,parking_enclosed_floor_area,hotel_workers_density,target_rating_1_100,swimming_pool_indoor_outdoor,bank_financial_institution_3,chilled_water_engine_driven,residence_halls_dormitories_4,multifamily_home_laundry_1,current_total_ghg_emissions,residence_halls_dormitories_3,supermarkets_grocery_weekly,national_average_pue,space_use_alerts,retail_gross_floor_area_sq,year_built
100 Maiden Lane,,,,,-74.00699,1.0,,101.0,,,,0.0,,279600.0,,,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,22.0,,0.0,2392966.38,,,,,0.0,,,,,0.0,225.32,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2005.0
346 West 40th Street,,,,,-73.992088,3.0,,104.0,-45.7,,,,,,,,,,0.0,,,2200-01-01T00:00:00.000,,,,,,,,83.0,523778.13,,,,,0.0,,,,,,49.18,,,,,,1945.0
325 Broadway,,,10.0,,-74.004787,1.0,,101.0,56.0,,,,,,,0.0,,,,,,2012-02-29T00:00:00.000,65.0,,,,,,,0.0,2961477.78,,,,,0.0,,,,,,529.97,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>",5365.0,1915.0
200 Chambers St,,,13.0,,-74.012207,1.0,,101.0,,,,0.0,,387303.0,,,,,,,168.0,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,32.0,,0.0,19413135.46,0.0,,28674.0,,0.0,Indoor,,,,192.0,2294.98,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,2007.0
101 West 12th Street,,,1.0,,-73.998228,3.0,,102.0,,,,0.0,,327000.0,,0.0,,,,,,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,21.0,,0.0,6732624.37,,,,,0.0,,,,,10.0,2849.73,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",12980.0,1960.0
30 Monroe St.,,,,,-73.994939,1.0,,103.0,,,,0.0,,107704.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,2479068.44,,,,,0.0,,,,,5.0,829.42,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1935.0
9-15 Murray Street,,,,,-74.007759,1.0,,101.0,,,,0.0,,60153.0,,,4622926.85,,,,,2200-01-01T00:00:00.000,,,,,,14.0,,0.0,3828319.41,,,,,0.0,,,,,27.0,713.68,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1897.0
42 Broadway,,,,,-74.012909,1.0,,101.0,-4.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,54.0,27322814.91,,,,,0.0,,,,,,3415.06,,,,Using default values for Space Use attributes.<br>,,1900.0
200 Liberty Street,,,,0.0,-74.015442,1.0,,101.0,-32.1,,,,200920102011.0,,,,,,,,168.0,2012-03-31T00:00:00.000,,,,58708474.55,,,,86.0,84661769.89,,,50000.0,,0.0,,,0.0,,,14825.93,,,1.82,,,1986.0
One Astor Place,,,,,,,,,,,,0.0,,80600.0,,0.0,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,13.0,,0.0,5239218.76,,,,,0.0,,,,,0.0,1468.26,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",9400.0,1981.0
61 Jane Street,,,,,-74.005849,3.0,,102.0,,,,0.0,,277188.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,,,,20.0,,0.0,5035071.17,,,11000.0,,0.0,,,,,6.0,1512.52,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1963.0
363 West 16th Street,,,,,-74.003244,3.0,0.51,104.0,24.6,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,26.0,13565759.79,,,,0.77,0.0,,,,,,2094.82,,,,,,1969.0
89 AVE C 3 STO,,,,,-73.979259,2.0,,103.0,,,,0.0,,67225.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,6.0,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1986.0
320 Pearl Street,,,,,-74.002272,1.0,2.37,101.0,-9.9,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,61.0,1694118.21,,,,0.36,0.0,,,,,,194.45,,,,,,2006.0
2 Cooper Square,,,,,-73.991539,2.0,,102.0,,,,0.0,,94598.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,2641606.69,,,,,0.0,,,,,,569.98,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2010.0
75 Montgomery Street,,,,,-73.984818,1.0,,103.0,,,,0.0,,136070.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,21.0,,0.0,2837872.56,,,,,0.0,,,,,0.0,1033.67,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1963.0
528-534 Hudson Street,,,,,-74.006228,3.0,,102.0,,,10.0,0.0,,49167.0,,0.0,,,,1.0,,2011-12-31T00:00:00.000,,26.0,No specific resident population,,,7.0,,0.0,3870556.35,,,,,0.0,,,,,0.0,367.16,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",9500.0,1998.0
143 Reade St,,,,,-74.009776,1.0,,101.0,,,,0.0,,57453.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,17.0,,0.0,4336672.47,,,,,0.0,,,,,38.0,478.12,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1930.0
2 Avenue of the Americas,,,,,-74.005166,1.0,1.51,101.0,43.2,,,,,,,,,,,,,2012-01-31T00:00:00.000,,,,,,,,14.0,12169301.24,,,,0.23,0.0,,,,,,1237.27,,,,,,2000.0
443 Greenwich Street,,,,,-74.009625,1.0,,101.0,-92.5,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,495828.43,,,,,0.0,,,,,,120.45,,,,Weekly operating hours is much lower than normal for Main Space Office.<br>,,1905.0
2 Horatio Street,,,,,-74.002504,3.0,,102.0,,,,0.0,,210644.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,17.0,,0.0,3017767.29,,,,,0.0,,,,,0.0,1498.19,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",20000.0,1962.0
200 Lafayette Street,,,,,-73.997987,1.0,,102.0,-99.8,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,100.0,15626.29,,,,,0.0,,,,,,1.47,,,,Using default values for Space Use attributes.<br>,20146.0,1900.0
543 Broadway,,,,,-73.998402,1.0,,102.0,,,,0.0,,60000.0,,,,,,,,2011-12-31T00:00:00.000,,,,,,10.0,,0.0,986085.06,,,,,0.0,,,,,17.0,239.71,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1989.0
150 Ludlow Street,,,,,-73.987994,1.0,,103.0,,,,0.0,,40400.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,956840.37,,,,,0.0,,,,,0.0,89.84,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1992.0
100 Washington Square East,,,,,-73.995706,1.0,,102.0,-91.0,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,2407507.2,,,,,0.0,,,,,,226.03,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1895.0
530-542 W 27th St.,,,,,-74.003642,3.0,,104.0,-70.4,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,452383.74,,,,,0.0,,,,,,78.79,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1920.0
140 Nassau Street,,,,,-74.006356,1.0,,101.0,,,,0.0,,73779.0,,,,,,,,2012-01-31T00:00:00.000,,,No specific resident population,,,15.0,,0.0,1733556.51,,,,,0.0,,,,,0.0,319012.08,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1901.0
One Broadway,,,,,,,,,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1882.0
423-31 WEST 25TH STREET - CHELSEA HSES,,,,,,,,,,,,0.0,,398836.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,21.0,,0.0,10576236.61,,,,,0.0,,,,,0.0,2977.01,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1964.0
636 Broadway,,,,,-73.996067,1.0,,102.0,-32.3,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,80.0,5028188.13,,,,,0.0,,,,,,817.93,,,,Weekly operating hours is much lower than normal for Vacant Office Space.<br>,10000.0,1905.0
120 West 14th Street,,,,,-73.997676,3.0,,102.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1928.0
560 Broadway,10310.0,,,,-73.998048,1.0,,102.0,-28.0,,,,,,,0.0,,,,,,2011-12-31T00:00:00.000,,,,,,,100.0,79.0,9904003.83,,,,,0.0,,,,,,1184.72,,91.0,,Weekly operating hours is much lower than normal for office space 507.<br> Weekly operating hours is much lower than normal for Office Space V1.<br> Weekly operating hours is much lower than normal for Office space V.<br>,7000.0,1890.0
4 Washington Mews,,,,,-73.996266,1.0,,102.0,,,,0.0,,2733.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,,,,,,,,,,,,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1939.0
18 East 12th Street,,,,,-73.993653,2.0,,102.0,,,,0.0,,52427.0,,,,,,,,2011-12-31T00:00:00.000,,,,,,13.0,,0.0,2422728.13,,,,,0.0,,,,,,380.65,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1910.0
440 Lafayette,,,,,,,,,,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,,,,,,,,,,,,,,,,The rating is not available for stores that do not have exterior entrances.Using default values for Space Use attributes.<br>,46500.0,1910.0
88 University Place (24 East 12th st.),,,,,-73.993065,2.0,,102.0,-4.6,,,,,,,,2661979.23,,,,,2200-01-01T00:00:00.000,,,,,,,,54.0,3966145.14,,,,,0.0,,,,,,644.48,,,,Weekly operating hours is much lower than normal for OFFICE-VACANT.<br>,,1910.0
627 Broadway,,,,,-73.996255,1.0,,102.0,23.8,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,6887115.4,,,,,0.0,,,,,,833.37,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Weekly operating hours is much lower than normal for office- vacant.<br>",30000.0,1900.0
166 E 10TH ST BL #11 / RIIS-WALD-BARUCH,,,,,-73.987083,2.0,,103.0,,,,0.0,,1702331.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,13.0,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1949.0
32 Broadway,,,,,-74.013096,1.0,,101.0,-9.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,59.0,9107603.83,,,,,0.0,,,,,,1138.33,,,,Using default values for Space Use attributes.<br>,,1900.0
521-527 West 20th Street,,,,,-74.006536,3.0,,104.0,149.2,,,,,,,,,,0.0,,,2200-01-01T00:00:00.000,,,,,,,,4.0,5883652.8,,,,,0.0,,,,,,552.4,,,,Using default values for Space Use attributes.<br>,,1913.0
620 E 13th St,,,,,-73.977865,2.0,,103.0,,,,0.0,,181881.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,10.0,,0.0,4659427.2,,,,,0.0,,,,,0.0,469.92,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1973.0
756 Washington St.,,,,,-74.008256,3.0,,102.0,,,,0.0,,71549.0,,,,,,,112.0,2200-01-01T00:00:00.000,,,,,,12.0,,0.0,1968263.69,,,5000.0,,0.0,,,,,0.0,384.56,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2003.0
547 West 27th Street,,,,,-74.003934,3.0,,104.0,,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,1900.0
1 William Street,,0.65,,,-74.009792,1.0,,101.0,23.7,,,,,,,,,,,,112.0,2012-02-29T00:00:00.000,,,,,,,,0.0,7242869.53,,,2500.0,,0.0,,70.0,,,,833.25,,,1.82,"""Other"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>",,1907.0
377 W 11 Streeet (Riverbank South),,,,,,,,,,,,0.0,,56820.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,4.0,,0.0,1422618.73,,,,,0.0,,,,,28.0,272.52,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1922.0
251 Cherry Street,,,,,-73.990225,1.0,,103.0,,,,1.0,,625896.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,26.0,,0.0,10978053.06,,,,,0.0,,,,,0.0,4733.12,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1979.0
425 East 13th Street,,,,,-73.982353,2.0,,103.0,,,,0.0,,94773.0,,,,,,,,2011-12-31T00:00:00.000,,,,,,13.0,,0.0,,3.0,,,,,Outdoor,,,,,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2007.0
240 Centre Street,,,,,-73.998207,1.0,,102.0,,,,0.0,,141702.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,6.0,,0.0,5093873.86,,,,,0.0,,,,,55.0,570.2,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1905.0
360 6th Avenue,,0.5,,,-74.000401,1.0,,102.0,,,,0.0,,43095.0,,0.0,,,,,,2011-12-31T00:00:00.000,,,,,,6.0,,0.0,,,,,,,,168.0,,,,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",22300.0,1930.0
57 Reade Street,,,,,-74.006345,1.0,,101.0,,,,0.0,,119369.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,20.0,,0.0,10594.26,,,,,0.0,,,,,168.0,1.45,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",16399.0,2010.0
540 West 28th Street,,,,,-74.003385,3.0,,104.0,,,,0.0,,128230.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,4102137.73,,,,,0.0,,,,,97.0,385.14,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",24764.0,1985.0
120 Fulton St,,,,,-74.007485,1.0,,101.0,17.2,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,36.0,2814558.8,,,,,0.0,,,,80.0,,516.36,0.0,,,,,1952.0
455 West 37th Street,,,,,-73.996834,3.0,,104.0,,,,1.0,,415856.0,,0.19,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,23.0,,0.0,14606627.1,,,,,0.0,,,,,0.0,1800.84,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",10663.0,2009.0
50 Bayard Street,,6.25,,,-73.997414,1.0,,103.0,,,,0.0,,172010.0,,0.0,13076329.77,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,8.0,,0.0,4819848.4,,,53000.0,,0.0,,60.0,,,14.0,1499.2,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",5990.0,1962.0
110 Bleeker Street,,,,,-73.997658,1.0,,102.0,,,,0.0,,454925.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,,,,,,0.0,32755.2,,,62351.0,,0.0,,,,,,3.08,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1966.0
170 William St,,,,,-74.005515,1.0,,101.0,0.2,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,49.0,38120518.3,,10.0,,,0.0,,,,,,3609.26,,,,Using default values for Space Use attributes.<br>Using temporary values for Space Use attributes.<br>,,1953.0
15 West 12th Street,,,4.0,,-73.995266,3.0,,102.0,,,,0.0,,84362.0,,,,,,,,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,13.0,,0.0,1415305.79,,,,,0.0,,,,,0.0,591.57,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1959.0
255 Hudson Street,,,,,-74.007742,3.0,,102.0,,,,0.0,,92000.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,11.0,,0.0,3195481.08,,,,,0.0,,,,,128.0,522.08,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2005.0
71 Spring St,,,,,-73.997586,1.0,,102.0,24.0,,,,,,,0.1,,,,,,2200-01-01T00:00:00.000,,,,,,,,30.0,4318727.42,,,,,0.0,,,,,,537.46,,,,,9600.0,1912.0
"140 Charles Street, NYC 10014",4200.0,,,,-74.007982,3.0,,102.0,,,,0.0,,85073.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,1.0,22.0,100.0,0.0,3794341.84,,,,,0.0,,,,,20.0,630.39,,105.0,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1050.0,1986.0
165 Broadway,,,,,-74.010186,1.0,,101.0,-16.7,,,,,,,0.0,,,,,,2012-01-31T00:00:00.000,,,,,,,,70.0,179500926.3,,,,,0.0,,,,,,23764.55,,,1.82,,19134.0,1972.0
90 Washington Street,,,,,-74.014446,1.0,,101.0,,,,0.0,,311607.0,,0.0,,,,,112.0,2200-01-01T00:00:00.000,,,No specific resident population,,,27.0,,0.0,11180441.6,,,9608.0,,0.0,,,,,0.0,2029.24,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",3200.0,1969.0
99 Tenth Ave,,,,,-74.007156,3.0,,104.0,47.8,,,,,,,,,,,,168.0,2200-01-01T00:00:00.000,,,,,,,,0.0,41204963.7,,,236351.0,,0.0,,,,,,4257.28,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>",,1908.0
80 Ridge Street,,,,,-73.983795,1.0,,103.0,,,,1.0,,81303.0,,,,,,,,2011-12-31T00:00:00.000,,,Dedicated Senior/Independent Living,,,8.0,,0.0,2125925.4,,,,,0.0,,,,,0.0,490.67,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1992.0
150 Broadway,,,46.0,,-74.010392,1.0,,101.0,-42.2,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,65.0,,,,,,,87.0,11105844.27,,,,,0.0,,,,,,1377.56,,,,Using default values for Space Use attributes.<br>,22536.0,1600.0
155 Avenue of Americas,,,,,-74.004412,3.0,,102.0,-40.9,,,,2011.0,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,87.0,9958571.38,,,,,0.0,,,,,,1238.17,,,1.82,,,1929.0
245 Sullivan Street,,,,,-73.999278,1.0,,102.0,-99.5,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,24566.4,,,,,0.0,,,,,,5.57,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2001.0
375 Pearl Street,,,,,-74.001125,1.0,,101.0,-41.3,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,0.0,33326570.72,,,,,0.0,,,,,,4029.93,,,,Weekly operating hours is much lower than normal for Office-Vacant.<br>,,1975.0
35 Fifth Avenue,,,,,-73.995414,2.0,,102.0,-2.2,,,,,,,,11698266.29,,,,,2200-01-01T00:00:00.000,,,,,,,,51.0,3410635.2,,,,,0.0,,,,254.0,,1227.73,1.0,,,,,1899.0
17 State Street,,,,,-74.014246,1.0,,101.0,-11.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,61.0,44815575.93,,,,,0.0,,,,,,4817.62,,,1.82,,,1900.0
445 Lafayette St.,,2.3,,,-73.991806,2.0,,102.0,,,,0.0,,112296.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,21.0,,0.0,7854768.98,,,12000.0,,0.0,,65.0,,,40.0,1384.04,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,2005.0
17 Battery Place,,,,,-74.015927,1.0,,101.0,-1.7,,,0.0,,498437.0,,0.0,23222614.7,,,,168.0,2200-01-01T00:00:00.000,,,,,,,,0.0,60387464.03,,,31790.0,,0.0,,,,,,7719.1,,,1.82,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>",8500.0,1902.0
380 Rector Place,,,,,-74.017764,1.0,,101.0,,,,0.0,,234119.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,26.0,,0.0,5823134.49,,,,,0.0,,,,,0.0,1772.56,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1247.0,1986.0
99 Nassau Street,,,11.0,,-74.007441,1.0,,101.0,8.5,,,,,,,0.0,,,,,,2012-03-31T00:00:00.000,45.0,,,,,,,0.0,5019172.42,,,,,0.0,,,,,,644.72,,,,,10000.0,1872.0
11 Wall St,,1.62,,,-74.011105,1.0,,101.0,389.5,,,,,,,,,,,,,2011-12-31T00:00:00.000,,,,,,,,0.0,81218195.66,,,,,0.0,,65.0,,,,10754.06,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>",,1904.0
40 delancey St,,,,,-73.9918,1.0,,103.0,,,,0.0,,5000.0,,,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,16.0,,0.0,2084513.57,,,,,0.0,,,,,1.0,400.75,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2010.0
125 Broad Street Condo,,,,0.0,-74.011249,1.0,,101.0,-28.7,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,0.0,,,,77.0,62312366.52,,,,,0.0,,,63119580.0,,,11338.43,,,,,,1970.0
One New York Plaza,,,,0.0,-74.011689,1.0,,101.0,-8.5,,,,,,,0.08,,,,,168.0,2012-03-31T00:00:00.000,,,,-63265740.0,,,,60.0,239951449.7,,,68700.0,,0.0,,,0.0,,,30692.81,,,1.82,Using temporary values for Space Use attributes.<br>,39319.0,1970.0
10 Liberty Street,,,,,-74.008155,1.0,,101.0,,,,0.0,,333600.0,,0.0,1454447.27,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,47.0,,0.0,11620397.5,,,44000.0,,0.0,,,,,287.0,2414.32,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",3400.0,2002.0
513-519 West 20th Street,,,,,-74.006428,3.0,,104.0,-24.9,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,2159113.6,,,,,0.0,,,,,,330.26,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1910.0
15 W 11th St,,,,,-73.99585,3.0,,102.0,,,,0.0,,51113.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,9.0,,0.0,784876.52,,,,,0.0,,,,,2.0,836.14,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,2000.0
130 Jane Street,,,,,-74.009093,3.0,,102.0,,,,0.0,,50820.0,,,,,,,,2011-12-31T00:00:00.000,,,No specific resident population,,,6.0,,0.0,1412370.98,,,,,0.0,,,,,0.0,282.66,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1916.0
