unique_squirrel_id,geocoded_column,tail_flags,eating,:@computed_region_sbqj_enih,highlight_fur_color,indifferent,x,chasing,approaches,location,y,date,above_ground_sighter,age,:@computed_region_92fq_4b7q,combination_of_primary_and,other_activities
7A-AM-1006-03,"{'type': 'Point', 'coordinates': [-73.9783185278595, 40.7724861675504]}",False,False,13,,True,-73.9783185278595,False,False,Above Ground,40.7724861675504,10062018,20,Adult,19,Gray+,jumping
32D-AM-1013-06,"{'type': 'Point', 'coordinates': [-73.9610705592868, 40.7914829661051]}",False,True,13,,False,-73.9610705592868,False,True,Ground Plane,40.7914829661051,10132018,FALSE,Adult,19,Cinnamon+,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity"
22F-AM-1007-01,"{'type': 'Point', 'coordinates': [-73.9639744005647, 40.7825111950764]}",False,False,13,Cinnamon,True,-73.9639744005647,False,False,Ground Plane,40.7825111950764,10072018,FALSE,Adult,19,Gray+Cinnamon,
29C-AM-1007-06,"{'type': 'Point', 'coordinates': [-73.9639159298446, 40.7891774637988]}",False,False,13,Cinnamon,False,-73.9639159298446,False,False,Ground Plane,40.7891774637988,10072018,FALSE,Adult,19,Gray+Cinnamon,
7A-AM-1006-01,"{'type': 'Point', 'coordinates': [-73.9782417115139, 40.7724665036447]}",False,False,13,White,False,-73.9782417115139,False,False,Above Ground,40.7724665036447,10062018,10,Adult,19,Gray+White,
14C-PM-1006-02,"{'type': 'Point', 'coordinates': [-73.9714465493257, 40.7772135587308]}",False,False,13,,False,-73.9714465493257,False,False,Ground Plane,40.7772135587308,10062018,FALSE,Adult,19,Gray+,
18I-AM-1017-02,"{'type': 'Point', 'coordinates': [-73.9638590768396, 40.7776782114981]}",False,False,13,Black,False,-73.9638590768396,False,False,Above Ground,40.7776782114981,10172018,15,Adult,19,Gray+Black,
32F-AM-1012-01,"{'type': 'Point', 'coordinates': [-73.9587879699956, 40.7908135158551]}",False,False,13,Cinnamon,False,-73.9587879699956,False,False,Ground Plane,40.7908135158551,10122018,FALSE,,19,Gray+Cinnamon,made a back-door escape from dog off-leash
19F-AM-1007-01,"{'type': 'Point', 'coordinates': [-73.9658181813014, 40.7798160637561]}",False,False,13,Gray,True,-73.9658181813014,False,False,Ground Plane,40.7798160637561,10072018,FALSE,Adult,19,Cinnamon+Gray,
8F-PM-1012-04,"{'type': 'Point', 'coordinates': [-73.972416242971, 40.7714260236636]}",False,False,13,,False,-73.972416242971,False,False,Above Ground,40.7714260236636,10122018,6,Adult,19,Gray+,
36D-PM-1007-02,"{'type': 'Point', 'coordinates': [-73.9587712679442, 40.7944502501428]}",False,False,13,Cinnamon,True,-73.9587712679442,False,True,Ground Plane,40.7944502501428,10072018,FALSE,Adult,19,Gray+Cinnamon,
5I-AM-1010-02,"{'type': 'Point', 'coordinates': [-73.9709244006956, 40.7676942639697]}",False,False,13,,False,-73.9709244006956,False,False,Ground Plane,40.7676942639697,10102018,FALSE,Adult,19,Gray+,
4D-PM-1008-06,"{'type': 'Point', 'coordinates': [-73.9764839973068, 40.7691725326976]}",True,False,13,"Gray, White",True,-73.9764839973068,False,False,Ground Plane,40.7691725326976,10082018,FALSE,Adult,19,"Cinnamon+Gray, White",
