fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
ZKSE-2022323-9749,GA,,11234,1013,2022-03-23T23:58:00.000Z,5000.0,13.06,53.0,5,48000,15000,12.05
UXIJ-2022111-730,PA,,11378,1996,2022-01-11T04:59:00.000Z,,13.06,53.0,4,53080,19480,38.06
YZPG-20211118-33711,IN,,11228,2015,2021-11-18T05:30:00.000Z,,12.06,40.0,4,44000,21000,28.0
NAWQ-2022531-19215,NJ,,10017,2009,2022-05-31T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
O4MA-202238-7553,NY,,10022,2010,2022-03-08T02:59:00.000Z,13500.0,13.06,48.0,5,63500,12500,4.06
C2DA-202263-19811,NY,,10002,2022,2022-06-03T04:59:00.000Z,15000.0,13.06,48.0,5,62702,12589,4.03
XKIQ-2022721-26400,PA,,11367,2020,2022-07-21T02:59:00.000Z,2460.0,13.06,45.0,5,27260,3300,4.06
H6FV-2023324-12772,NJ,,10017,2020,2023-03-24T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
LWWR-202237-7377,PA,,10312,2021,2022-03-07T05:29:00.000Z,,13.06,53.0,4,54000,18000,38.1
RIZI-2021105-28241,QC,,11111,2020,2021-10-05T16:00:00.000Z,7666.0,13.06,53.0,7,60000,7670,4.06
EI7K-2022316-8666,GA,,10024,2018,2022-03-16T05:30:00.000Z,5500.0,13.06,60.0,5,49500,21000,36.0
X2AU-2023531-20888,NJ,,22222,1992,2023-05-31T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
HQLX-202337-10027,NJ,,22222,2000,2023-03-07T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
MGS3-2022926-35219,ME,,10003,2008,2022-09-26T02:59:00.000Z,13000.0,13.06,53.0,5,49000,5000,4.04
XHZB-2023724-25259,NJ,,11430,1994,2023-07-24T05:30:00.000Z,16500.0,13.0,53.0,5,78000,16500,4.06
FHV1-2022113-1049,ME,,22222,2003,2022-01-13T05:30:00.000Z,19500.0,13.06,53.0,5,90000,19500,4.03
HVOB-202221-3053,NJ,,10017,2009,2022-02-01T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
YSAB-20231213-37286,NJ,,10017,2002,2023-12-13T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
YY6Z-2023124-3090,ME,,10455,2019,2023-01-24T05:30:00.000Z,17200.0,13.06,48.0,6,99000,17200,4.06
NZSX-202339-10499,,,22222,2018,2023-03-09T07:00:00.000Z,26400.0,12.08,,6,158400,26400,9.04
MEGH-2021114-32026,NY,,11101,2002,2021-11-04T04:59:00.000Z,17466.0,13.06,42.0,5,67686,12244,4.06
YAXC-2021818-22342,PA,,11101,2019,2021-08-18T04:59:00.000Z,,13.06,43.0,4,28800,9000,32.0
QUGY-202333-9624,NY,,11111,2019,2023-03-03T03:59:00.000Z,,13.06,35.0,4,54500,7750,4.06
X1PC-2021108-28622,PA,,10003,2019,2021-10-08T04:59:00.000Z,9477.0,13.06,40.0,5,44598,10477,30.1
B38M-20221114-42226,NJ,,10017,2004,2022-11-14T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
AVP6-2022628-23445,GA,,10036,2014,2022-06-28T23:58:00.000Z,5000.0,13.06,53.0,5,48000,15000,12.05
GKM3-2023105-31262,NY,,22222,2004,2023-10-05T07:00:00.000Z,21000.0,12.01,41.0,6,118000,22000,4.06
APZY-2023310-10541,NJ,,10017,1994,2023-03-10T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
QPLI-202316-590,NJ,,22222,2016,2023-01-06T05:30:00.000Z,8400.0,13.06,54.0,6,61000,8400,4.06
D82U-2022322-9388,IL,,0,2020,2022-03-22T05:30:00.000Z,7000.0,13.06,48.0,5,42000,8000,4.06
FES4-2023217-7705,ME,,11111,2000,2023-02-17T05:30:00.000Z,5000.0,13.06,53.0,6,41000,11000,4.04
GCS5-20221223-47693,ME,,10455,2022,2022-12-23T05:30:00.000Z,17200.0,13.06,57.0,6,99000,17200,4.06
WD7C-2022920-34570,NJ,,22222,2017,2022-09-20T05:30:00.000Z,6800.0,12.01,53.0,6,46000,6800,4.06
MA4M-2022512-17169,PA,,11101,2016,2022-05-12T05:30:00.000Z,5025.0,12.0,48.0,5,31100,5025,4.06
CPJK-20221017-38382,NJ,,22222,1987,2022-10-17T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
DRVU-20211022-30456,ME,,22222,2008,2021-10-22T05:30:00.000Z,21000.0,13.06,53.0,7,140000,20000,4.06
X876-2022114-1213,PA,,11101,2011,2022-01-14T04:59:00.000Z,10000.0,13.06,53.0,5,45000,10000,5.0
SJ19-2023227-8746,ME,,11111,2022,2023-02-27T05:30:00.000Z,9600.0,13.06,40.0,6,60000,9600,4.06
M631-2023328-13197,PA,,10019,2019,2023-03-28T03:59:00.000Z,7000.0,13.06,45.0,5,47000,13000,28.04
RY1T-20211124-34289,,,22222,2014,2021-11-24T07:00:00.000Z,26400.0,12.08,,6,158400,26400,10.02
HR12-2021118-32500,PA,,10016,2016,2021-11-08T03:59:00.000Z,,12.06,35.0,4,33000,10500,35.0
PSDO-202224-3548,NJ,,22222,2015,2022-02-04T05:30:00.000Z,7200.0,13.06,50.0,6,50000,7200,4.06
JB1Y-2023223-8247,GA,,10011,2015,2023-02-23T03:59:00.000Z,,13.06,50.0,4,45000,10000,25.0
TQDR-20221228-47875,PA,,22222,2020,2022-12-28T05:30:00.000Z,13000.0,13.06,48.0,6,79000,14000,4.06
VEK7-2023330-13552,PA,,10014,2015,2023-03-30T03:59:00.000Z,13000.0,13.06,53.0,5,49000,5000,4.04
UDPD-2021730-20119,IN,,22222,2018,2021-07-30T16:00:00.000Z,,12.06,40.0,4,44000,21000,28.0
XABE-2023221-7926,ME,,22222,2018,2023-02-21T05:30:00.000Z,16750.0,13.06,48.0,5,79000,16750,4.06
TIQA-202183-20424,ME,,11111,2020,2021-08-03T05:30:00.000Z,7000.0,12.0,48.0,5,40000,7000,4.06
EQMW-2023612-21875,NE,,10017,2011,2023-06-12T05:30:00.000Z,6200.0,12.0,48.0,5,36200,5900,4.06
