address,streetname,schooldist,factype,datasource,bin,geometry
720 LIVONIA AVENUE,LIVONIA AVENUE,19.0,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,dycd_service_sites,3085153,POINT(1014572.8285417557 181575.09195041656)
,,31.0,PORT OR MARINE TERMINAL,usdot_ports,0,POINT(922037.5984477997 141844.55090904236)
3035 WEST 24 STREET,WEST 24 STREET,21.0,DIAGNOSTIC AND TREATMENT CENTER,nysdoh_healthfacilities,3189635,POINT(987050.9415006638 147774.91460704803)
6093 STRICKLAND AVENUE,STRICKLAND AVENUE,22.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3343226,POINT(1008018.925702095 161373.44494009018)
30 NATICK STREET,NATICK STREET,31.0,ADULT LITERACY - ENGLISH FOR SPEAKERS OF OTHER LANGUAGES,moeo_socialservicesitelocations,5059927,POINT(947324.19784832 147281.96932935715)
RICHMOND TERRACE,RICHMOND TERRACE,31.0,RAIL LINE,dcp_colp,0,POINT(960641.0863828659 175638.04159736633)
67-01 110 STREET,110 STREET,28.0,HIGH SCHOOL - PUBLIC,doe_lcgms,4052143,POINT(1027275.2842798233 205196.88937997818)
42-09 28TH STREET CN#48,,30.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,0,POINT(1001115.5077900887 212407.5168018341)
,,12.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,0,POINT(1015597.1398854256 247913.62085056305)
76-16 PARSONS BOULEVARD,PARSONS BOULEVARD,25.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,4147454,POINT(1036599.5818257332 203329.0474395752)
1109 FIFTH AVENUE,FIFTH AVENUE,2.0,MUSEUM,dcla_culturalinstitutions,1047052,POINT(996105.8893089294 225427.07173204422)
261 EAST 21 STREET,EAST 21 STREET,22.0,FOOD PANTRY,foodbankny_foodbanks,3117184,POINT(995603.0132308006 175393.44730710983)
650 ACADEMY STREET,ACADEMY STREET,6.0,SCHOOL BASED HOSPITAL EXTENSION CLINIC,nysdoh_healthfacilities,1076776,POINT(1004962.6661844254 254662.3076171875)
135 BENNETT AVENUE,BENNETT AVENUE,6.0,CAMP - ALL AGE,dohmh_daycare,1075611,POINT(1002475.7052598 250612.2439136505)
3535 STEINWAY ST,,30.0,TOW TRUCK COMPANY,dca_operatingbusinesses,4010879,POINT(1005699.1009116173 214029.13511037827)
1501 PITKIN AVENUE,PITKIN AVENUE,23.0,K-8 SCHOOL - CHARTER,doe_lcgms,3080697,POINT(1007038.6137285233 182999.59853935242)
