school_name,latitude,grade9swdapplicantsperseat10,grade9swdapplicantsperseat4,admissionspriority15,requirement1_6,admissionspriority32,seats9swd7,requirement3_5,grade9swdapplicantsperseat3,grade9gefilledflag1,pct_stu_enough_variety,requirement2_4,grade9geapplicants7,program3,bus,census_tract,grade9swdapplicantsperseat1,offer_rate7,requirement8_2,seats9ge7,attendance_rate,applicants3specialized,grade9swdapplicantsperseat9,common_audition3,grade9swdfilledflag10,common_audition1,eligibility5,requirement6_7,code8,girls,common_audition7,seats107,grade9geapplicants3,common_audition5,admissionspriority41,auditioninformation6,requirement6_3,method7,admissionspriority16,zip,eligibility1,location,grade9geapplicantsperseat5,state_code,auditioninformation3,finalgrades,method10,requirement4_7,auditioninformation5,offer_rate4,grade9gefilledflag4,seats9swd2,overview_paragraph,requirement7_3,offer_rate9,method6
Unity Center for Urban Technologies,,,,,,,,,,N,0.53,,,,"BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",72.0,8.0,,,,0.83,,,,,,,,,,,,,,,,,,,10016,,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",,NY,,9 to 12,,,,,,,"We take pride in our nurturing environment where all students can reach their fullest potential. We stress student-teacher connection to provide guidance and support to all of our students. Our young people develop and enhance their skills at their own pace. Students are engaged in a challenging Common Core Learning Standards-aligned academic program that prepares them for higher education programs and achieving their career goals. We examine all assessment data in order to develop alternative academic programs to strengthen student performance. We utilize differentiated instruction and technology to deliver a diversified curriculum, as well as to offer enrichment programs that promote creativity and student engagement.",,,
High School for Contemporary Arts,40.875172,,,,,Then to Bronx students or residents,,,,N,0.46,,,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",372.0,6.0,,,,0.83,,,,,,,,,,,,,,,,,,,10467,,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",,NY,,9 to 12,,,,,,11,"We are a collaborative learning community that combines a challenging curriculum consisting of humanities, science, and math with an intensive arts training program. We use state-of-the-art media technology. The Arts studios bring together study in the traditional arts (dance, theater, fine arts, and music) with contemporary arts (film, video/sound production, multimedia graphic design, and animation). Through our partnerships our students gain special residencies both within and outside the school. Our students have the opportunity to participate in special programs, performances, exhibitions, mentorships, and internships. The entire school is actively involved in the process of building a democratic, self-governing community.",,,
Bard High School Early College Queens,40.744175,,,,,,,,,Y,0.95,,,,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69, X63, X64, X68",179.0,10.0,,,,0.97,,,,,,,,,,,,,,,,,,,11101,,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",,NY,,9 to 12,,,,,,,"Bard High School Early College Queens (BHSEC Queens) was founded on the belief that many students are ready to do serious college work at age 16. Bard College, in partnership with the New York City Department of Education, has created an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college. During this time, students will earn a high school diploma, up to 60 college credits, and an Associate of Arts (AA) degree upon graduation. We have a very welcoming environment for all students with over 30 different home languages, a gender neutral bathroom, and a variety of clubs to celebrate the strength and unity of our differences.",,,
"Urban Assembly School of Design and Construction, The",,,,,,,,,,N,0.66,,,,"M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42",135.0,3.0,,,,0.82,,,,,,,,,,,,,,,,,,,10019,,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",,NY,,9 to 12,,,,,,,"The Urban Assembly School of Design and Construction (SDC) prepares students for college and beyond through a challenging academic program with an emphasis on architecture, engineering, and design. Students take a biweekly design seminar and visit architectural sites throughout New York City. SDC is committed to involving students and families along the path to college through a challenging academic program, frequent communication, college advisory, and extracurricular activities. These elements, in addition to our design program, create a supportive and challenging educational environment.",,,
Nelson Mandela High School,40.678478,,,,,,,,,N,0.57,,,,"B15, B25, B26, B43, B45, B46, B46-SBS, B47, B65",271.0,4.0,,,,0.8,,,,,,,,,,,,,,,,,,,11213,,"1700 Fulton Street, Brooklyn NY 11213(40.678478, -73.931604)",,NY,,9 to 12,,,,,,,"The mission of the Nelson Mandela School for Social Justice is to create life-long, socially conscious leaders who use education as a powerful tool to change the world. All work within our community is guided by our core values: service, perseverance, leadership, respect, and reflection. We explore social justice themes through a challenging and engaging academic curriculum as students develop critical-thinking, analytic, and problem-solving skills. Service learning, collaborative projects, travel abroad, and internships will prepare our students for the demands of college and careers, and define their purpose and responsibility as global citizens.",,,
W.E.B. DuBois Academic High School,40.669561,,,,,,,,,N/A - transfer school,0.73,,,,"B43, B44, B44-SBS, B45, B48, B49, B65",323.0,2.0,,,,0.61,,,,,,,,,,,,,,,,,,,11225,For Current Eighth Grade Students: Open only to students who are at least 15 years of age and entering high school for the first time. For Other Students: Open only to students who are at least 16 years of age and have a ended another high school for at least one year.,"402 Eastern Parkway, Brooklyn NY 11225(40.669561, -73.955188)",,NY,,"School is structured on credit needs, not grade level",,,,,,,"At W.E.B. DuBois High School, students are educated in a small learning environment with a personalized structure to meet their academic and social needs. In addition to our experienced teaching staff, students are supported by our community-based partners who provide counseling, tutoring, and enrichment services. It is our mission to ensure that each and every student graduates from our school with a firm post-secondary plan and the knowledge and skills needed for college and career success.",,,
York Early College Academy,40.69691,,,,,,,,,Y,0.79,,,,"Q111, Q112, Q113, Q114, Q4, Q42, Q5, Q60, Q83, Q84, Q85, X64",258.0,9.0,,,,0.95,,,,,,,,,,,,,,,,,,,11433,,"108-35 167th Street, Jamaica NY 11433(40.69691, -73.786403)",,NY,,6 to 12,,,,,,,"The mission of York Early College Academy is to develop the skills needed for success in college and careers. College preparation is continually communicated to our students. This goal is expressed by teachers, parents, and the surrounding, supportive community. In addition to a challenging and advanced academic curriculum, we are pleased to offer students the opportunity to graduate from our school with 40-60 college credits. Our students have the full support of York College, the Early College Initiative, and the Department of Education. York Early College Academy is an open road to college.",,,
Collegiate Institute for Math and Science (CIMS),40.860443,,,,,,,,,Y,0.75,,,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",324.0,12.0,,,,0.89,,,,,,,,,,,,,,Then to New York City residents,,,,,10469,,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",,NY,,9 to 12,,,,,,,"Our educational program is designed to focus on courses in mathematics and science. All students are expected to study four years of math and science. Our course offerings include Advanced Placements courses (AP) in Calculus, Statistics, Chemistry and Physics, Regents-level Physics and Chemistry, Pre-Calculus, Anatomy & Physiology, and Biology. Additionally, students can take courses in Honors English and AP courses in English Literature & Composition, Spanish Language, US Government, and US History. Next year, we are planning to offer additional AP courses in Biology and World History. Our goal is to provide the best academic programs and extracurricular opportunities to ensure that our students are college & career ready.",,,
International High School at Prospect Heights,40.669805,,,,,,,,,N,0.89,,,,"B16, B41, B43, B44-SBS, B45, B48, B49, B69",213.0,1.0,,,,0.89,,,,,,,,,,,,,,,,,,,11225,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R","883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",,NY,,9 to 12,,,,,,,"We are a small school where teachers and other staff work in teams to help new immigrant students learn English and prepare for college and life after high school. We think highly of what our students bring to our school, especially their native language and culture. We help students learn what they need to learn-academically, socially and emotionally--no matter where they begin.",,,
Beacon High School,40.760858,,,,,,,,,Y,0.95,,,,"M104, M11, M12, M20, M34A-SBS, M34-SBS, M42, M50, X17J, X21, X22, X22A, X30, X31",129.0,10.0,,,,0.96,,,,,,,,,,,,,,,,,,,10036,,"522 West 44th Street, New York NY 10036(40.760858, -73.996262)",,NY,,9 to 12,,,,,,,"Beacon High School offers an inquiry-based program with technology and arts infused throughout the curriculum. We emphasize a challenging, well-rounded liberal arts education based on the principle of shared exploration and problem-solving. In assessments for graduation, students present performance-based projects to panels of teachers. Beacon offers extensive opportunities to participate in clubs, sports, community service, and international travel.",,,
Kurt Hahn Expeditionary Learning School,40.647728,,,,,,,,,N,0.8,,,,"B17, B35, B46, B46-SBS, B47, B7, B8",936.0,5.0,,,,0.9,,,,,,,,,,,,,,,,,,,11203,,"5800 Tilden Avenue, Brooklyn NY 11203(40.647728, -73.922212)",,NY,,9 to 12,,,,,,,"The Kurt Hahn Expeditionary Learning School is a 9-12 school working in partnership with New York City Outward Bound and Expeditionary Learning Schools to arm students with the knowledge, skills, and character necessary to serve as informed, thoughtful, and courageous civic leaders in their own communities and beyond. Students at the Kurt Hahn School will enroll in a challenging standards based curriculum that readies them for successful graduation from four-year colleges. The Kurt Hahn School emphasizes the interdisciplinary, in-depth study of compelling topics which develop students' abilities to creatively solve problems and think critically.",,,
High School of Hospitality Management,,,,,,,,,,N,0.73,,,,"M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42",135.0,8.0,,,,0.84,,,,,,,,,,,,,,,,,,,10019,,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",,NY,,9 to 12,,,,,,,"The High School of Hospitality Management (HSHM) is a New York City public high school established in 2004. HSHM is located in the heart of the resurgent Clinton area of Manhattan, where there is the highest concentration of hotel and hospitality establishments in New York City. We provide traditional academic courses as well as career and technical courses. The curriculum enables students to develop problem-solving skills that prepare them for post-secondary education, as well as exciting careers in hospitality management and the culinary arts. Our professional staff, parents, and students are equal stakeholders in the creation of an invigorating and supportive learning environment.",,,
Bronx Envision Academy,40.836245,,,,,,,,,N,0.68,,,,"Bx11, Bx17, Bx19, Bx21, Bx36",155.0,6.0,,,,0.83,,,,,,,,,,,,,,Then to New York City residents,,,,,10460,,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",,NY,,9 to 12,,,,,,,"Bronx Envision Academy (BEA) empowers students by emphasizing artistic and academic achievement. At BEA, the learning process in all academic disciplines mirrors the artistic process and we believe students learn best by doing-imagination is the key to success. We promote student success in partnership with teaching artists, arts organizations, and local businesses. Through our partnership with the College Bound Initiative, our students research colleges and tour colleges beginning in ninth grade. Dedicated to providing students with the resources necessary for their success, BEA enables students to master challenging coursework to graduate as creative and analytical thinkers ready for college and beyond.",,,
Bronx School of Law and Finance,40.877379,,,,,,,,,N,0.56,,,,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100, S54, S57, S61, S91, X10, X10B, X11, X17, X17A, X19, X31",309.0,4.0,,,,0.82,,,,,,,,,,,,,,Then to New York City residents,,,,,10463,,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",,NY,,9 to 12,,,,,,,"The mission of our school is to provide students with the necessary skills to pursue employment and/or higher education through the introduction to careers in law and finance. Students are exposed to the world of finance and law through internships, mentoring, and fieldwork. Our curriculum is enriched under the leadership of our lead partner, the Barnard/Columbia Education program.",,,
Institute for Health Professions at Cambria Heights,40.69878,,,,,,,,,N,0.81,,,,"Q27, Q4, Q77, Q83, Q84, X64",53401.0,2.0,,,,0.89,,,,,,,,,,,,,,Then to New York City residents,,,,,11411,,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",,NY,,9 to 12,,,,,,,"The Institute for Health Professions at Cambria Heights is a New York Performance Standards Consortium school that prepares students for college and career through a challenging and rich curriculum. The school meets individual learning needs by tapping into our students' passions. Students take their learning beyond the classroom by collaboratively solving problems and completing labs based on the realities of emergency medicine and hospital care. Students will participate in training exercises at Northwell Health's Center for Learning and Innovation, complete rotations on an ambulance or in a long-term care facility, and earn CTE certification in either Emergency Medical Services or Nurse Assisting.",,,
Manhattan Center for Science and Mathematics,40.794184,,,,,Then to New York City residents,,,,Y,0.85,,,,"BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M106, M116, M15, M15-SBS, M35, M98",178.0,5.0,,,,0.94,,,,,,,,,,,,,,,,,,,10029,,"260 Pleasant Avenue, Manhattan NY 10029(40.794184, -73.932868)",,NY,,9 to 12,,,,,,6,"We are a college preparatory high school. Course offerings and high standards enable students to succeed after graduation at the nation's most selective colleges. Our teachers provide each student with personalized attention and guidance. We provide four years of science and math with extensive liberal arts. Every freshman will take a year-long writing intensive small class-size English course to prepare them for college. Most students take Advanced Placement (AP) courses. Many of our students take college courses though Columbia University DDC and CUNY College Now program. Our students participate in scientific research with university mentors, some resulting in publication. A new SAT/ACT initiative helps students' competitive standings.",,,
Inwood Early College for Health and Information Technologies,40.865556,,,,,,,,,Y,0.72,,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4",291.0,15.0,,,,0.93,,,,,,,,,,,,,,Then to New York City residents,,,,,10034,,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",,NY,,9 to 13 - This school is expanding to serve grades 9 to 14,,,,,,,"IEC is a career and technical education school partnered with Microsoft, NY Presbyterian Hospital, and Guttman Community College. Through project-based learning, students earn a CTE high school diploma with technical certifications, an Associate's Degree at no cost, and work-based experience preparing them for technology related careers. Our students are future engineers, game and device designers, finance and business leaders, medical professionals, artists, and entrepreneurs. Students have up to six years to earn either their associate's degree in information technology or in business management before deciding to move directly into the job market or continue their education through the Bachelor's Degree level and beyond.",,,
Eagle Academy for Young Men of Harlem,40.817228,,,,,,,,,N,0.93,,,,"Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7",22102.0,5.0,,,,0.9,,,,,,,,,,,,,,Then to Manhattan students or residents,,,,,10030,Open only to male students,"6 Edgecombe Avenue, Manhattan NY 10030(40.817228, -73.947151)",,NY,,6 to 11 - This school is expanding to serve grades 6 to 12.,,,,,,,"Eagle Academy Harlem is a 6 through 12 college preparatory school that develops young men to be critical thinkers and active citizens who embody excellence in both character and scholarship. We prepare our young men for life after high school. Our young men give back to their communities through service opportunities and social justice experiences. We believe that young men are best developed when being supported through uniting the work of dedicated educators, supportive parents, and actively engaged mentors. We are focused and committed to the school's guiding principles of Academic Excellence, Mentoring, Leadership, Integrity, Character Development, and Community Service.",,,
"Felisa Rincon de Gautier Institute for Law and Public Policy, The",40.820486,,,,,,,,,N,0.15,,,,"Bx5, Bx6",28.0,4.0,,,,0.81,,,,,,,,,,,,,,,,,,,10473,,"1440 Story Avenue, Bronx NY 10473(40.820486, -73.881187)",,NY,,9 to 12,,,,,,23,"The Felisa Rincon de Gautier Institute for Law and Public Policy helps students explore careers in the legal and political fields while strengthening their reading, writing, and public speaking skills. Our academic program encourages depth of study and creates a learning environment committed to community and character development. We have a real-world and culturally relevant curriculum that sponsors collaborative partnerships for learning. Students have the opportunity to become involved in college level classes, mentoring, community service projects, and internships.",,,
