mandt,vbeln,rfstk,rfgsk,bestk,lfstk,lfgsk,wbstk,fkstk,fksak,buchk,abstk,gbstk,kostk,lvstk,uvals,uvvls,uvfas,uvall,uvvlk,uvfak,uvprs,vbtyp,vbobj,aedat,fkivk,relik,uvk01,uvk02,uvk03,uvk04,uvk05,uvs01,uvs02,uvs03,uvs04,uvs05,pkstk,cmpsa,cmpsb,cmpsc,cmpsd,cmpse,cmpsf,cmpsg,cmpsh,cmpsi,cmpsj,cmpsk,cmpsl,cmps0,cmps1,cmps2,cmgst,trsta,koquk,costa,saprl,uvpas,uvpis,uvwas,uvpak,uvpik,uvwak,uvgek,cmpsm,dcstk,vestk,vlstk,rrsta,block,fsstk,lsstk,spstg,pdstk,fmstk,manek,spe_tmpid,hdall,hdals,cmps_cm,cmps_te,vbtyp_ext,fsh_ar_stat_hdr,hvr_is_deleted,hvr_change_time
145,VB0055,r5,G86,B9,L5,G96,W18,f4,S2905,BK1371,a65,g89,k8,L21,VaLS6,VV23,VFa62,VALl3,vVLk17,vFAk21,VPRS1858,v30,OBJ14,2025-01-12,FIk37,REL22,K015,K410,k005,K26,K183,S588,s018,S081,s068,s077,pK31,M5,B1,O421,D6,E387,F7,G9,H875,I8,J6,K61,L1,cm0,Cm33,cm26,gST74,tR23,Kq84,Co65,REL6934,PAs2,PIS0,Was1,PAK17,Pik20,wAk2,Gek11,CmM33,DC2324,VE18,Vl3,RR156,BlOcK2,FS11,lS59,sp18,pD4,fM51,MAN1142,tMPId25,hDALl20,hDALs1,CMcm2,CMTE16,Vx20,StaT28,-10,2025-06-01 12:01:36
176,VB0041,R46,G32,b33,L3,g7,W19,f90,s96,bK9,a74,g56,K2680,l0,VALs05,Vv2,VFa36,VALl7,vVlK11,VfAk2,VpRs24,v09,OBj1,2025-01-07,FIk60,ReL76,K181,K97,k097,K045,k011,s71,S028,s05,s07,s111,Pk3,A3,B86,O783,P8,E4,F4,G2,H0,U778,J9,W2,X6,CM80,cM0,cM43,GST1683,TR5,Kq12,CO11,Rel64,pAs1,pIs1,WaS97,PAK29,Pik17,WAK2992,gEk12,cMm10,DC09,ve2,vL64,RR1532,BLocK16,Fs8,lS80,sP9,Pd84,FM42,mAN6,TmPiD11,HDalL25,hdALS27,CmCM82,cmTE2,VX22,StAt2,4,2025-06-01 12:01:30
140,VB0057,r3,G13,B24,l6,g49,W27,F50,S36,BK18,a47,g1,K51,l08,VALs04,vV53,VFa6,vALl1,vVLk27,VFAK66,vpRS22,v42,ObJ45,2025-01-01,FIK76,reL1,K06640,K670,k048,k749,k001,S98,S12,s186,S091,s151,Pk23,A8,N0,C4,P3,E8,R9,G2,H86,I8,J0,K7,L9,CM33,CM19,CM2533,gST51,tr1,kq27,CO1289,rEl62,pAS99,piS26,WAs3,paK17,PiK6,wAk2,GEK35,cMM44,DC1458,vE14,VL16,RR76,bLoCK14,fS6,LS03,sp16,PD96,FM23,mAn22,TMPID26,HdALL54,HdALS32,CMcM60,CMTE11,vX5,stAT1,2,2025-06-01 12:00:34
195,VB0002,r33,g33,B2787,l2,G5,W11,f42,S4,BK2988,a81,g72,k3,L31,VALS6,Vv9,VFA4,VAll22,vVLk1,vfAK1,vPRs13,v94,OBj95,2025-01-08,fiK17,ReL02,K934,k07,k73,K153,K10456,S714,S167,S725,s002,s20,PK24,M250,N354,O113,P4,E9,F9,G9,H3,I2,J1,K3,L733,cM91,cM58,cM85,GST66,TR2822,kQ07,CO2133,rEl75,PAS1202,PIS2806,WAS19,PAK30,PIk4,WAk71,GEK7,cMM2,dC59,ve16,VL2978,RR19,BLoCk22,fs12,LS13,sP66,PD17,FM1473,maN2,TmPId19,hDAlL2,HDaLs21,cMCm2,CMTE20,vX35,sTAT70,-10,2025-06-01 12:01:35
160,VB0024,r6,g36,b3,L45,g5,W46,F16,S3,bk29,A1142,g56,K91,l42,vAlS29,VV1707,VFA125,ValL10,VvLk2,VFAK18,VPRS24,V14,OBJ26,2025-01-14,FIK05,reL2,k511,k05,K033,K09127,K192,s766,S076,s064,s039,S052,Pk30,M359,B863,O628,P6,Q5,F5,S179,T479,U8,V533,W5,L6,Cm5,cm45,CM12,GsT60,tr1,Kq49,co27,rEl6,PAs8,PiS8,wAS0,PaK34,pIk23,wAk13,GEk77,cMm1,DC18,vE8,vl11,Rr0,BLOcK05,Fs50,LS43,SP2539,PD2823,FM20,maN26,tMPID34,HDALL1992,hdALS16,CMcm21,CmtE1,vX62,STAt83,11,2025-06-01 12:01:43
116,VB0020,r53,g95,B18,l89,g03,w1,f61,s40,BK1442,a8,g60,k8,l26,VALS14,VV1244,VFa77,vaLL20,vVLk17,VfAK8,VPRS11,V31,OBJ23,2025-01-21,FIK185,Rel11,k416,K073,k091,k009,k083,S45,S92,s382,S363,S17,pk13,M9,N0,O785,P2,Q1,R677,S1,T6,I369,V7,K0,X8,cM52,Cm44,cm25,GST5,Tr43,kQ33,Co61,rEl7,PAS2696,piS26,WAS17,PAK19,pIk12,WAK19,GEk15,Cmm20,DC3,VE1720,VL2844,Rr50,BlOCK63,fs11,ls24,SP18,PD15,fm10,mAn2,TmPID0,HDALL1503,HdaLS2,cMCM5,cmTE15,vX44,StAT51,8,2025-06-01 12:01:03
151,VB0023,r3,G25,B89,l88,g4,w8,f60,S15,bk2,a89,G21,K20,L83,vaLS1,VV1563,vFA0,VaLL44,VVLK7,VFAK10,vpRS15,V15,Obj20,2025-01-29,fIK74,REL61,K011,k876,K75,k08,k02,s51,s001,S03317,S072,S055,pk10,M5,N779,C9,D864,E619,R3,G6,T785,U7,J527,W7,L8,Cm08,CM20,Cm8,gsT2,tR36,KQ26,CO2439,Rel6,pAs15,PIS13,WAS29,PAk4,PIK10,Wak1,GeK35,cMm20,dC39,Ve80,vL83,rr22,BLOck29,fs24,ls23,Sp41,pd24,fm11,MAn87,TmPID4,hDaLL16,HDaLS8,CMCM20,CmtE2,Vx3,StAT9,-10,2025-06-01 12:01:41
91,VB0063,R29,G21,b34,L8,G37,W1565,F18,s68,bK57,A23,g32,K18,l4,VALS19,vv13,VFa54,vALL98,VVlk20,VFaK51,VPRS14,v33,OBJ18,2025-01-12,Fik17,REL03,k091,k822,K030,k077,K099,s11,s47,s01,s746,S10366,PK22,A2,N6,O478,D2,Q5,R671,S432,H5,U6,V1,K9,L269,CM34,cm40,CM23,gST8,tR3,KQ54,CO23,REL60,Pas14,PiS9,WAs44,PAK42,PiK9,wAK05,GeK11,Cmm16,dC98,VE11,VL1968,Rr3,bLoCK1,fS60,ls20,Sp55,PD57,fm16,maN17,TmPID92,HDALL17,HDAls1,cMCM6,CMTe82,Vx30,StAt1,-9,2025-06-01 12:00:17
186,VB0008,r94,g11,b01,L1453,g59,W8,F1980,S6,bk13,A1409,G0,k00,L41,VALS1511,vV30,VFa80,VALL28,VVLK18,VFak28,VPRS18,v62,oBj11,2025-01-21,fiK1,Rel25,K013,K22,k835,K455,k555,S050,s72,s835,s083,S10573,PK20,A72,N7,O12,D86,E4,R525,S6,T233,U3,V2,K8,L870,cm38,CM4663,cm2,gST78,TR1188,Kq7,cO78,ReL87,PAS1619,PIS10,Was1,PaK94,piK13,wAk17,GEK30,cMm21,Dc80,ve2,vl20,rR3,BLOCK10,FS19,ls1,SP2120,PD88,FM29,MAn80,tMPId2,HDALl39,hDAlS2,cMCm25,CMte29,Vx94,STat13,5,2025-06-01 12:01:18
133,VB0080,r9,G19,b00,l04,g29,W1397,f8,S13,BK15,A27,G14,k62,l79,VALS23,Vv84,VFa14,VALl95,VVLK73,VFAK20,vPrS2,V69,obJ18,2025-01-30,fIK8,rEl12,K02,K81,K28,K091,k07,s083,S02113,s181,S052,S103,PK28,M9,N6,O7,D0,Q882,F1,G645,T6,I9,J2,K9,L9,cm0,CM16,cM66,GSt7,tR42,KQ20,co20,rEl65,PAS26,PiS41,WAS29,pAK64,Pik28,Wak29,GeK19,cmM1,Dc61,vE32,VL25,Rr20,BLoCK92,FS24,Ls50,Sp38,pD96,FM22,MaN36,TMPID1953,hDAlL18,hDALs2,CmCM20,CMTE1798,VX5,STAT2767,9,2025-06-01 12:01:34
201,VB0017,R2660,G29,B15,l3,G85,w54,f98,S10,BK19,A18,g53,K14,L3258,vALs1,Vv9,vFA12,ValL24,VVLk1,VfAK50,VPRS71,v31,obJ1,2025-01-29,Fik1,REL19,K865,K45,K134,K633,k352,S04,s013,S908,S034,s045,Pk6,M9,B21,C5,D2,Q5,R3,S5,H5,U539,V1,W5,X6,Cm59,CM47,cM96,GST18,tr16,kQ17,Co74,REL7436,PAS10,pIs10,wAS0,PAk30,piK13,WaK09,GEK2882,CMM40,dc27,VE7,VL14,rR87,bLOCK68,FS1964,ls1,SP22,pD5,fM45,MAN38,TMpiD24,HDALL16,HDALs85,cMCM1,CMTE21,vx27,STAt61,5,2025-06-01 12:00:26
181,VB0028,r83,G2478,b96,l4,g19,w36,f4,S25,BK3,A23,g86,K91,l61,ValS2,vv23,VFa83,VAlL95,vvLK24,VFAk04,vPRs28,V29,oBj17,2025-01-01,FiK89,REL1183,K183,k129,K416,k064,K10616,S016,S872,S983,s447,S095,pk27,M2,N299,O1,D7,E807,R919,S0,H0,I506,J2,K117,L8,cM1,Cm9,cm25,gST45,tr16,kq15,Co87,REL6558,PAS14,PiS6,wAS3,pAK54,PIk80,WaK03,GEk31,Cmm2,dc26,vE44,Vl93,rR78,BLOcK9,fs26,Ls34,SP2721,pD11,fM68,mAN47,tMPiD16,HDaLl2,HDAls19,CMcM80,CMtE0,VX9,StAT25,-9,2025-06-01 12:00:18
137,VB0082,r08,g5,b01,L70,g4,w89,F19,s46,bk28,A3,g58,K41,l75,vAlS1,Vv97,VfA21,VALL12,vVlK23,vFaK2,VpRs13,v7,OBJ00,2025-01-12,FIk6,REL12,k166,K09,k077,k06,k808,S746,s123,S034,S53,s30,pK17,A82,B5,C709,D6,E329,F9,G381,H5,U2,V6,W5,X4,cM27,cm13,cm29,GST28,tR9,kq19,CO26,REl4,PAS49,piS2,wAs15,PaK1,PIK6,WAk27,gEK99,cMm1,DC7,VE16,vL7,Rr36,bLOCk1,FS70,ls15,SP47,Pd19,FM11,MAN23,tmPID12,HDALl5,hDALs2,CMcm23,CMTE2325,Vx74,StAt27,5,2025-06-01 12:01:06
157,VB0059,R40,G23,B4,L8,g34,w21,F11,s31,BK11,A4,G2392,k9,L63,vAlS27,vV51,VFa55,vALL0,VVLK25,VFAK27,vPrS2,V46,Obj2,2025-01-16,fIK34,rEL76,K565,K075,k38,K718,k192,s09,S646,s334,S989,S055,PK16,M7,N817,O112,P4,Q4,F452,S0,T4,I8,J0,K9,L1,CM34,Cm02,Cm90,GSt12,tR3,KQ28,CO2143,reL64,paS24,piS14,WAS28,paK26,PIK18,WaK01,gEK8,cMm13,dC19,vE21,vl17,RR59,BLOCk34,fs28,lS42,sp15,pd17,Fm7,MAN27,tmPID15,HdAlL21,hDALs11,CmCm2,CMTE10,vx2,StAT05,-3,2025-06-01 12:00:10
91,VB0113,r28,g4,B2563,L1610,G80,W77,f34,s01,BK22,a51,g6,k20,L2369,vALs1,VV6,vFA58,VAll17,vVlK15,VfAk2,vPrS16,V28,OBJ9,2025-01-29,fiK24,rEL88,k76,K07673,k051,k646,k956,s085,s079,S039,S84,s700,Pk92,M3,N7,C95,D1,E6,F8,S4,T2,U6,V1,W9,L349,CM33,cm41,Cm1,gsT23,Tr54,KQ17,Co19,ReL2,PAS7,PiS6,WAS1672,pAk29,piK28,WaK8,gEK0,CMm7,DC13,ve1,vL39,rr2,BlOcK24,fS28,Ls01,SP0,pd22,FM19,MAn45,TmPID56,HDALL18,hDALs20,cMCm23,cMTE3,vx27,StAT8,-3,2025-06-01 12:01:32
193,VB0114,R14,g47,B27,l3,G26,W19,f16,S20,bk1,A23,g98,k76,L64,vALs11,vv1,VFa4,VALl44,vVLK04,VFAK10,VPRS10,v6,OBj65,2025-01-23,fIk18,reL18,K732,k822,k063,K89,K92,s719,S348,S334,S047,S119,PK68,A802,B194,O123,P432,E2,F7,G3,T5,I2,V7,K810,X728,cm3,cm1,CM5223,GST18,tR51,kq27,Co6,REL72,PAS2676,pIS34,wAS54,PAK21,PIK2780,WaK64,GEk45,Cmm12,dc2,ve2,Vl4,RR99,bLOCk15,FS53,lS66,sp22,PD88,fM9,MaN63,tMPID63,hDaLL2,HDaLs2,CMcm10,cMTE15,Vx63,sTAt26,8,2025-06-01 12:01:01
193,VB0115,r73,g09,b81,L22,G9,W49,f56,S53,BK2931,A110,g8,k69,l05,VALS2714,VV257,VfA82,VaLl1,vVLK73,VFak22,vPrS13,V25,OBJ26,2025-01-31,fIk16,REl72,K730,k377,K264,K142,K12,s911,S198,s93,S25,s115,PK2466,M451,B390,C7,D695,Q7,F469,G2,H416,U9,V6,K5,X6,Cm67,Cm82,CM5994,GSt67,Tr1,KQ20,Co93,reL7,PAs05,piS11,Was29,PaK92,pIK7,WaK91,gEk11,cMM7,DC54,VE13,Vl87,Rr7,BLOck19,FS29,ls10,SP38,Pd69,fM51,mAN56,TMPID15,HDaLl22,HdaLS1,cMCm18,CMTE1719,VX8,sTaT17,-3,2025-06-01 12:01:04
108,VB0116,R21,G7,B1603,L1881,G29,w36,F2553,S17,BK11,a39,G27,k44,l8,ValS15,VV2858,VfA5,VAlL23,VvlK15,vFAk11,VprS23,V15,obJ1,2025-01-30,fiK1,reL2,k517,K251,K088,K092,K45,s460,S0232,S020,S238,s150,pK84,M892,B3,C1,P357,Q2,R9,S664,T438,U4,J6,W0,L491,cM94,Cm3,CM55,gST81,TR37,kq1,CO13,reL7,pAS67,PIS2516,Was13,PAK40,PIK19,WAK12,GeK1,cMM52,DC7,Ve84,Vl4,RR147,BloCK23,FS18,LS58,sP65,pD60,Fm76,MAN1102,tMPId2,HdALl16,HDAls2,CmCM98,CmtE25,VX3,STAT27,-1,2025-06-01 12:01:12
158,VB0117,r43,g72,B13,L62,G89,w45,f10,s07,bk21,A0,G3,K16,L8,vAlS21,vv2,VFA1247,ValL12,vvLK21,VfaK12,VprS20,V43,oBj11,2025-01-21,fIK61,REL23,k569,K004,k185,K659,K87,S125,s091,S033,s244,S627,PK03,M9,N867,O5,P7,E66,R4,G6,T789,I0,J961,K5,X2,CM77,cM90,CM52,gsT11,Tr29,kq20,cO0,reL64,pAs1,PIS6,WaS43,PaK52,Pik15,WAK04,geK10,cMm2,dC49,Ve6,vL07,RR1904,BLOck29,FS1942,LS08,sP61,Pd2,FM24,MAn6,tMPID53,HdALl14,HDAls2,CMcm1,CmtE1,Vx61,StaT25,10,2025-06-01 12:00:54
126,VB0118,R14,g95,B22,L1969,G38,w0,F1328,S46,bk29,A8,G1627,k5,L02,VALS16,vV3,vFA24,vALl28,VVLk38,VFAK10,VPRS18,v7,oBJ46,2025-01-17,FIK1775,rEl2,k16,K076,k076,K246,k950,s031,S46,S011,S049,S352,pK02,A0,B1,O9,D761,E6,F7,S786,T8,I2,J7,K6,X3,cm08,CM9,Cm61,gSt2,tR39,kQ64,CO17,rEL0,PaS69,PIS1552,Was15,Pak13,pIk2,waK2,gEk14,CMM29,DC52,VE0,vL77,rR1,BLocK2,FS7,LS23,sp10,Pd62,fM5,MAN14,TMpID6,HDALl36,hDAlS20,CMcm24,CmTE70,VX21,STat20,6,2025-06-01 12:01:11
206,VB0119,r64,G99,B23,L81,G66,w76,F57,s45,bK87,a43,g40,K7,L38,VAls28,vv1,vfA10,vALL60,VVLK45,VFak1,VprS15,v0,obJ10,2025-01-14,FIK10,REL1781,k00,K027,K942,K59,k854,S011,s175,S37,S893,S260,PK6,M9,N5,O2,D8,Q851,F575,S981,T7,U3,J1,K975,L190,cm02,CM27,cm21,gsT11,Tr79,KQ25,CO26,REl38,paS1,Pis1,WAS11,PAK18,Pik12,waK1,Gek2,cMM46,dc27,vE51,VL12,rR86,BLOCK16,fs15,lS65,Sp46,pd29,FM7,MAN11,tmPID29,HDalL1,HDALs26,CmcM27,CmtE2,Vx97,STAt63,4,2025-06-01 12:01:34
177,VB0120,R62,G2790,B27,L2903,G3765,W5,f73,s6,BK83,a63,G15,k19,l56,VAlS47,vv10,VFA1780,vAlL17,vVLk2,vFAk2,VPrS79,V22,ObJ42,2025-01-31,FIk49,rEL51,K065,k524,k02,k099,k208,S089,s06,S073,S09292,S164,pK6,A685,N623,O240,D6,E7,F965,S717,T8,I6,V907,K6,L0,cm34,cM98,cm53,GST26,tR30,KQ16,cO55,rEl73,PAs4,PIS14,wAS50,pAk18,PIk77,waK28,GEk3,cMm1,dC45,VE5,VL1842,RR28,BLoCk2,Fs50,lS66,SP20,pD71,FM12,MAn91,TMPiD07,HDAlL71,HDALs5,cmCM1,CMtE90,vx2,sTAT0,-5,2025-06-01 12:00:45
108,VB0121,R85,g60,B34,l35,G3653,W88,F20,s42,BK268,A17,g42,K16,L1,VALs97,Vv4,VFA17,vaLL2,VVlk28,vFaK19,VprS12,V12,oBj27,2025-01-17,FIk4,rEL0,K061,K358,k040,K642,K03,S868,S078,S083,s94,s900,PK152,A329,B8,O0,D39,Q0,R1,S0,H0,U3,V6,K8,X934,Cm15,CM93,cm20,gsT2,TR71,KQ2893,co15,REL79,pAS77,Pis14,waS18,PAK20,PIK1991,Wak22,GEK50,CMM5,DC2739,vE72,Vl67,rr27,BlOcK20,fS2,LS30,sp2,Pd40,fm2,MAN2301,TmPId14,HdALL31,hDALS27,cmCM14,cMtE21,vx1,sTAT47,4,2025-06-01 12:00:32
167,VB0122,r3,G91,b3,l6,G21,w55,F59,s86,bk1,A24,g60,k12,L1,ValS16,Vv00,VFa82,VAlL3,VVLK22,VFAK1635,VPRS247,V2354,OBJ4,2025-01-02,fiK21,rEl1,K852,k00,K784,k744,K045,S069,S075,S276,s073,S943,pk1,A0,B5,C8,D1,E357,R7,G385,H419,U1,J664,K3,L6,cM35,cM1,Cm8,GST2137,TR25,Kq73,Co68,rEL89,PaS54,PIs52,wAS82,pAk11,PIk7,wAK82,GEk91,cMM9,dc1,Ve74,VL24,RR69,BloCK29,fS59,LS1682,SP20,pD5,fm19,MAN14,tMPId20,hDAlL25,HDALS10,CMCM25,cMTE09,VX1970,STAT18,11,2025-06-01 12:01:48
196,VB0123,R2165,G18,b05,l90,g8,W4,F95,s00,Bk11,A11,g2,k44,L2449,VALS1793,vv22,VfA81,VALL13,VVlK16,vfAK22,VPrS12,v54,ObJ73,2025-01-11,FiK4,REL24,K366,K255,K43,k143,k178,S353,s092,s58,s198,S107,pK36,A1,N5,C900,D9,E786,R552,S4,T8,I6,V4,W0,X6,CM13,cm43,CM58,GSt90,TR15,kQ42,co16,reL78,Pas10,PIS1702,WAS1959,pAk15,PIK2129,waK10,gEK34,cmM17,dc28,VE2869,VL17,rr15,BlOCK01,fS4,ls20,SP1256,pd26,FM2533,maN1,tMPId19,HdAlL24,HdALS45,cMcM27,CMTE1879,vX3,STaT57,1,2025-06-01 12:01:00
109,VB0124,R2918,G11,B1190,l1,g03,w39,f58,s16,bk10,A22,g46,k12,l70,vALS64,vV29,vfA29,VALl39,vvLK1,VFak13,vPRs22,v30,Obj2,2025-01-06,fIK19,REL5,K01519,k029,K59,K044,K057,s09,s039,S574,S90,S044,pk24,M1,N9,O3,D1,Q7,R9,S124,T557,U5,V8,K408,X60,CM86,CM11,cM1,gST47,tR14,kQ66,CO10,Rel62,paS2,pIs19,WAs95,pAk26,piK29,WAK14,gEk14,CmM97,dC45,VE17,vL50,rR89,BLOCK11,Fs43,LS48,Sp65,pd29,fM28,MAN15,tMPiD24,HDALL9,HdALS8,cMCM67,CMte14,vX73,STAT1423,10,2025-06-01 12:00:34
171,VB0125,r32,G6,B20,l15,g25,w49,f35,S5,bK92,a46,g58,K14,l1,VaLS38,VV2186,vFA4,VaLL71,vvLK1,VFAK13,VpRs2,V3,OBJ15,2025-01-24,fIk12,Rel1,k026,k001,K835,k498,K740,s00,S766,S128,s028,s955,PK28,A892,N8,O9,D5,E522,R7,S2,H781,U8,V4,K2,L5,cM51,Cm8,Cm35,GST21,tR48,kq1,CO2866,ReL59,paS14,Pis16,wAs1,PAk1,pIk19,WAK2995,geK25,CMM1855,dc2,vE50,VL13,rR70,BLOCK187,fS39,LS29,sP9,Pd37,fm14,MAn1,TMPid20,HDAlL42,HdAlS16,CMcM0,CMTe22,Vx3,STat22,-5,2025-06-01 12:00:45
