school_name,se_services,partner_cbo,partner_other,longitude,overview_paragraph,school_sports,psal_sports_coed,school_type
High School of Language and Innovation,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Bronx Arts Ensemble, Korea Tae Kwon Do, Youth United for Global Action (YUGA), Sadie Nash Leadership Project (SNLP), Rocking the Boat, College Now @ Lehman College",,-73.861006,"High School of Language and Innovation seeks students who have big ideas, enjoy working in teams, and love learning languages. In fact, our school’s student body speaks an array of languages including, but not limited to: Spanish, Arabic, Urdu, Bengali, French, Albanian, Russian, and Wolof. Students learn self-discipline, responsibility, and respect in every class. Students are encouraged to speak up, challenge each other, and research and study at a college level.","Cheerleading, Teams: Dance, Step",Golf,School for New Arrivals
Peace and Diversity Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Anti-Defamation League/A World of Difference Institute (ADL/AWODI), Educators for Social Responsibility (ESR), New York City Human Rights Commission (NYCHRC), Steinberg Group",,-73.897612,"Peace and Diversity Academy is a unique school which, in conjunction with the Anti-Defamation League, seeks to create leaders who have the requisite knowledge, skills, and attitudes to build an increasingly just and democratic global society. We do so by promoting excellence, developing critical thinkers, and modeling an inclusive and democratic community which engages all families, educators, and partners. Our school is committed to fostering anti-bias attitudes, inspiring social justice and peace activism, and building student and teacher skills in active communication, conflict resolution, mediation, diplomacy, and human rights leadership. Graduates of Peace and Diversity Academy will be leaders who build bridges of intercultural understanding across all levels of human diversity.",,,
The Urban Assembly School for Emergency Management,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-74.000851,"The Urban Assembly School for Emergency Management (UASEM) provides students with real-world learning opportunities. Students at UASEM have the unique opportunity to participate in career-related courses, internships, and emergency simulations with our partners Federal Emergency Management Agency (FEMA), American Red Cross, Department of Homeland Security, and more. With our partners, we develop curricula and activities in Emergency Management that create a sense of personal responsibility and empowerment among our students, parents, and staff. Students will develop leadership skills, learn how to use mapping and emergency response software as well as CPR, and learn how to recognize and respond to hazardous materials, among other abilities.",Intramural Basketball,,CTE School
Washington Heights Expeditionary Learning School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Alianza Dominicana, Culturarte, Point of View",,-73.930948,"We provide a small, nurturing environment for adolescents, a place where high expectations, excellent academic practices, and dedicated faculty provide differentiated instruction to students. Our mission is to work with families to prepare each student academically, emotionally, intellectually, and socially to succeed in college and beyond. Our unique internship program allows students to take advantage of partnerships with New York City organizations and businesses. Consider our school if you strive to become a skilled problem-solver and effective communicator, adventurous and willing to take intellectual risks, and an active and positive contributor to the school and local community.","Baseball, Basketball, Track",,
University Heights Secondary School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Good Shepherd Services, Inwood House (After-school Program), Health Corps","Upward Bound, Talent Search, Young Achievers",-73.91103,"University Heights Secondary School is a college preparatory high school whose mission is to be a high school that feels like a college. All students are required to take college courses through our partnership with CUNY. Students in the Honors and Early College program are required to take a minimum of two college classes per year. Additionally, upperclassmen can apply for an executive internship program in which they gain real-world experience in fields of medicine, business, law, culinary arts, architecture, education, and STEM (science, technology, engineering, and mathematics). We provide a culture of learning, respect, and responsibility. Our students benefit from our unique college-inspired schedule, technology in the classroom and project-based learning. Our community partners provide over 30 extracurricular activities, clubs, curricular programs and opportunities for our students. As part of our community outreach and to promote financial literacy, students are able to manage and cultivate our large organic urban SPIN farm located on school grounds.","Intramural Basketball, Flag Football, Track, Young Runners Program, Cheerleading",,Performance Assessment School
Information Technology High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Local Project, Western Queens Consultation Center, Jacob A. Riis Neighborhood Settlement House, Sponsors for Educational Opportunity (SEO).","Marine Corp, U.S. Army, Queens District Attorney,",-73.94638,Information Technology High School (ITHS) is a state-of-the-art high school dedicated to preparing students to meet the demands of the 21st century. Technology is our chief focus and is offered as a specialty area of learning. Our goal is to ensure that all our graduates will be college-ready with the skills necessary to succeed in tomorrow’s world of work.,,,
Quest to Learn,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-74.002136,"At Quest to Learn, teaching, learning, and student life connect academic content and skills with 21st century literacies: systems thinking, teamwork, collaborative problem solving, digital citizenship, empathy, and design for innovation. Our goal is to create opportunities for students to develop habits of mind in the contexts of different content areas and become lifelong learners who are caring, reflective, creative, independent thinkers and successful in college and careers.","Campus Cheerleading Squad, Swimming, Fencing, Parkour, Soccer, Ping-pong",,
Belmont Preparatory High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"The Leadership Program, New York Botanical Garden, New York Zoological Society, Cheetah Conservation Fund, New-York Historical Society, American Red Cross, City Harvest, New Visions for Public Schools, Mentoring Latinas, Generation Citizen",,-73.888267,Belmont Preparatory High School was founded in 2002 for academically talented students. The curriculum is based in the humanities and uses an interdisciplinary approach to infuse language arts throughout so that students are college and career-ready upon graduation.,"Swimming, Weight Training, Girls Basketball, Flag Football; Intramural Basketball, Intramural Football, Soccer, Aerobics, Volleyball",,
Leon M. Goldstein High School for the Sciences,This school will provide students with disabilities the supports and services indicated on their IEPs.,,,-73.935952,Our school is affiliated with Kingsborough Community College. All students study math and science every year and three years of Spanish or Italian as a high school student. Our school is committed to “academic excellence in a caring community.”,,Golf,
Bard High School Early College,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Lower East Side Girls Club, Third Street Music School Settlement, Educational Alliance Edgies Teen Center, Grand Street Settlement, Henry Street Settlement, Lower East Side Ecology Center, YMCA Global Teens",New York Academy of Sciences,-73.975891,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age sixteen. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college, earning a high school diploma, up to sixty college credits and an Associate of Arts (AA) degree upon graduation.",Co-ed Ultimate Frisbee,,
Pablo Neruda Academy,This school will provide students with disabilities the supports and services indicated on their IEPs.,,iLearnNYC,-73.856167,"Our mission is to engage, inspire, and educate our students so that they develop skills to succeed in college and beyond. Our students work in small groups, guided by skilled and caring teachers, to solve challenging problems. Each student is well-known by staff members, and is assigned an advisor who works closely with them each week to monitor their progress. We celebrate successes and students are recognized for their accomplishments.","Baseball, Basketball, Flag Football, Soccer, Softball, Volleyball",,
New Explorers High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,East Side House Settlement,"Achievement Reporting and Innovation System (ARIS) and EnGrade (systems of communication for parents/guardians and students to review transcripts, attendance status and monitor academic progress)",-73.923829,"In our state-of-the-art building, our students realize their potential in academics and creative expression through creative projects, hands-on activities, and our thriving visual art, dance, drama, and music programs. We offer individual attention, guidance, and tutorial assistance in the content areas and additional support for the Regents exams. We promote community involvement and activities, uniting staff, parents, and the community. We offer workshops for students and parents/guardians, as well as guidance and assistance with referrals to the agencies that serve their needs.",Our athletes join with students from Mott Haven Educational Campus to compete in the Public Schools Athletic League (PSAL) program; Campus-wide Cheerleading Team,Golf,
